GeographyCode,QS220NI0001,QS220NI0002,QS220NI0003,QS220NI0004,QS220NI0005
N92000002,703275,296577,372213,6654,27831
BHSCT,148328,60176,77559,2274,8319
NHSCT,177914,53944,115324,1514,7132
SEHSCT,136698,39157,88981,1300,7260
SHSCT,131129,71338,55496,925,3370
WHSCT,109206,71962,34853,641,1750
BELB,120595,54899,57007,1944,6745
NEELB,165010,46779,109895,1450,6886
SEELB,164431,44434,109533,1630,8834
SELB,144033,78503,60925,989,3616
WELB,109206,71962,34853,641,1750
UKN01,120595,54899,57007,1944,6745
UKN02,156882,33156,112961,1662,9103
UKN03,170132,56873,104754,1486,7019
UKN04,109318,59110,47140,724,2344
UKN05,146348,92539,50351,838,2620
95AA,20064,7702,11176,186,1000
95BB,31514,3774,25541,329,1870
95CC,21594,10165,10821,133,475
95DD,24817,5152,18604,213,848
95EE,11508,3212,7896,84,316
95FF,18303,5673,11847,152,631
95GG,120595,54899,57007,1944,6745
95HH,16200,1543,13422,166,1069
95II,27733,5277,20552,330,1574
95JJ,23508,6029,16377,216,886
95KK,12904,7165,5429,64,246
95LL,35931,15511,18756,330,1334
95MM,40779,29734,10087,300,658
95NN,26206,15870,9363,187,786
95OO,20270,12372,7412,134,352
95PP,23069,13235,9231,140,463
95QQ,13297,3191,9467,89,550
95RR,12098,6878,4949,52,219
95SS,45723,15205,28044,420,2054
95TT,15037,9366,5366,87,218
95UU,6608,3761,2677,27,143
95VV,35031,27617,6660,176,578
95WW,33971,6823,24910,382,1856
95XX,33255,4308,26033,364,2550
95YY,18443,12619,5432,104,288
95ZZ,14817,9496,5154,45,122
