GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
N92000002,1735711,134157,35404,37501,18187,140204
BHSCT,334560,17785,4128,5232,2761,18771
NHSCT,444578,59943,17967,16692,7762,62478
SEHSCT,333088,25726,5721,6703,3041,26794
SHSCT,341383,16778,4126,4946,2528,17601
WHSCT,282102,13925,3462,3928,2095,14560
BELB,269804,13385,3287,4083,2215,14181
NEELB,409258,57814,17481,16101,7485,60235
SEELB,397844,30126,6562,7852,3587,31384
SELB,376703,18907,4612,5537,2805,19844
WELB,282102,13925,3462,3928,2095,14560
UKN01,269804,13385,3287,4083,2215,14181
UKN02,374966,27563,6045,7385,3620,28722
UKN03,420580,44397,11946,12100,5481,46275
UKN04,277050,29960,9476,8467,4117,31240
UKN05,393311,18852,4650,5466,2754,19786
95AA,51042,4693,1102,1181,558,4886
95BB,75313,9631,2470,2527,1050,9991
95CC,56792,3135,707,924,422,3313
95DD,61601,13074,4030,3709,1577,13642
95EE,29937,8441,3326,2458,1117,8811
95FF,46112,3487,819,994,464,3625
95GG,269804,13385,3287,4083,2215,14181
95HH,37739,3415,784,939,459,3543
95II,64756,4400,841,1149,546,4590
95JJ,56990,8719,2300,2284,987,9078
95KK,35320,2129,486,591,277,2243
95LL,88565,4271,1053,1281,708,4509
95MM,103341,4452,1098,1290,717,4635
95NN,66882,3505,734,919,419,3658
95OO,55075,2512,637,758,401,2649
95PP,59282,2207,535,678,340,2373
95QQ,31065,5736,1738,1489,705,5964
95RR,32150,2408,641,668,342,2519
95SS,114825,6774,1366,1715,887,7075
95TT,42883,3192,868,949,480,3301
95UU,16423,3386,1430,1052,559,3566
95VV,94839,3373,910,989,533,3505
95WW,81578,7158,1903,2040,1043,7444
95XX,76068,5816,1151,1542,685,6070
95YY,49120,2304,507,577,301,2402
95ZZ,38209,2554,681,715,395,2631
