GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
N92000002,618559,443114,60409,274981,1542,22902,10476,43338,24707,4759,175445,91300,2944,19521,46491,15189
BHSCT,129324,88737,13556,57811,213,2857,1576,5010,5409,2305,40587,18265,1022,5106,12601,3593
NHSCT,155804,115071,14686,72994,411,6091,2629,12012,5348,900,40733,23829,522,4006,9075,3301
SEHSCT,119897,88545,11704,56446,335,4774,2273,8671,3869,473,31352,19315,417,2930,6574,2116
SHSCT,116175,84724,10767,51081,322,5262,2179,9974,4625,514,31451,15994,446,3399,8632,2980
WHSCT,97359,66037,9696,36649,261,3918,1819,7671,5456,567,31322,13897,537,4080,9609,3199
BELB,105808,70824,11423,44990,173,2163,1223,3784,4860,2208,34984,14465,957,4710,11566,3286
NEELB,144392,106862,13547,68516,368,5486,2357,10802,4931,855,37530,22262,488,3662,8137,2981
SEELB,143413,106458,13837,69267,375,5468,2626,9897,4418,570,36955,23115,482,3326,7609,2423
SELB,127587,92933,11906,55559,365,5867,2451,11184,5042,559,34654,17561,480,3743,9570,3300
WELB,97359,66037,9696,36649,261,3918,1819,7671,5456,567,31322,13897,537,4080,9609,3199
UKN01,105808,70824,11423,44990,173,2163,1223,3784,4860,2208,34984,14465,957,4710,11566,3286
UKN02,136674,102496,13352,69944,313,4322,2239,7646,4072,608,34178,21472,429,3157,6989,2131
UKN03,149886,110569,13803,70644,396,5942,2537,11598,5073,576,39317,22952,457,3722,9092,3094
UKN04,97172,65498,9834,36516,270,3644,1770,7040,5587,837,31674,14684,612,4093,9169,3116
UKN05,129019,93727,11997,52887,390,6831,2707,13270,5115,530,35292,17727,489,3839,9675,3562
95AA,18099,13900,1629,9327,40,700,275,1314,540,75,4199,2430,43,425,950,351
95BB,27622,20120,2648,12597,82,1120,556,2199,834,84,7502,4991,77,572,1411,451
95CC,18983,14174,1864,8192,62,950,399,1884,758,65,4809,2733,77,458,1094,447
95DD,21468,16015,1978,10285,54,867,324,1778,653,76,5453,3351,55,519,1099,429
95EE,10052,7318,810,4232,23,520,195,1057,451,30,2734,1513,28,304,641,248
95FF,16209,12350,1288,7836,40,750,311,1574,489,62,3859,2222,51,341,953,292
95GG,105808,70824,11423,44990,173,2163,1223,3784,4860,2208,34984,14465,957,4710,11566,3286
95HH,14213,10544,1359,7317,33,319,226,691,531,68,3669,2313,41,312,780,223
95II,23516,17913,2133,12821,40,694,353,1226,549,97,5603,3800,65,396,1035,307
95JJ,20398,14453,2073,8436,73,888,391,1463,775,354,5945,3428,150,598,1232,537
95KK,11412,8209,1139,4478,43,605,272,1210,417,45,3203,1567,34,344,938,320
95LL,31956,23073,2967,15419,73,970,445,1787,1264,148,8883,4525,105,960,2487,806
95MM,37039,23768,4086,13312,84,1005,642,1764,2555,320,13271,5177,291,1969,4531,1303
95NN,22986,16723,2217,9686,79,1122,447,2191,893,88,6263,3434,102,641,1547,539
95OO,17974,13128,1608,7656,45,963,395,1765,606,90,4846,2371,86,506,1388,495
95PP,20097,14773,1906,8396,61,1028,445,2123,737,77,5324,2941,78,548,1192,565
95QQ,11546,8388,1076,5494,28,413,179,755,400,43,3158,1999,24,264,645,226
95RR,10892,7560,1011,4253,32,437,173,950,651,53,3332,1557,59,408,916,392
95SS,40680,30346,4097,19905,103,1539,675,2532,1302,193,10334,5751,148,1255,2425,755
95TT,13239,9976,1072,5806,31,743,248,1595,430,51,3263,1747,38,335,817,326
95UU,5721,3931,529,1976,20,259,129,701,301,16,1790,1012,24,173,415,166
95VV,31053,21999,3040,11978,102,1629,629,2964,1508,149,9054,4143,127,1134,2710,940
95WW,29656,22337,3021,15643,66,777,390,1448,850,142,7319,4469,85,732,1558,475
95XX,28609,21356,2742,14258,71,993,595,1749,840,108,7253,5139,90,462,1191,371
95YY,16261,11468,1368,6381,46,913,319,1729,659,53,4793,2225,49,514,1536,469
95ZZ,13070,8468,1325,4307,38,535,240,1105,854,64,4602,1997,60,641,1434,470
