GeographyCode,QS301NI0001,QS301NI0002,QS301NI0003,QS301NI0004,QS301NI0005
N92000002,1810863,1596883,122301,35369,56310
BHSCT,348204,305291,23664,7384,11865
NHSCT,463297,409790,31481,8370,13656
SEHSCT,346911,302451,26766,6680,11014
SHSCT,358034,317427,22852,7076,10679
WHSCT,294417,261924,17538,5859,9096
BELB,280962,247097,17983,6139,9743
NEELB,426284,376886,29175,7622,12601
SEELB,414153,360645,32447,7925,13136
SELB,395047,350331,25158,7824,11734
WELB,294417,261924,17538,5859,9096
UKN01,280962,247097,17983,6139,9743
UKN02,390597,340573,30756,7175,12093
UKN03,438823,385858,30953,8407,13605
UKN04,288597,256833,17042,5621,9101
UKN05,411884,366522,25567,8027,11768
95AA,53428,47439,3576,937,1476
95BB,78078,67496,6320,1590,2672
95CC,59340,52736,3920,1100,1584
95DD,64044,56904,4249,1089,1802
95EE,31224,27799,1918,544,963
95FF,48339,42573,3399,916,1451
95GG,280962,247097,17983,6139,9743
95HH,39114,34148,2979,699,1288
95II,67242,58194,5681,1245,2122
95JJ,59067,52706,3694,1029,1638
95KK,37013,32904,2306,748,1055
95LL,93023,82183,6121,1860,2859
95MM,107877,95649,6360,2249,3619
95NN,69731,61093,4920,1419,2299
95OO,57852,51766,3342,1174,1570
95PP,61805,55056,3908,1142,1699
95QQ,32180,28170,2368,596,1046
95RR,33536,30154,1770,593,1019
95SS,120165,105287,8768,2312,3798
95TT,45038,40254,2740,853,1191
95UU,17050,15097,1081,315,557
95VV,99480,88169,6070,2026,3215
95WW,85139,74369,6570,1560,2640
95XX,78937,68575,6758,1359,2245
95YY,51356,45637,3281,984,1454
95ZZ,39843,35428,2219,891,1305
