GeographyCode,QS111NI0001,QS111NI0002,QS111NI0003,QS111NI0004,QS111NI0005,QS111NI0006,QS111NI0007,QS111NI0008,QS111NI0009,QS111NI0010,QS111NI0011,QS111NI0012,QS111NI0013,QS111NI0014,QS111NI0015,QS111NI0016,QS111NI0017,QS111NI0018,QS111NI0019,QS111NI0020,QS111NI0021,QS111NI0022,QS111NI0023,QS111NI0024,QS111NI0025,QS111NI0026,QS111NI0027
N92000002,703275,196414,78101,118313,455076,46826,269080,71962,48291,90357,58470,341,38599,20553,8349,7837,1860,100230,34764,29464,36002,51785,9762,9218,2055,3279,27471
BHSCT,148328,50611,18213,32398,82487,8867,40425,11871,7784,12004,8766,119,8939,5402,1678,1472,387,24137,8607,7385,8145,15230,2123,1888,1601,723,8895
NHSCT,177914,46858,19904,26954,119950,13135,73840,20547,13110,24310,15873,66,9778,5004,2206,2051,517,23131,7848,6535,8748,11106,2283,2097,341,795,5590
SEHSCT,136698,36574,15394,21180,92625,11107,55865,16912,10041,17720,11192,81,8040,4290,1703,1632,415,17532,6035,5352,6145,7499,1595,1550,23,519,3812
SHSCT,131129,32965,13634,19331,88923,7907,56160,12998,9928,20851,12383,39,6831,3360,1653,1514,304,17986,6228,5005,6753,9241,1982,1860,19,652,4728
WHSCT,109206,29406,10956,18450,71091,5810,42790,9634,7428,15472,10256,36,5011,2497,1109,1168,237,17444,6046,5187,6211,8709,1779,1823,71,590,4446
BELB,120595,42401,14555,27846,64315,6375,29500,8689,5661,8496,6654,104,7316,4445,1342,1223,306,21020,7603,6581,6836,13879,1879,1663,1592,615,8130
NEELB,165010,43835,18592,25243,110991,12373,67910,19294,12086,22081,14449,65,9208,4734,2080,1907,487,21435,7320,6090,8025,10184,2075,1891,338,737,5143
SEELB,164431,44784,19052,25732,110797,13599,66790,20094,12164,21228,13304,96,9663,5247,2039,1881,496,20649,7039,6156,7454,8850,1839,1775,32,627,4577
SELB,144033,35988,14946,21042,97882,8669,62090,14251,10952,23080,13807,40,7401,3630,1779,1658,334,19682,6756,5450,7476,10163,2190,2066,22,710,5175
WELB,109206,29406,10956,18450,71091,5810,42790,9634,7428,15472,10256,36,5011,2497,1109,1168,237,17444,6046,5187,6211,8709,1779,1823,71,590,4446
