GeographyCode,QS114NI0001,QS114NI0002,QS114NI0003
N92000002,1106228,176236,929992
BHSCT,218551,46726,171825
NHSCT,280464,39957,240507
SEHSCT,209038,31532,177506
SHSCT,218423,29365,189058
WHSCT,179752,28656,151096
BELB,178016,40570,137446
NEELB,257695,37377,220318
SEELB,249573,37688,211885
SELB,241192,31945,209247
WELB,179752,28656,151096
UKN01,178016,40570,137446
UKN02,235283,37276,198007
UKN03,266659,38742,227917
UKN04,175760,28865,146895
UKN05,250510,30783,219727
95AA,32458,4727,27731
95BB,47479,6779,40700
95CC,35728,4536,31192
95DD,38706,5168,33538
95EE,19043,2136,16907
95FF,29466,3971,25495
95GG,178016,40570,137446
95HH,23974,4090,19884
95II,40535,6156,34379
95JJ,35339,5631,29708
95KK,22769,2580,20189
95LL,57182,8822,48360
95MM,66488,12961,53527
95NN,41760,5986,35774
95OO,35524,4269,31255
95PP,37412,4979,32433
95QQ,19608,3289,16319
95RR,20543,2753,17790
95SS,72454,11048,61406
95TT,27411,2532,24879
95UU,10181,1541,8640
95VV,60523,7767,52756
95WW,50975,8263,42712
95XX,47345,7719,39626
95YY,31143,4120,27023
95ZZ,24166,3843,20323
