GeographyCode,QS202NI0001,QS202NI0002,QS202NI0003,QS202NI0004,QS202NI0005,QS202NI0006,QS202NI0007
N92000002,703275,693990,2002,4184,1294,961,844
BHSCT,148328,144517,860,1871,503,306,271
NHSCT,177914,176172,434,786,194,190,138
SEHSCT,136698,135326,276,566,218,176,136
SHSCT,131129,129766,251,493,271,158,190
WHSCT,109206,108209,181,468,108,131,109
BELB,120595,117336,707,1587,460,267,238
NEELB,165010,163368,403,764,158,183,134
SEELB,164431,162507,429,850,261,215,169
SELB,144033,142570,282,515,307,165,194
WELB,109206,108209,181,468,108,131,109
UKN01,120595,117336,707,1587,460,267,238
UKN02,156882,154787,499,983,236,215,162
UKN03,170132,168413,345,733,266,201,174
UKN04,109318,108249,223,464,123,151,108
UKN05,146348,145205,228,417,209,127,162
95AA,20064,19729,50,186,48,38,13
95BB,31514,31301,54,95,19,24,21
95CC,21594,21471,34,51,9,16,13
95DD,24817,24614,50,91,19,16,27
95EE,11508,11463,13,13,6,10,3
95FF,18303,18200,22,38,9,15,19
95GG,120595,117336,707,1587,460,267,238
95HH,16200,16065,33,55,16,20,11
95II,27733,27181,153,284,43,39,33
95JJ,23508,23238,69,105,28,39,29
95KK,12904,12804,31,22,36,7,4
95LL,35931,35335,110,245,115,66,60
95MM,40779,40220,96,275,77,66,45
95NN,26206,25993,41,62,51,28,31
95OO,20270,19963,21,70,113,39,64
95PP,23069,22911,25,79,13,19,22
95QQ,13297,13241,18,16,5,14,3
95RR,12098,12025,16,28,7,16,6
95SS,45723,45194,104,246,68,70,41
95TT,15037,14939,26,46,5,11,10
95UU,6608,6570,12,17,2,3,4
95VV,35031,34797,64,89,25,22,34
95WW,33971,33509,132,235,29,32,34
95XX,33255,32838,77,163,80,54,43
95YY,18443,18320,27,60,8,13,15
95ZZ,14817,14733,17,26,3,17,21
