GeographyCode,QS413NI0001,QS413NI0002,QS413NI0003,QS413NI0004,QS413NI0005,QS413NI0006,QS413NI0007,QS413NI0008,QS413NI0009,QS413NI0010,QS413NI0011,QS413NI0012,QS413NI0013,QS413NI0014,QS413NI0015,QS413NI0016,QS413NI0017,QS413NI0018,QS413NI0019,QS413NI0020,QS413NI0021,QS413NI0022,QS413NI0023,QS413NI0024,QS413NI0025,QS413NI0026,QS413NI0027,QS413NI0028,QS413NI0029
N92000002,1143,653,167,16,16,135,91,24,67,395,206,141,7,8,3,30,490,6,3,2,2,40,333,41,9,6,21,3,24
BHSCT,234,130,37,4,4,29,15,3,12,78,37,25,2,0,1,13,104,0,1,1,0,15,51,16,0,0,8,2,10
NHSCT,312,165,50,5,4,41,17,7,10,98,51,36,2,3,0,6,147,2,0,1,0,12,118,8,1,1,2,0,2
SEHSCT,203,125,25,0,4,21,3,0,3,97,49,40,1,3,1,3,78,4,1,0,2,5,54,3,3,0,2,1,3
SHSCT,146,91,22,4,0,18,4,3,1,65,43,16,1,1,0,4,55,0,0,0,0,4,32,4,0,3,7,0,5
WHSCT,248,142,33,3,4,26,52,11,41,57,26,24,1,1,1,4,106,0,1,0,0,4,78,10,5,2,2,0,4
BELB,207,110,29,4,1,24,14,2,12,67,30,22,2,0,1,12,97,0,0,1,0,15,48,15,0,0,8,0,10
NEELB,290,152,49,5,4,40,11,7,4,92,45,36,2,3,0,6,138,2,0,0,0,11,112,7,1,1,2,0,2
SEELB,230,145,33,0,7,26,4,1,3,108,56,43,1,3,1,4,85,4,2,0,2,5,57,4,3,0,2,3,3
SELB,168,104,23,4,0,19,10,3,7,71,49,16,1,1,0,4,64,0,0,1,0,5,38,5,0,3,7,0,5
WELB,248,142,33,3,4,26,52,11,41,57,26,24,1,1,1,4,106,0,1,0,0,4,78,10,5,2,2,0,4
UKN01,207,110,29,4,1,24,14,2,12,67,30,22,2,0,1,12,97,0,0,1,0,15,48,15,0,0,8,0,10
UKN02,187,123,33,1,5,27,4,1,3,86,51,23,1,5,1,5,64,3,2,0,2,8,37,4,2,0,2,2,2
UKN03,242,156,45,3,5,37,7,4,3,104,52,42,3,2,0,5,86,3,0,0,0,3,66,6,2,0,2,1,3
UKN04,237,111,27,3,4,20,33,11,22,51,18,27,1,0,1,4,126,0,1,0,0,6,100,12,0,1,1,0,5
UKN05,270,153,33,5,1,27,33,6,27,87,55,27,0,1,0,4,117,0,0,1,0,8,82,4,5,5,8,0,4
95AA,47,28,11,1,3,7,1,1,0,16,9,6,0,1,0,0,19,2,0,0,0,1,15,0,0,0,1,0,0
95BB,41,30,6,0,0,6,2,0,2,22,10,11,0,0,0,1,11,0,0,0,0,0,10,0,1,0,0,0,0
95CC,32,21,4,1,0,3,0,0,0,17,10,6,0,0,0,1,11,0,0,0,0,1,7,1,0,0,2,0,0
95DD,31,21,5,1,0,4,0,0,0,16,7,5,2,0,0,2,10,0,0,0,0,0,5,4,0,0,1,0,0
95EE,16,15,2,0,0,2,3,2,1,10,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
95FF,19,16,4,0,0,4,2,1,1,10,6,1,1,1,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0
95GG,207,110,29,4,1,24,14,2,12,67,30,22,2,0,1,12,97,0,0,1,0,15,48,15,0,0,8,0,10
95HH,21,13,4,0,0,4,0,0,0,9,6,2,0,1,0,0,8,0,0,0,0,0,7,0,1,0,0,0,0
95II,27,20,8,0,3,5,1,1,0,11,7,3,0,0,0,1,7,0,1,0,0,0,3,1,0,0,0,2,0
95JJ,75,18,3,1,1,1,3,2,1,12,6,5,0,0,0,1,57,0,0,0,0,5,47,2,0,1,0,0,2
