GeographyCode,QS611NI0001,QS611NI0002,QS611NI0003,QS611NI0004,QS611NI0005
N92000002,528614,90383,149992,124053,164186
BHSCT,112144,23221,33943,18031,36949
NHSCT,131942,21177,37259,34615,38891
SEHSCT,101116,19908,33260,22493,25455
SHSCT,99688,14940,24728,27828,32192
WHSCT,83724,11137,20802,21086,30699
BELB,92273,18061,27102,14413,32697
NEELB,122193,19992,35153,31373,35675
SEELB,120987,25068,40101,26111,29707
SELB,109437,16125,26834,31070,35408
WELB,83724,11137,20802,21086,30699
UKN01,92273,18061,27102,14413,32697
UKN02,116038,24841,39315,23225,28657
UKN03,126985,20243,36553,32577,37612
UKN04,82984,11515,21631,19638,30200
UKN05,110334,15723,25391,34200,35020
95AA,15600,2561,4667,3917,4455
95BB,22854,3611,7627,5762,5854
95CC,16021,2249,4157,4801,4814
95DD,17999,2904,4635,4785,5675
95EE,8500,1035,2036,2724,2705
95FF,13910,2399,4073,3850,3588
95GG,92273,18061,27102,14413,32697
95HH,12064,2078,4021,2649,3316
95II,19871,5160,6841,3618,4252
95JJ,17026,2908,5087,3840,5191
95KK,9749,1185,2106,3242,3216
95LL,27518,3983,7171,6456,9908
95MM,32356,4732,8639,5888,13097
95NN,19441,3445,5557,5198,5241
95OO,15442,2180,3364,4856,5042
95PP,17000,2307,4080,5188,5425
95QQ,9663,1340,2823,2609,2891
95RR,9337,1069,2452,2604,3212
95SS,35007,7122,11235,7273,9377
95TT,11385,1760,2473,3961,3191
95UU,4674,655,1034,1463,1522
95VV,26797,4129,5963,7865,8840
95WW,25282,4751,8377,5425,6729
95XX,23814,5730,8841,4260,4983
95YY,13940,1913,3248,4287,4492
95ZZ,11091,1116,2383,3119,4473
