GeographyCode,QS215NI0001,QS215NI0002,QS215NI0003,QS215NI0004,QS215NI0005,QS215NI0006,QS215NI0007,QS215NI0008,QS215NI0009,QS215NI0010
N92000002,1735711,92040,10265,11911,288,7801,561,16373,965,1595507
BHSCT,334560,12503,935,1940,78,632,122,2397,164,315789
NHSCT,444578,39636,6026,4620,84,4434,171,7118,389,382100
SEHSCT,333088,18498,1524,2414,51,1317,110,2695,185,306294
SHSCT,341383,11698,911,1662,35,802,80,2275,138,323782
WHSCT,282102,9705,869,1275,40,616,78,1888,89,267542
BELB,269804,9272,739,1456,66,499,100,1918,131,255623
NEELB,409258,38103,5913,4404,81,4330,166,6863,375,349023
SEELB,397844,21729,1720,2898,63,1450,132,3174,218,366460
SELB,376703,13231,1024,1878,38,906,85,2530,152,356859
WELB,282102,9705,869,1275,40,616,78,1888,89,267542
UKN01,269804,9272,739,1456,66,499,100,1918,131,255623
UKN02,374966,19802,1462,2675,53,1163,147,3210,210,346244
UKN03,420580,30379,3684,3735,79,2996,136,4982,284,374305
UKN04,277050,19399,3308,2224,46,2192,95,3777,199,245810
UKN05,393311,13188,1072,1821,44,951,83,2486,141,373525
95AA,51042,3391,304,371,7,262,15,511,25,46156
95BB,75313,6640,802,840,14,659,27,945,64,65322
95CC,56792,2225,156,353,4,157,24,370,24,53479
95DD,61601,8542,1365,1027,11,1131,32,1458,76,47959
95EE,29937,4959,1384,500,10,851,16,1054,37,21126
95FF,46112,2439,181,349,10,192,8,424,22,42487
95GG,269804,9272,739,1456,66,499,100,1918,131,255623
95HH,37739,2387,206,343,9,148,20,413,17,34196
95II,64756,3231,196,484,12,133,22,479,33,60166
95JJ,56990,6001,769,738,20,583,19,878,70,47912
95KK,35320,1533,113,216,3,104,5,255,14,33077
95LL,88565,2981,229,431,15,160,29,626,38,84056
95MM,103341,3098,232,404,7,184,28,656,26,98706
95NN,66882,2552,174,342,13,171,17,367,22,63224
95OO,55075,1755,131,245,2,117,10,356,33,52426
95PP,59282,1544,130,260,19,99,15,289,17,56909
95QQ,31065,3834,629,375,9,421,8,651,37,25101
95RR,32150,1656,191,211,1,119,10,312,19,29631
95SS,114825,5028,305,618,20,237,43,771,53,107750
95TT,42883,2155,190,262,4,214,12,447,17,39582
95UU,16423,1956,554,172,3,325,5,516,35,12857
95VV,94839,2298,214,284,4,176,9,499,21,91334
95WW,81578,4878,512,616,8,395,39,935,61,74134
95XX,76068,4278,243,614,4,250,23,612,46,69998
95YY,49120,1678,138,201,8,84,8,270,15,46718
95ZZ,38209,1729,178,199,5,130,17,361,12,35578
