GeographyCode,QS610NI0001,QS610NI0002,QS610NI0003,QS610NI0004,QS610NI0005,QS610NI0006,QS610NI0007,QS610NI0008,QS610NI0009,QS610NI0010,QS610NI0011,QS610NI0012
N92000002,1313420,795263,518157,16651,50364,35669,26213,18893,17111,68777,153689,130790
BHSCT,257160,150870,106290,3574,10838,6948,4976,3419,3290,12765,31586,28894
NHSCT,335761,210147,125614,4219,12743,9033,6695,5015,4452,18059,36363,29035
SEHSCT,251647,158531,93116,3072,9373,6822,5132,3997,3476,14273,27464,19507
SHSCT,256035,157636,98399,3218,9262,6933,4962,3469,3143,12525,29309,25578
WHSCT,212817,118079,94738,2568,8148,5933,4448,2993,2750,11155,28967,27776
BELB,208609,118754,89855,3022,9195,5805,4118,2725,2655,10156,26549,25630
NEELB,309116,194151,114965,3913,11863,8356,6196,4659,4141,16840,33149,25848
SEELB,300198,190647,109551,3624,11016,7965,5990,4691,4111,16882,32501,22771
SELB,282680,173632,109048,3524,10142,7610,5461,3825,3454,13744,32523,28765
WELB,212817,118079,94738,2568,8148,5933,4448,2993,2750,11155,28967,27776
UKN01,208609,118754,89855,3022,9195,5805,4118,2725,2655,10156,26549,25630
UKN02,283218,182067,101151,3476,10270,7447,5518,4339,3779,15628,29561,21133
UKN03,317543,200970,116573,3801,11572,8510,6380,4750,4309,17515,34826,24910
UKN04,209839,114548,95291,2701,8774,6231,4585,3196,2869,11635,29180,26120
UKN05,294211,178924,115287,3651,10553,7676,5612,3883,3499,13843,33573,32997
95AA,38597,25595,13002,495,1370,904,749,580,501,1900,3645,2858
95BB,57290,35743,21547,664,2147,1626,1236,945,854,3658,6643,3774
95CC,42544,26586,15958,506,1522,1103,808,587,548,2066,4570,4248
95DD,46337,29920,16417,549,1640,1140,939,708,643,2592,4739,3467
95EE,22558,13426,9132,288,852,636,478,342,322,1243,2682,2289
95FF,34555,22621,11934,387,1213,920,614,495,475,1831,3457,2542
95GG,208609,118754,89855,3022,9195,5805,4118,2725,2655,10156,26549,25630
95HH,28657,18104,10553,308,1004,829,594,462,409,1793,3037,2117
95II,48551,32116,16435,552,1643,1143,858,694,635,2609,5037,3264
95JJ,43277,25272,18005,597,2087,1356,900,753,654,2565,5038,4055
95KK,26645,15996,10649,306,880,677,499,356,311,1219,3214,3187
95LL,67061,41320,25741,826,2338,1861,1340,938,884,3532,8079,5943
95MM,78409,40612,37797,994,3213,2284,1622,1075,989,4036,12337,11247
95NN,50138,30910,19228,588,2027,1382,1043,757,638,2669,5492,4632
95OO,41315,25646,15669,522,1415,952,753,527,434,1804,4528,4734
95PP,44465,27574,16891,488,1627,1068,883,575,578,2272,4827,4573
95QQ,23565,14861,8704,292,837,677,459,327,314,1333,2771,1694
95RR,24610,13217,11393,333,1084,836,732,399,324,1396,3040,3249
95SS,86371,54962,31409,1110,3023,2157,1676,1257,1096,4414,9144,7532
95TT,31959,19983,11976,426,1143,809,558,382,374,1413,3469,3402
95UU,12375,7021,5354,162,506,344,306,217,173,721,1610,1315
95VV,70560,41463,29097,977,2774,2097,1447,922,802,3292,8675,8111
95WW,61791,39969,21822,796,2424,1661,1213,888,751,3280,6158,4651
95XX,57848,36916,20932,710,2176,1657,1177,1038,888,3532,6185,3569
95YY,36723,21676,15047,426,1192,970,664,534,452,1777,4290,4742
95ZZ,28610,15000,13610,327,1032,775,547,410,407,1674,4473,3965
