GeographyCode,QS208NI0001,QS208NI0002,QS208NI0003,QS208NI0004,QS208NI0005,QS208NI0006,QS208NI0007,QS208NI0008,QS208NI0009,QS208NI0010,QS208NI0011,QS208NI0012,QS208NI0013,QS208NI0014,QS208NI0015,QS208NI0016,QS208NI0017,QS208NI0018,QS208NI0019,QS208NI0020,QS208NI0021,QS208NI0022,QS208NI0023,QS208NI0024,QS208NI0025,QS208NI0026,QS208NI0027,QS208NI0028,QS208NI0029,QS208NI0030,QS208NI0031,QS208NI0032,QS208NI0033,QS208NI0034,QS208NI0035,QS208NI0036,QS208NI0037,QS208NI0038,QS208NI0039,QS208NI0040,QS208NI0041,QS208NI0042,QS208NI0043,QS208NI0044,QS208NI0045,QS208NI0046,QS208NI0047,QS208NI0048,QS208NI0049,QS208NI0050,QS208NI0051,QS208NI0052,QS208NI0053,QS208NI0054,QS208NI0055,QS208NI0056,QS208NI0057,QS208NI0058,QS208NI0059,QS208NI0060,QS208NI0061,QS208NI0062,QS208NI0063,QS208NI0064,QS208NI0065,QS208NI0066,QS208NI0067,QS208NI0068,QS208NI0069,QS208NI0070,QS208NI0071
95AA,53428,52326,49959,2773,552,46523,109,2,626,0,14,1727,1671,206,19,321,636,59,35,231,164,56,6,3,47,205,12,42,7,35,149,10,75,11,38,15,2,597,19,4,6,9,114,21,85,8,312,1,284,18,9,150,100,0,14,10,17,9,2,172,65,86,21,0,4,16,108,80,18,10,0
95BB,78078,77065,75192,3184,806,71048,154,0,782,0,31,1060,967,224,91,194,205,19,29,34,171,93,12,25,56,175,11,12,7,5,149,21,85,10,20,13,3,451,25,5,5,15,125,46,74,5,147,73,60,13,1,150,80,0,14,29,17,10,4,248,139,105,3,1,10,33,96,69,22,5,0
95CC,59340,58720,54727,1739,326,52579,80,3,1802,4,18,2169,2078,78,242,802,614,19,33,42,248,91,22,2,67,75,10,5,2,3,58,10,22,2,17,7,2,249,17,3,6,8,82,32,50,0,80,3,73,3,1,69,39,0,18,6,4,2,1,201,63,130,5,3,1,34,60,45,14,1,0
95DD,64044,63264,60467,1790,599,58007,71,0,509,2,13,2273,2228,141,32,32,1094,27,318,390,194,45,5,14,26,139,20,20,11,9,98,8,59,6,15,10,1,357,15,4,4,7,105,25,62,18,117,5,71,27,14,120,72,0,13,19,11,5,0,167,83,79,5,0,6,20,91,60,30,1,0
95EE,31224,31042,30307,991,261,29012,43,0,268,0,13,454,432,41,37,6,277,11,14,9,37,22,5,1,16,26,1,5,4,1,19,1,11,2,2,3,1,59,3,1,2,0,24,7,16,1,17,0,17,0,0,15,4,2,3,1,2,3,0,61,31,28,2,0,2,8,26,22,4,0,0
95FF,48339,47781,46397,1630,369,44322,72,4,620,0,19,745,702,97,26,103,337,6,26,8,99,43,8,7,28,133,12,3,1,2,117,5,73,9,22,8,1,193,12,3,1,8,59,29,17,13,38,4,26,7,1,83,31,0,6,27,7,12,1,148,58,83,7,0,9,16,59,38,21,0,0
95GG,280962,271094,257120,8674,2233,245839,360,14,5422,6,72,8474,8001,685,143,288,4124,109,254,665,1733,473,93,135,245,1699,304,426,277,149,958,59,392,67,214,226,11,5885,374,80,72,222,1643,1029,482,132,2144,139,1786,146,73,1714,1129,1,335,99,54,96,10,1499,506,886,70,37,41,211,533,392,128,13,0
95HH,39114,38489,37622,1665,519,35363,73,2,332,0,19,516,470,120,5,22,167,19,18,24,95,46,6,9,31,160,13,22,15,7,122,4,72,15,20,11,3,250,25,10,8,7,91,26,38,27,79,4,60,9,6,52,25,0,9,11,4,3,3,138,81,46,9,2,3,15,58,38,19,1,1
95II,67242,65448,63467,2063,609,60679,107,9,956,1,12,1012,918,151,16,48,423,11,8,34,227,94,12,20,62,307,54,53,38,15,195,15,90,17,42,31,5,1065,47,15,14,18,289,98,168,23,310,26,227,46,11,415,298,0,57,34,13,13,4,280,126,130,18,6,9,39,94,73,21,0,0
95JJ,59067,58058,55643,2481,676,52377,107,2,978,0,20,1417,1363,177,17,21,913,14,19,28,174,54,5,11,38,165,14,29,22,7,118,12,47,9,25,25,4,504,39,12,11,16,186,108,62,16,149,5,102,25,17,130,61,2,22,24,11,10,0,221,75,138,7,1,7,21,91,67,24,0,0
95KK,37013,36658,35002,926,198,33844,30,4,429,0,9,1218,1188,34,126,142,273,232,7,324,50,30,3,6,21,73,2,25,1,24,44,3,22,6,7,6,2,128,3,2,1,0,60,14,44,2,26,0,13,13,0,39,4,24,2,2,3,4,0,119,22,93,1,3,0,16,19,13,6,0,0
95LL,93023,91398,85208,2773,629,81682,116,8,1103,0,59,5028,4921,181,270,1094,2140,719,23,168,326,107,16,23,68,277,33,89,14,75,154,19,80,4,21,30,1,987,37,4,9,24,177,82,77,18,306,9,189,91,17,464,209,148,17,16,9,65,3,177,64,100,8,5,10,84,90,71,18,1,0
95MM,107877,106183,100330,3680,963,95583,99,5,4455,4,53,1341,1275,182,32,74,603,22,18,19,325,66,9,14,43,176,35,21,7,14,119,8,64,16,10,21,1,952,116,69,14,33,202,132,54,16,449,11,398,36,4,184,108,12,18,16,12,18,1,434,73,339,14,8,21,23,87,64,23,0,1
95NN,69731,68776,66582,3065,503,62894,115,5,1097,1,43,1053,996,117,91,138,420,13,19,42,156,57,6,9,42,175,16,35,14,21,123,9,62,7,19,26,1,343,30,3,7,20,105,37,62,6,126,16,104,1,5,80,38,0,10,8,20,4,2,295,100,165,24,6,5,23,114,59,29,26,0
95OO,57852,56443,50540,1433,247,48818,41,1,1313,1,24,4565,4506,43,308,1923,1396,488,17,139,192,59,21,8,30,159,6,67,2,65,81,5,29,8,22,17,5,952,21,5,4,12,81,22,56,3,78,3,66,0,9,766,27,699,10,15,1,14,6,176,38,130,4,4,3,67,52,36,15,1,0
95PP,61805,61105,55298,2901,422,51917,57,1,4116,1,15,1675,1640,109,137,390,715,12,19,36,222,35,9,2,24,106,15,10,2,8,79,10,47,3,15,4,2,319,22,3,12,7,56,32,22,2,138,2,114,20,2,102,58,2,5,26,6,5,1,203,33,164,6,0,10,9,53,34,18,1,0
95QQ,32180,31883,31338,1217,452,29623,45,1,249,0,11,285,265,41,11,12,42,46,14,14,85,20,3,1,16,63,6,5,2,3,50,2,29,2,14,3,2,101,6,0,2,4,37,10,25,2,35,3,30,2,0,23,10,0,8,0,3,2,0,82,42,35,4,1,3,7,40,29,10,1,1
95RR,33536,33207,32322,1147,316,30806,53,0,547,0,3,335,313,79,31,23,143,1,1,2,33,22,4,1,17,33,3,1,0,1,28,5,17,1,1,4,1,134,3,1,0,2,37,15,19,3,25,0,21,0,4,68,44,2,9,5,8,0,1,124,27,96,1,0,0,10,28,22,5,1,0
95SS,120165,118000,114031,5105,1125,107566,230,5,1689,4,48,2228,2090,427,77,293,771,28,67,48,379,138,25,22,91,429,68,80,36,44,278,34,134,24,47,39,3,980,81,18,32,31,221,65,146,10,372,3,324,34,11,301,192,0,38,26,23,22,5,476,184,256,25,11,11,61,208,132,34,42,0
95TT,45038,44657,42997,944,237,41784,29,3,516,2,5,1137,1118,25,114,242,498,13,22,106,98,19,10,2,7,40,2,6,3,3,32,2,19,3,3,5,0,128,6,1,2,3,41,16,24,1,48,1,40,2,5,33,22,0,4,2,2,3,0,148,35,111,2,0,6,14,45,35,10,0,0
95UU,17050,16882,16438,695,247,15455,39,2,263,1,17,163,148,25,9,18,60,2,6,1,27,15,1,2,12,29,1,2,2,0,26,5,17,0,2,2,0,66,7,0,4,3,16,11,5,0,31,0,29,0,2,12,2,0,2,5,3,0,0,53,20,28,2,3,2,1,17,14,3,0,0
95VV,99480,98251,90006,3400,513,85981,104,8,4346,3,27,3869,3761,102,287,918,1902,68,33,106,345,108,31,13,64,144,12,31,19,12,99,14,58,6,9,12,2,431,18,2,3,13,128,68,53,7,164,11,125,19,9,114,80,1,6,14,7,6,7,501,117,368,6,10,5,51,97,86,11,0,0
95WW,85139,83350,81199,2614,634,77820,123,8,853,4,37,1257,1157,185,21,40,650,17,11,37,196,100,27,27,46,271,30,40,26,14,201,16,113,20,18,34,0,1072,82,21,33,28,354,202,117,35,438,7,334,67,30,195,108,0,43,27,11,6,3,261,107,126,26,2,5,40,139,103,34,2,1
95XX,78937,77045,74490,5271,1238,67755,217,9,1196,1,60,1298,1204,343,52,44,352,27,34,49,303,94,5,16,73,441,27,63,25,38,346,22,198,31,51,44,5,761,52,13,10,29,204,55,130,19,301,33,214,32,22,203,114,0,29,26,21,13,1,433,176,217,38,2,17,37,203,117,58,28,0
95YY,51356,50737,48007,1488,337,46134,45,3,1195,2,30,1503,1476,75,77,137,694,13,27,121,332,27,4,4,19,55,15,10,4,6,30,2,23,2,1,2,0,218,10,2,7,1,46,29,16,1,57,1,47,8,1,104,74,1,7,8,4,10,1,289,39,239,5,6,2,16,39,31,8,0,0
95ZZ,39843,39587,36988,1068,444,35442,33,1,2171,2,21,405,402,20,26,16,209,1,22,4,104,3,1,0,2,26,3,6,2,4,17,0,9,4,2,2,0,111,1,1,0,0,15,12,2,1,55,0,42,1,12,39,18,0,6,13,1,1,1,93,19,73,1,0,2,3,21,20,1,0,0
