GeographyCode,QS607NI0001,QS607NI0002,QS607NI0003,QS607NI0004,QS607NI0005,QS607NI0006,QS607NI0007,QS607NI0008,QS607NI0009,QS607NI0010,QS607NI0011,QS607NI0012,QS607NI0013,QS607NI0014
N92000002,1536370,159942,33168,126774,316001,168479,226264,127709,214190,214201,88681,55549,33132,20903
BHSCT,292463,39245,5677,33568,61763,35667,20553,21415,43834,38249,22003,15767,6236,9734
NHSCT,389679,38672,9001,29671,79429,42434,62729,36733,53912,55620,16354,9245,7109,3796
SEHSCT,289923,36253,7809,28444,69969,36937,41676,23173,36965,31085,11720,6753,4967,2145
SHSCT,310275,26981,6454,20527,58662,28745,57068,26359,43164,49685,17063,10150,6913,2548
WHSCT,254030,18791,4227,14564,46178,24696,44238,20029,36315,39562,21541,13634,7907,2680
BELB,237295,29514,4032,25482,46900,28085,15304,17039,37218,33229,20652,15087,5565,9354
NEELB,357520,36544,8344,28200,74498,39993,55238,33819,49652,49660,14534,8072,6462,3582
SEELB,345091,45984,9454,36530,84832,44519,46925,27549,43581,36105,13071,7433,5638,2525
SELB,342434,29109,7111,21998,63593,31186,64559,29273,47424,55645,18883,11323,7560,2762
WELB,254030,18791,4227,14564,46178,24696,44238,20029,36315,39562,21541,13634,7907,2680
UKN01,237295,29514,4032,25482,46900,28085,15304,17039,37218,33229,20652,15087,5565,9354
UKN02,324861,46312,9582,36730,81270,44612,34832,27626,41556,34240,11893,6724,5169,2520
UKN03,371352,36769,8760,28009,79360,41443,58682,34287,53194,50342,14682,8100,6582,2593
UKN04,246182,19398,4201,15197,45357,25077,39668,19444,35717,37366,20360,12293,8067,3795
UKN05,356680,27949,6593,21356,63114,29262,77778,29313,46505,59024,21094,13345,7749,2641
95AA,45883,4666,1157,3509,10660,5575,6703,4341,5826,6276,1528,900,628,308
95BB,64742,6448,1450,4998,14618,8473,10523,5770,8876,7656,1968,960,1008,410
95CC,50650,4044,1017,3027,9765,4987,10741,4165,6268,7825,2475,1386,1089,380
95DD,53280,5507,1330,4177,10745,4717,8612,5301,8650,7401,2023,1107,916,324
95EE,26549,1912,459,1453,4356,2380,6007,2278,3929,4239,1275,632,643,173
95FF,41618,4619,1086,3533,9006,4619,7926,3426,5013,5386,1334,688,646,289
95GG,237295,29514,4032,25482,46900,28085,15304,17039,37218,33229,20652,15087,5565,9354
95HH,32808,3825,882,2943,7720,4764,3137,3359,4532,3986,1224,541,683,261
95II,55168,9731,1645,8086,14863,7582,5249,4376,6616,5020,1351,680,671,380
95JJ,48330,4936,838,4098,9559,5387,7399,3942,6839,6406,2399,1392,1007,1463
95KK,32159,2128,657,1471,4931,2441,7491,2914,4260,5960,1820,1173,647,214
95LL,80324,7284,1844,5440,15589,8674,9629,7854,13594,13015,4007,2206,1801,678
95MM,94179,7802,1748,6054,18812,10147,10703,7213,14333,13761,9917,6242,3675,1491
95NN,58862,5883,1258,4625,13378,6134,11622,4355,7290,6906,2864,1697,1167,430
95OO,50597,4017,1003,3014,8528,3746,10479,4003,7460,9005,2883,1986,897,476
95PP,52350,3848,843,3005,9003,4715,11177,4601,7979,7865,2792,1793,999,370
95QQ,26643,2362,635,1727,5364,3251,3667,3240,3945,3702,958,542,416,154
95RR,28818,1908,483,1425,4824,3282,5470,2291,3803,4619,2344,1364,980,277
95SS,102597,13644,2907,10737,24045,13122,12709,8104,13370,11607,5090,3293,1797,906
95TT,39370,3451,875,2576,6887,2892,9457,3423,4394,6957,1675,1000,675,234
95UU,14091,1051,214,837,2493,1091,3341,1092,1928,1982,1022,551,471,91
95VV,87086,7017,1504,5513,15774,6719,18293,6911,10829,14454,6364,3884,2480,725
95WW,70566,8834,1954,6880,16714,9936,6915,6843,9609,8711,2430,1407,1023,574
95XX,63722,10278,2194,8084,17928,9208,6822,4944,7429,4916,1798,803,995,399
95YY,44468,3444,694,2750,8226,3762,10140,3296,5315,6958,3085,2123,962,242
95ZZ,34215,1789,459,1330,5313,2790,6748,2628,4885,6359,3403,2112,1291,300
