GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N92000002,795263,63900,40385,23515,136406,25028,40059,36736,34583,68703,11038,8679,4331,9981,34674,111841,91074,20767,111502,19374,35720,35565,20843,73837,55948,17889,79911,69501,10410,63288,30626,32662,85875,15067,70808
BHSCT,150870,10864,7129,3735,32110,7175,8532,7084,9319,15133,2291,1921,483,2832,7606,23105,19083,4022,12264,565,4570,3413,3716,13321,9804,3517,17456,14754,2702,7714,3053,4661,18903,1193,17710
NHSCT,210147,17056,10908,6148,32862,6164,9803,9220,7675,17290,3048,2109,1251,2121,8761,29290,23797,5493,33301,5812,11510,10396,5583,19124,14337,4787,20176,18235,1941,18063,8983,9080,22985,4238,18747
SEHSCT,158531,14908,9247,5661,27449,5094,8087,7076,7192,15592,1947,1708,1493,2268,8176,26389,22000,4389,19532,3004,6344,6283,3901,15346,11785,3561,15223,13151,2072,9664,4082,5582,14428,2020,12408
SHSCT,157636,12504,8007,4497,25110,3900,7634,7417,6159,11782,1908,1539,618,1575,6142,18801,14889,3912,26714,5150,7942,9203,4419,14451,11091,3360,14198,12662,1536,17279,9497,7782,16797,4911,11886
WHSCT,118079,8568,5094,3474,18875,2695,6003,5939,4238,8906,1844,1402,486,1185,3989,14256,11305,2951,19691,4843,5354,6270,3224,11595,8931,2664,12858,10699,2159,10568,5011,5557,12762,2705,10057
BELB,118754,8186,5296,2890,24807,5549,6437,5377,7444,11796,1809,1582,342,2334,5729,17559,14483,3076,9290,345,3305,2647,2993,10539,7664,2875,14564,12272,2292,6120,2422,3698,15893,973,14920
NEELB,194151,15870,10152,5718,30601,5841,9103,8518,7139,16321,2865,1979,1221,2012,8244,27596,22499,5097,29751,4980,10509,9274,4988,17721,13258,4463,18720,16871,1849,16333,8085,8248,21238,3659,17579
SEELB,190647,17586,11080,6506,34752,6720,10182,8783,9067,18929,2429,2047,1634,2766,10053,31935,26600,5335,22506,3224,7609,7049,4624,18128,13925,4203,18115,15633,2482,11258,4713,6545,17438,2240,15198
SELB,173632,13690,8763,4927,27371,4223,8334,8119,6695,12751,2091,1669,648,1684,6659,20495,16187,4308,30264,5982,8943,10325,5014,15854,12170,3684,15654,14026,1628,19009,10395,8614,18544,5490,13054
WELB,118079,8568,5094,3474,18875,2695,6003,5939,4238,8906,1844,1402,486,1185,3989,14256,11305,2951,19691,4843,5354,6270,3224,11595,8931,2664,12858,10699,2159,10568,5011,5557,12762,2705,10057
UKN01,118754,8186,5296,2890,24807,5549,6437,5377,7444,11796,1809,1582,342,2334,5729,17559,14483,3076,9290,345,3305,2647,2993,10539,7664,2875,14564,12272,2292,6120,2422,3698,15893,973,14920
UKN02,182067,16549,11083,5466,33455,7022,9188,8476,8769,19035,2692,2066,1541,2592,10144,31021,25788,5233,18602,1750,7821,4942,4089,16274,12218,4056,18809,16119,2690,11093,4573,6520,17229,1633,15596
