GeographyCode,QS601NI0001,QS601NI0002,QS601NI0003,QS601NI0004,QS601NI0005,QS601NI0006,QS601NI0007,QS601NI0008,QS601NI0009,QS601NI0010,QS601NI0011,QS601NI0012,QS601NI0013,QS601NI0014,QS601NI0015,QS601NI0016
N92000002,1313420,869767,172138,467805,4038,29421,22721,60486,65196,47962,443653,170016,81158,58398,95480,38601
BHSCT,257160,166648,33052,92399,532,3600,3468,6759,13417,13421,90512,31330,17943,11184,22198,7857
NHSCT,335761,227093,44676,124329,1105,7863,5911,16840,14663,11706,108668,45739,19771,13990,20527,8641
SEHSCT,251647,170549,34750,93428,907,6034,5025,11832,10494,8079,81098,37460,13345,9843,14501,5949
SHSCT,256035,172195,33365,91469,864,6769,4659,14051,13089,7929,83840,29837,15294,12051,18821,7837
WHSCT,212817,133282,26295,66180,630,5155,3658,11004,13533,6827,79535,25650,14805,11330,19433,8317
BELB,208609,132666,26300,71906,412,2732,2670,5124,11832,11690,75943,24126,15424,9704,19833,6856
NEELB,309116,209675,41242,115570,993,7042,5379,15160,13410,10879,99441,42768,17926,12644,18368,7735
SEELB,300198,204531,41502,113921,1027,6902,5823,13467,12079,9810,95667,44664,15864,11323,16866,6950
SELB,282680,189613,36799,100228,976,7590,5191,15731,14342,8756,93067,32808,17139,13397,20980,8743
WELB,212817,133282,26295,66180,630,5155,3658,11004,13533,6827,79535,25650,14805,11330,19433,8317
UKN01,208609,132666,26300,71906,412,2732,2670,5124,11832,11690,75943,24126,15424,9704,19833,6856
UKN02,283218,194967,39580,112707,853,5436,4940,10219,10922,10310,88251,41199,15387,10380,15225,6060
UKN03,317543,216558,42661,119613,1093,7648,5735,16304,13772,9732,100985,44138,16209,12461,20220,7957
UKN04,209839,130109,26334,63549,622,4721,3636,9988,13685,7574,79730,27182,14923,11193,18605,7827
UKN05,294211,195467,37263,100030,1058,8884,5740,18851,14985,8656,98744,33371,19215,14660,21597,9901
95AA,38597,27361,5251,15751,119,880,661,1863,1505,1331,11236,4778,1766,1492,2317,883
95BB,57290,38371,8009,20637,215,1399,1201,2985,2327,1598,18919,9681,2629,2153,3219,1237
95CC,42544,28911,5596,15115,153,1228,872,2627,2102,1218,13633,5267,2653,1770,2716,1227
95DD,46337,32020,6354,17908,173,1140,805,2504,1847,1289,14317,6641,2243,1811,2482,1140
95EE,22558,14740,2760,7604,87,671,455,1472,1201,490,7818,2901,1493,1169,1572,683
95FF,34555,24187,4560,13303,114,966,686,2198,1401,959,10368,4276,1793,1370,2144,785
95GG,208609,132666,26300,71906,412,2732,2670,5124,11832,11690,75943,24126,15424,9704,19833,6856
95HH,28657,19596,3985,11474,73,392,471,929,1275,997,9061,4333,1453,1030,1672,573
95II,48551,33982,6752,20493,120,868,798,1635,1585,1731,14569,7204,2519,1480,2365,1001
95JJ,43277,27795,5729,13662,152,1116,863,2037,2075,2161,15482,6530,3063,1976,2609,1304
95KK,26645,17418,3434,8759,112,821,532,1680,1253,827,9227,2971,1845,1346,2159,906
95LL,67061,45009,8792,25813,192,1259,943,2547,3254,2209,22052,8379,3706,2811,5202,1954
95MM,78409,47447,10008,23083,198,1289,1233,2454,5904,3278,30962,9323,5947,4430,8369,2893
95NN,50138,33648,6561,17157,201,1443,1026,3129,2451,1680,16490,6632,2999,1975,3460,1424
95OO,41315,27881,5249,14703,138,1219,848,2471,2017,1236,13434,4343,2680,2019,2980,1412
95PP,44465,29852,5742,15390,156,1379,918,3023,2093,1151,14613,5558,2663,2140,2714,1538
95QQ,23565,15962,3134,9044,79,561,413,1078,987,666,7603,3751,1073,849,1396,534
95RR,24610,15067,2891,7431,66,598,370,1398,1698,615,9543,2948,1766,1326,2133,1370
95SS,86371,59061,12103,33223,299,1964,1507,3413,3528,3024,27310,11199,5008,3719,5201,2183
95TT,31959,21505,3834,11435,97,960,564,2320,1397,898,10454,3419,2364,1586,2060,1025
95UU,12375,7837,1532,3586,44,338,274,1020,777,266,4538,1900,773,576,894,395
95VV,70560,46207,9168,22535,267,2097,1310,4208,4315,2307,24353,7572,4462,4081,5779,2459
95WW,61791,42859,8663,25106,169,984,873,1937,2346,2781,18932,8515,3698,2155,3366,1198
95XX,57848,39469,8077,22411,192,1228,1291,2305,2188,1777,18379,9948,2709,1996,2621,1105
95YY,36723,23693,4240,12093,135,1180,696,2522,1808,1019,13030,4241,2548,1718,3189,1334
95ZZ,28610,17223,3414,8183,75,709,441,1607,2030,764,11387,3580,1881,1716,3028,1182
