GeographyCode,QS303NI0001,QS303NI0002,QS303NI0003,QS303NI0004
N92000002,1810863,215232,159414,1436217
BHSCT,348204,48585,31637,267982
NHSCT,463297,50066,40961,372270
SEHSCT,346911,37602,31142,278167
SHSCT,358034,40991,29323,287720
WHSCT,294417,37988,26351,230078
BELB,280962,41176,25560,214226
NEELB,426284,45524,37720,343040
SEELB,414153,45011,37219,331923
SELB,395047,45533,32564,316950
WELB,294417,37988,26351,230078
UKN01,280962,41176,25560,214226
UKN02,390597,41772,34456,314369
UKN03,438823,48975,38957,350891
UKN04,288597,36471,25847,226279
UKN05,411884,46838,34594,330452
95AA,53428,5368,4327,43733
95BB,78078,8930,7581,61567
95CC,59340,6558,4967,47815
95DD,64044,6585,5582,51877
95EE,31224,3572,2694,24958
95FF,48339,5269,3965,39105
95GG,280962,41176,25560,214226
95HH,39114,4425,3769,30920
95II,67242,7409,6077,53756
95JJ,59067,6159,5423,47485
95KK,37013,4542,3241,29230
95LL,93023,11224,8000,73799
95MM,107877,14802,9353,83722
95NN,69731,8006,6370,55355
95OO,57852,6367,4659,46826
95PP,61805,6780,5527,49498
95QQ,32180,3593,3132,25455
95RR,33536,3974,2980,26582
95SS,120165,12900,9964,97301
95TT,45038,4494,3817,36727
95UU,17050,2056,1557,13437
95VV,99480,11573,7732,80175
95WW,85139,9272,7419,68448
95XX,78937,7766,7227,63944
95YY,51356,6524,4651,40181
95ZZ,39843,5908,3840,30095
