GeographyCode,QS606NI0001,QS606NI0002,QS606NI0003,QS606NI0004,QS606NI0005,QS606NI0006,QS606NI0007,QS606NI0008,QS606NI0009,QS606NI0010,QS606NI0011,QS606NI0012,QS606NI0013,QS606NI0014,QS606NI0015,QS606NI0016,QS606NI0017,QS606NI0018,QS606NI0019,QS606NI0020,QS606NI0021,QS606NI0022,QS606NI0023,QS606NI0024,QS606NI0025,QS606NI0026,QS606NI0027,QS606NI0028,QS606NI0029,QS606NI0030,QS606NI0031,QS606NI0032,QS606NI0033,QS606NI0034,QS606NI0035,QS606NI0036,QS606NI0037,QS606NI0038,QS606NI0039,QS606NI0040,QS606NI0041,QS606NI0042,QS606NI0043,QS606NI0044,QS606NI0045,QS606NI0046,QS606NI0047,QS606NI0048,QS606NI0049,QS606NI0050,QS606NI0051
N92000002,1313420,97470,18452,79018,46786,19799,11224,1209,242499,156038,130249,12703,10583,2503,49763,36698,165413,113671,35244,11840,4658,123337,35407,32564,2843,87930,71657,16273,90090,48078,42012,36811,5201,200632,65932,76318,10552,26900,3024,13847,4059,173187,22454,23363,56896,68767,1707,93925,64601,29324,126867
BHSCT,257160,24786,3373,21413,12795,5581,2782,255,47249,30835,25407,2633,2329,466,9330,7084,33521,23097,6918,2521,985,12722,3796,3745,51,8926,8779,147,15714,8631,7083,6439,644,38067,13307,15937,1905,3289,102,2842,685,32668,5234,3331,8132,15832,139,21541,15727,5814,30892
NHSCT,335761,23146,4875,18271,10828,4747,2421,275,62244,39650,33185,3322,2530,613,13256,9338,42593,30000,8422,2923,1248,34272,9775,8945,830,24497,19469,5028,25231,12788,12443,11021,1422,52949,17161,19038,3125,8000,934,3698,993,45094,5451,5357,15616,18255,415,19235,12806,6429,30997
SEHSCT,251647,21928,4521,17407,10002,4500,2597,308,54351,32792,26769,2802,2532,689,11922,9637,37550,26589,7615,2341,1005,24557,7439,6932,507,17118,15120,1998,16682,9013,7669,6852,817,36527,12890,14662,1601,3275,461,2899,739,26097,4242,2926,8636,9966,327,12950,8393,4557,21005
SHSCT,256035,16124,3433,12691,7731,2853,1859,248,44232,29344,24637,2434,1816,457,8830,6058,28919,19242,6676,2260,741,28917,8221,7425,796,20696,16079,4617,18248,9890,8358,7037,1321,40068,11857,13986,2339,8007,698,2448,733,38092,3921,5869,14387,13302,613,18616,12577,6039,22819
WHSCT,212817,11486,2250,9236,5430,2118,1565,123,34423,23417,20251,1512,1376,278,6425,4581,22830,14743,5613,1795,679,22869,6176,5517,659,16693,12210,4483,14215,7756,6459,5462,997,33021,10717,12695,1582,4329,829,1960,909,31236,3606,5880,10125,11412,213,21583,15098,6485,21154
BELB,208609,19108,2421,16687,9969,4227,2307,184,35922,23608,19404,1955,1898,351,7098,5216,25684,17512,5489,1975,708,9559,2812,2796,16,6747,6694,53,12574,7031,5543,5024,519,31215,10999,13085,1577,2748,70,2205,531,28189,4514,2958,6758,13849,110,19648,14521,5127,26710
NEELB,309116,21840,4557,17283,10232,4537,2261,253,58137,36872,30853,3092,2365,562,12461,8804,40158,28308,7884,2775,1191,30685,8729,8024,705,21956,17727,4229,23327,11816,11511,10179,1332,48806,15869,17672,2911,7237,822,3386,909,40698,5048,4660,13798,16818,374,17091,11238,5853,28374
SEELB,300198,27606,5473,22133,12828,5854,3072,379,65678,40019,32772,3480,2963,804,14154,11505,45387,32174,9044,2887,1282,27720,8423,7881,542,19297,17205,2092,19822,10613,9209,8267,942,43379,15198,17514,1929,3816,493,3536,893,30576,4962,3299,10010,11949,356,14843,9599,5244,25187
SELB,282680,17430,3751,13679,8327,3063,2019,270,48339,32122,26969,2664,1981,508,9625,6592,31354,20934,7214,2408,798,32504,9267,8346,921,23237,17821,5416,20152,10862,9290,7879,1411,44211,13149,15352,2553,8770,810,2760,817,42488,4324,6566,16205,14739,654,20760,14145,6615,25442
