GeographyCode,QS414NI0001,QS414NI0002,QS414NI0003,QS414NI0004,QS414NI0005,QS414NI0006,QS414NI0007,QS414NI0008,QS414NI0009,QS414NI0010,QS414NI0011,QS414NI0012,QS414NI0013,QS414NI0014,QS414NI0015,QS414NI0016,QS414NI0017,QS414NI0018,QS414NI0019,QS414NI0020,QS414NI0021,QS414NI0022,QS414NI0023,QS414NI0024,QS414NI0025,QS414NI0026,QS414NI0027,QS414NI0028,QS414NI0029
N92000002,22524,14169,2676,168,497,2011,733,487,246,10760,7682,2699,40,100,31,208,8355,1288,928,18,16,4742,331,687,5,0,184,4,152
BHSCT,5561,3089,610,47,154,409,183,56,127,2296,1388,777,31,0,0,100,2472,0,104,1,0,1866,30,378,0,0,70,0,23
NHSCT,6259,3633,966,0,169,797,195,135,60,2472,1886,507,8,25,0,46,2626,227,0,17,0,2137,121,102,1,0,18,0,3
SEHSCT,4714,3036,292,0,68,224,23,0,23,2721,1834,777,1,53,31,25,1678,1061,342,0,16,149,62,34,4,0,0,4,6
SHSCT,2454,2173,317,92,0,225,62,56,6,1794,1536,221,0,8,0,29,281,0,0,0,0,79,32,57,0,0,73,0,40
WHSCT,3536,2238,491,29,106,356,270,240,30,1477,1038,417,0,14,0,8,1298,0,482,0,0,511,86,116,0,0,23,0,80
BELB,4821,2471,392,47,11,334,170,43,127,1909,1129,662,31,0,0,87,2350,0,0,1,0,1866,25,365,0,0,70,0,23
NEELB,5957,3412,943,0,169,774,195,135,60,2274,1688,507,8,25,0,46,2545,227,0,0,0,2089,121,86,1,0,18,0,3
SEELB,5454,3654,510,0,211,299,36,13,23,3108,2093,892,1,53,31,38,1800,1061,446,0,16,149,67,47,4,0,0,4,6
SELB,2756,2394,340,92,0,248,62,56,6,1992,1734,221,0,8,0,29,362,0,0,17,0,127,32,73,0,0,73,0,40
WELB,3536,2238,491,29,106,356,270,240,30,1477,1038,417,0,14,0,8,1298,0,482,0,0,511,86,116,0,0,23,0,80
UKN01,4821,2471,392,47,11,334,170,43,127,1909,1129,662,31,0,0,87,2350,0,0,1,0,1866,25,365,0,0,70,0,23
UKN02,6169,3268,613,0,159,454,35,13,22,2620,1919,574,1,65,31,30,2901,844,446,0,16,1502,39,47,1,0,0,0,6
UKN03,4211,3554,722,0,161,561,106,86,20,2726,1971,660,8,21,0,66,657,444,0,0,0,9,76,82,4,0,18,4,20
UKN04,3930,1942,513,26,136,351,281,225,56,1148,709,422,0,0,0,17,1988,0,482,0,0,1234,112,136,0,0,8,0,16
UKN05,3393,2934,436,95,30,311,141,120,21,2357,1954,381,0,14,0,8,459,0,0,17,0,131,79,57,0,0,88,0,87
95AA,888,642,165,0,109,56,30,30,0,447,312,122,0,13,0,0,246,227,0,0,0,0,19,0,0,0,0,0,0
95BB,595,584,31,0,0,31,14,0,14,539,378,152,0,0,0,9,11,0,0,0,0,0,11,0,0,0,0,0,0
95CC,702,631,105,92,0,13,0,0,0,526,401,122,0,0,0,3,71,0,0,0,0,16,18,25,0,0,12,0,0
