GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
N92000002,703275,196414,76670,110632,1972,7140,424304,192958,218708,2313,10325,82557,10804,24640,38122,8418,573
BHSCT,148328,50611,18470,28867,707,2567,79382,36030,39544,864,2944,18335,3095,5921,7003,2108,208
NHSCT,177914,46858,12528,32173,461,1696,107969,34208,70495,501,2765,23087,2278,7412,10910,2367,120
SEHSCT,136698,36574,9258,25288,401,1627,80424,24207,52962,398,2857,19700,2093,7622,7781,2062,142
SHSCT,131129,32965,17224,14748,245,748,86158,49602,34981,323,1252,12006,1929,2617,6098,1288,74
WHSCT,109206,29406,19190,9556,158,502,70371,48911,20726,227,507,9429,1409,1068,6330,593,29
BELB,120595,42401,17293,22312,624,2172,63694,32954,27691,725,2324,14500,2679,4356,5600,1688,177
NEELB,165010,43835,10930,30801,445,1659,99238,29086,67023,478,2651,21937,2126,7241,10190,2263,117
SEELB,164431,44784,10435,31843,484,2022,96112,27283,64815,537,3477,23535,2509,9187,9184,2482,173
SELB,144033,35988,18822,16120,261,785,94889,54724,38453,346,1366,13156,2081,2788,6818,1392,77
WELB,109206,29406,19190,9556,158,502,70371,48911,20726,227,507,9429,1409,1068,6330,593,29
UKN01,120595,42401,17293,22312,624,2172,63694,32954,27691,725,2324,14500,2679,4356,5600,1688,177
UKN02,156882,43525,7301,33583,514,2127,90380,19618,66596,556,3610,22977,2277,9559,8559,2423,159
UKN03,170132,44655,14154,28455,445,1601,103632,35788,64614,495,2735,21845,2506,7003,9896,2299,141
UKN04,109318,29564,15569,13143,187,665,68560,39337,28255,257,711,11194,1435,2039,6800,871,49
UKN05,146348,36269,22353,13139,202,575,98038,65261,31552,280,945,12041,1907,1683,7267,1137,47
95AA,20064,5093,1762,3060,38,233,11769,4805,6513,75,376,3202,448,815,1536,384,19
95BB,31514,8310,971,6826,102,411,18761,1818,16040,110,793,4443,276,2287,1421,423,36
95CC,21594,5464,2584,2764,26,90,14525,7029,7253,57,186,1605,251,438,760,144,12
95DD,24817,6381,1211,4931,65,174,15691,3095,12178,71,347,2745,269,922,1229,307,18
95EE,11508,2741,651,1990,25,75,7385,2133,5102,30,120,1382,100,425,724,126,7
95FF,18303,4613,1445,2954,50,164,11009,3309,7454,51,195,2681,266,715,1437,255,8
95GG,120595,42401,17293,22312,624,2172,63694,32954,27691,725,2324,14500,2679,4356,5600,1688,177
95HH,16200,4674,440,3887,66,281,9123,549,8095,39,440,2403,168,1200,765,253,17
95II,27733,8210,1177,6555,83,395,15688,3076,11853,139,620,3835,416,1565,1403,420,31
95JJ,23508,6715,1600,4801,69,245,13338,3280,9686,70,302,3455,311,909,1881,338,16
95KK,12904,3023,1598,1372,16,37,8731,5122,3472,23,114,1150,152,171,720,104,3
95LL,35931,9528,3742,5391,103,292,22967,10642,11637,122,566,3436,533,1034,1466,370,33
95MM,40779,11366,8072,3007,64,223,26231,20334,5619,126,152,3182,623,358,1943,239,19
95NN,26206,6888,4071,2585,57,175,15937,10484,5149,44,260,3381,566,598,1791,405,21
95OO,20270,4856,2754,1997,29,76,13935,9009,4740,39,147,1479,236,221,868,143,11
95PP,23069,6356,3655,2541,42,118,14373,8634,5534,46,159,2340,297,297,1588,155,3
95QQ,13297,3842,952,2708,30,152,7498,1635,5643,22,198,1957,148,632,1016,155,6
95RR,12098,2811,1559,1186,13,53,7746,4689,2992,9,56,1541,181,155,1111,90,4
95SS,45723,11384,2970,7858,126,430,28321,10347,17053,125,796,6018,739,2100,2533,604,42
95TT,15037,3174,1774,1328,19,53,10569,7081,3383,28,77,1294,128,194,826,139,7
95UU,6608,1950,1072,832,10,36,4022,2420,1548,9,45,636,112,87,391,45,1
95VV,35031,8504,6699,1642,37,126,23722,19613,3897,54,158,2805,643,209,1567,376,10
95WW,33971,9265,1468,7264,123,410,19843,4088,14875,134,746,4863,442,2057,1822,516,26
95XX,33255,9992,1246,8019,116,611,17405,1558,14720,119,1008,5858,512,2637,2036,630,43
95YY,18443,4892,3289,1495,33,75,12183,8773,3273,33,104,1368,200,153,938,76,1
95ZZ,14817,3981,2615,1327,6,33,9838,6481,3308,13,36,998,108,105,750,33,2
