GeographyCode,QS219NI0001,QS219NI0002,QS219NI0003,QS219NI0004,QS219NI0005,QS219NI0006,QS219NI0007,QS219NI0008,QS219NI0009
N92000002,703275,263153,145109,104505,23132,40062,5925,70600,50789
BHSCT,148328,50967,26727,20617,6664,8022,1997,20090,13244
NHSCT,177914,48294,52927,26943,5993,12535,1359,18401,11462
SEHSCT,136698,34368,35184,23144,5438,9569,1167,19024,8804
SHSCT,131129,64273,18443,19436,3047,7289,823,8143,9675
WHSCT,109206,65251,11828,14365,1990,2647,579,4942,7604
BELB,120595,46467,19193,15507,4760,5598,1695,15816,11559
NEELB,165010,41682,50993,24898,5810,11897,1304,17832,10594
SEELB,164431,38868,42718,28254,7342,11993,1469,23298,10489
SELB,144033,70885,20377,21481,3230,7927,878,8712,10543
WELB,109206,65251,11828,14365,1990,2647,579,4942,7604
UKN01,120595,46467,19193,15507,4760,5598,1695,15816,11559
UKN02,156882,28442,42348,29023,9371,12478,1508,23688,10024
UKN03,170132,50801,46254,25459,5215,12264,1324,17783,11032
UKN04,109318,53129,21461,14507,1099,3908,650,6767,7797
UKN05,146348,84314,15853,20009,2687,5814,748,6546,10377
95AA,20064,6861,5533,2450,311,1125,165,2294,1325
95BB,31514,3166,11909,5229,1539,2536,299,4910,1926
95CC,21594,9266,3619,4039,540,1336,122,1166,1506
95DD,24817,4582,10569,2774,596,2324,192,2143,1637
95EE,11508,2965,4394,1561,86,959,76,853,614
95FF,18303,5099,5262,3157,368,1504,137,1723,1053
95GG,120595,46467,19193,15507,4760,5598,1695,15816,11559
95HH,16200,1189,5008,3132,1347,1584,149,2799,992
95II,27733,4500,7534,5110,1904,2424,302,4274,1685
95JJ,23508,5267,6909,5189,368,1468,200,2432,1675
95KK,12904,6612,1934,2045,183,638,55,569,868
95LL,35931,13953,4138,7688,1620,2745,297,2950,2540
95MM,40779,26374,4193,3387,358,710,264,2071,3422
95NN,26206,14363,3791,2520,238,1178,157,2286,1673
95OO,20270,11205,2202,3171,375,842,114,806,1555
95PP,23069,12168,768,5476,1100,860,134,1200,1363
95QQ,13297,2777,5052,1641,543,852,77,1477,878
95RR,12098,6421,2413,1634,77,319,45,603,586
95SS,45723,13428,9304,9255,1840,3235,384,5267,3010
95TT,15037,8750,2111,1765,85,802,75,622,827
95UU,6608,3377,1095,1000,15,168,24,425,504
95VV,35031,24750,3222,1381,144,862,153,1498,3021
95WW,33971,5914,10322,5386,2459,2615,346,4787,2142
95XX,33255,3411,10180,6140,1821,2620,327,6561,2195
95YY,18443,11563,1997,2132,260,474,95,685,1237
95ZZ,14817,8725,2457,1736,195,284,41,383,996
