GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
N92000002,795263,17822,1972,77072,16662,3710,2189,9048,11501,19721,14241,3508,5792,65059,139384,32006,42703,20267,25993,7504,36277,32447,63422,74569,112995,35763,422,286
BHSCT,150870,261,89,9210,1242,327,131,936,900,3694,1980,671,1028,6539,25260,5781,10122,6472,6822,1808,9262,6868,14002,14950,23789,7816,59,61
NHSCT,210147,5445,606,23558,5122,700,590,2812,3766,6655,3913,1181,1613,19247,37746,10203,10790,4289,6087,1882,8138,7867,15220,19162,27974,8991,90,58
SEHSCT,158531,2393,210,11866,1761,693,210,1347,1720,3562,2573,673,943,11611,27362,5566,8128,4198,6007,1638,7954,7542,17387,13843,23411,7643,105,51
SHSCT,157636,5243,467,21488,6332,1095,747,3147,2857,3520,3790,485,1422,15862,28567,6456,7155,2646,3476,1103,6724,5507,9396,14577,20625,6290,102,45
WHSCT,118079,4480,600,10950,2205,895,511,806,2258,2290,1985,498,786,11800,20449,4000,6508,2662,3601,1073,4199,4663,7417,12037,17196,5023,66,71
BELB,118754,134,63,6906,955,260,93,699,689,2726,1484,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6250,48,46
NEELB,194151,4626,536,20983,4307,628,521,2710,3198,6271,3348,1141,1507,17232,34766,9690,10083,4095,5785,1807,7513,7429,14507,17797,26175,8341,83,55
SEELB,190647,2520,236,14170,2048,760,248,1584,1931,4530,3069,859,1119,13204,32394,6615,9639,5487,7543,2034,9810,8813,21066,17060,28687,9209,116,66
SELB,173632,6062,537,24063,7147,1167,816,3249,3425,3904,4355,525,1528,17877,31547,6969,7862,2840,3778,1178,7349,5945,10109,15942,22424,6940,109,48
WELB,118079,4480,600,10950,2205,895,511,806,2258,2290,1985,498,786,11800,20449,4000,6508,2662,3601,1073,4199,4663,7417,12037,17196,5023,66,71
UKN01,118754,134,63,6906,955,260,93,699,689,2726,1484,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6250,48,46
UKN02,182067,1120,224,14867,1798,630,269,1745,1885,5460,3080,1044,1085,10271,32831,7975,8659,5780,7916,2019,9291,8338,19140,16750,26005,8596,91,65
UKN03,200970,4890,433,22505,5244,1201,585,3520,2639,5474,3842,960,1603,17823,35046,8572,10129,4130,5476,1657,8241,8376,16906,16663,28758,8656,95,51
UKN04,114548,3483,284,10353,2467,814,328,940,1637,2486,1681,450,784,10467,20339,3978,7016,2441,3049,1217,4227,4906,7822,12194,16226,5186,57,69
UKN05,178924,8195,968,22441,6198,805,914,2144,4651,3575,4154,569,1468,21552,30940,6749,8288,2733,4266,1199,7112,5230,9231,17229,23493,7075,131,55
95AA,25595,531,32,2545,262,97,73,515,323,848,427,95,232,2098,4309,1607,1371,590,646,174,952,1013,2286,1939,4240,919,8,8
95BB,35743,901,68,2822,469,171,40,235,376,947,584,159,233,2810,6083,1333,1805,856,1370,343,1572,1871,4048,2650,5039,1747,26,7
95CC,26586,1340,116,2914,784,164,84,399,419,454,610,71,292,2513,4733,1183,1098,374,573,177,1020,899,1751,2448,3967,1088,21,8
95DD,29920,978,81,4426,1513,132,49,778,389,1070,495,162,323,2679,5559,1180,1322,482,616,233,1043,1050,1993,2537,4027,1210,14,5
95EE,13426,580,37,1645,536,33,30,159,310,347,230,45,94,1607,2367,504,601,146,286,147,502,442,840,1139,1856,579,6,3
95FF,22621,752,64,2298,489,177,61,387,316,447,421,85,160,2291,4084,932,955,424,577,168,1064,967,1959,1966,2950,916,6,3
95GG,118754,134,63,6906,955,260,93,699,689,2726,1484,485,852,4946,20228,4732,8611,5183,5286,1412,7406,5597,10323,11733,18513,6250,48,46
95HH,18104,78,46,1810,165,40,31,173,257,823,321,201,124,1108,3129,1105,891,497,831,199,782,839,1634,1664,2305,850,4,7
95II,32116,127,26,2304,287,67,38,237,211,968,496,186,176,1593,5032,1049,1511,1289,1536,396,1856,1271,3679,3217,5276,1566,11,15
95JJ,25272,679,60,2172,734,57,92,152,407,390,340,80,118,1717,5004,790,2034,380,558,275,1084,1004,1857,3018,3141,1275,15,11
95KK,15996,819,70,2575,815,72,69,102,568,384,565,40,106,2015,2980,513,707,194,302,75,625,438,713,1365,1799,650,7,3
95LL,41320,593,52,6739,2031,499,284,1104,640,945,1236,135,319,3082,7946,1577,2064,824,907,348,1673,1631,2678,3471,5625,1624,17,15
95MM,40612,397,49,3567,567,396,81,376,419,1221,507,156,347,2570,7391,1486,2541,1360,1256,477,1445,2155,2526,4546,6459,1826,23,35
95NN,30910,779,56,1855,316,92,53,211,361,422,400,106,219,3578,4722,824,1876,654,910,283,1416,1234,2828,2979,5028,1537,17,9
95OO,25646,1286,110,5004,2135,114,109,310,871,692,773,85,151,2578,4019,991,985,343,445,125,1092,765,1136,2476,3062,964,20,9
95PP,27574,1474,285,2866,585,119,245,151,944,254,568,75,143,2857,4937,945,1596,545,1082,181,924,820,1386,2535,3737,1155,19,12
95QQ,14861,356,80,1820,164,33,25,290,234,795,279,218,117,1285,2343,1119,736,300,450,108,521,610,1114,1121,1849,703,7,4
95RR,13217,444,57,1119,166,88,99,106,177,206,277,77,95,1877,1901,412,725,170,352,122,468,612,1196,1242,1824,508,7,9
95SS,54962,602,69,4737,764,274,65,598,721,1294,1021,232,314,3401,10472,2152,2550,1362,2062,487,2737,2174,5912,4971,8158,2517,32,21
95TT,19983,765,117,2510,409,132,129,155,757,423,505,65,151,3515,2956,660,864,282,432,180,692,461,1086,1933,2629,665,14,6
95UU,7021,457,17,491,154,11,9,54,87,99,77,26,54,876,986,313,454,112,144,79,250,219,381,791,1048,319,1,3
95VV,41463,1272,125,4533,893,141,209,947,611,982,750,109,500,5398,7785,1773,2053,681,974,285,1875,1245,1872,4216,5021,1698,38,10
95WW,39969,202,66,3564,370,93,83,434,434,1476,674,249,294,2347,8113,2412,1810,1306,1822,412,1687,1791,3316,3655,5080,1821,14,8
95XX,36916,111,17,2452,212,156,52,303,262,899,568,176,177,1822,6085,1257,1897,1326,1665,525,2229,2263,4599,3243,5186,1842,30,14
95YY,21676,1239,145,2039,577,63,69,80,481,386,383,124,125,2676,3530,684,985,314,458,176,884,602,1287,2256,3278,855,12,7
95ZZ,15000,926,64,1359,310,229,17,93,237,223,250,66,76,1820,2690,473,661,273,453,117,478,474,1022,1458,1898,679,5,8
