GeographyCode,QS412NI0001,QS412NI0002,QS412NI0003,QS412NI0004
N92000002,22524,20779,427,1318
BHSCT,5561,5097,119,345
NHSCT,6259,5862,121,276
SEHSCT,4714,4322,63,329
SHSCT,2454,2291,27,136
WHSCT,3536,3207,97,232
BELB,4821,4461,102,258
NEELB,5957,5577,121,259
SEELB,5454,4958,80,416
SELB,2756,2576,27,153
WELB,3536,3207,97,232
UKN01,4821,4461,102,258
UKN02,6169,5767,65,337
UKN03,4211,3831,88,292
UKN04,3930,3605,113,212
UKN05,3393,3115,59,219
95AA,888,854,20,14
95BB,595,516,4,75
95CC,702,679,8,15
95DD,641,581,2,58
95EE,170,160,0,10
95FF,294,274,2,18
95GG,4821,4461,102,258
95HH,329,326,2,1
95II,740,636,17,87
95JJ,1306,1204,37,65
95KK,302,285,0,17
95LL,510,460,5,45
95MM,1377,1280,48,49
95NN,1017,920,22,75
95OO,390,361,3,26
95PP,741,643,19,79
95QQ,266,226,33,7
95RR,686,649,6,31
95SS,1640,1545,5,90
95TT,216,208,3,5
95UU,143,99,15,29
95VV,558,517,9,32
95WW,1998,1919,9,70
95XX,1462,1341,32,89
95YY,484,422,17,45
95ZZ,248,213,7,28
