GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
N06000001,92221,5937,2952,1850,5262,1079,2193,2202,5467,6614,20223,17937,4481,7922,5710,1617,775,39.73,39,6.44,3.20,2.01,5.71,1.17,2.38,2.39,5.93,7.17,21.93,19.45,4.86,8.59,6.19,1.75,0.84
N06000002,102531,7315,3733,2350,6311,1270,2876,2753,7092,7583,20326,19482,5001,8445,5903,1418,673,38.15,37,7.13,3.64,2.29,6.16,1.24,2.81,2.69,6.92,7.40,19.82,19.00,4.88,8.24,5.76,1.38,0.66
N06000003,111402,6047,3074,1920,5526,1111,2414,4959,13696,10671,23205,19134,4584,7423,5457,1453,728,36.83,33,5.43,2.76,1.72,4.96,1.00,2.17,4.45,12.29,9.58,20.83,17.18,4.11,6.66,4.90,1.30,0.65
N06000004,93986,6899,3729,2362,7115,1523,3246,3204,7473,7069,17883,17506,4198,6423,3995,937,424,35.50,33,7.34,3.97,2.51,7.57,1.62,3.45,3.41,7.95,7.52,19.03,18.63,4.47,6.83,4.25,1.00,0.45
N06000005,90067,5383,3238,2063,5794,1232,2509,2855,6021,4977,17756,18851,5115,7928,4697,1088,560,39.03,40,5.98,3.60,2.29,6.43,1.37,2.79,3.17,6.69,5.53,19.71,20.93,5.68,8.80,5.22,1.21,0.62
N06000006,99673,6312,3613,2407,6753,1398,2813,3173,6954,5951,20220,19679,5453,8579,4681,1170,517,38.08,38,6.33,3.62,2.41,6.78,1.40,2.82,3.18,6.98,5.97,20.29,19.74,5.47,8.61,4.70,1.17,0.52
N06000007,102553,7311,3993,2655,6959,1398,2983,2434,6695,7104,21454,19587,5483,7973,4745,1196,583,37.32,36,7.13,3.89,2.59,6.79,1.36,2.91,2.37,6.53,6.93,20.92,19.10,5.35,7.77,4.63,1.17,0.57
N06000008,100807,7049,3826,2612,7318,1619,3288,3205,7409,7555,20555,19339,5003,7120,3789,769,351,35.83,35,6.99,3.80,2.59,7.26,1.61,3.26,3.18,7.35,7.49,20.39,19.18,4.96,7.06,3.76,0.76,0.35
N06000009,101710,7121,3755,2380,6302,1357,2713,2435,5965,6253,21704,20092,5578,8946,5246,1193,670,38.64,39,7.00,3.69,2.34,6.20,1.33,2.67,2.39,5.86,6.15,21.34,19.75,5.48,8.80,5.16,1.17,0.66
N06000010,99155,7745,4185,2666,6996,1489,3079,2676,7305,7051,21420,17604,4653,6883,3956,953,494,35.54,34,7.81,4.22,2.69,7.06,1.50,3.11,2.70,7.37,7.11,21.60,17.75,4.69,6.94,3.99,0.96,0.50
N06000011,112401,8388,4569,2968,7951,1648,3440,2940,7683,8135,23262,20898,5597,8407,4851,1169,495,36.37,35,7.46,4.06,2.64,7.07,1.47,3.06,2.62,6.84,7.24,20.70,18.59,4.98,7.48,4.32,1.04,0.44
N06000012,108207,7010,4025,2720,6940,1375,2982,2588,6805,6712,22470,21024,5980,9745,5821,1368,642,38.82,39,6.48,3.72,2.51,6.41,1.27,2.76,2.39,6.29,6.20,20.77,19.43,5.53,9.01,5.38,1.26,0.59
N06000013,89498,5412,3041,1895,5078,1034,2180,1988,4993,5304,17571,18337,5963,9144,5244,1493,821,41.04,42,6.05,3.40,2.12,5.67,1.16,2.44,2.22,5.58,5.93,19.63,20.49,6.66,10.22,5.86,1.67,0.92
N06000014,99238,7334,3961,2554,6718,1341,2742,2422,6060,6459,21752,19125,5347,7949,4149,916,409,37.03,37,7.39,3.99,2.57,6.77,1.35,2.76,2.44,6.11,6.51,21.92,19.27,5.39,8.01,4.18,0.92,0.41
N06000015,108835,8175,4414,2921,7755,1619,3305,2938,7306,7152,22141,20745,5648,8168,4801,1202,545,36.66,36,7.51,4.06,2.68,7.13,1.49,3.04,2.70,6.71,6.57,20.34,19.06,5.19,7.50,4.41,1.10,0.50
N06000016,89370,5387,3273,2057,5826,1189,2440,2134,5197,5057,17551,18962,5675,8491,4484,1082,565,39.62,40,6.03,3.66,2.30,6.52,1.33,2.73,2.39,5.82,5.66,19.64,21.22,6.35,9.50,5.02,1.21,0.63
N06000017,118010,9193,4694,2862,7653,1559,3338,2923,7977,8503,25400,22011,5830,9128,5198,1212,529,36.69,36,7.79,3.98,2.43,6.49,1.32,2.83,2.48,6.76,7.21,21.52,18.65,4.94,7.73,4.40,1.03,0.45
N06000018,91199,6364,3587,2383,6777,1379,2899,2352,5915,5949,19054,17537,4701,6926,3997,929,450,36.83,36,6.98,3.93,2.61,7.43,1.51,3.18,2.58,6.49,6.52,20.89,19.23,5.15,7.59,4.38,1.02,0.49
