GeographyCode,KS201NI0001,KS201NI0002,KS201NI0003,KS201NI0004,KS201NI0005,KS201NI0006,KS201NI0007,KS201NI0008,KS201NI0009,KS201NI0010,KS201NI0011,KS201NI0012,KS201NI0013,KS201NI0014,KS201NI0015,KS201NI0016,KS201NI0017,KS201NI0018,KS201NI0019,KS201NI0020,KS201NI0021,KS201NI0022,KS201NI0023,KS201NI0024,KS201NI0025
N06000001,92221,89554,540,25,513,71,44,579,30,228,40,427,170,97.11,0.59,0.03,0.56,0.08,0.05,0.63,0.03,0.25,0.04,0.46,0.18
N06000002,102531,100262,294,43,568,69,18,479,27,225,46,380,120,97.79,0.29,0.04,0.55,0.07,0.02,0.47,0.03,0.22,0.04,0.37,0.12
N06000003,111402,104902,1852,68,1403,186,160,1008,28,602,54,771,368,94.17,1.66,0.06,1.26,0.17,0.14,0.90,0.03,0.54,0.05,0.69,0.33
N06000004,93986,92319,171,158,311,24,17,449,18,124,36,290,69,98.23,0.18,0.17,0.33,0.03,0.02,0.48,0.02,0.13,0.04,0.31,0.07
N06000005,90067,88678,419,11,230,52,16,157,9,74,18,345,58,98.46,0.47,0.01,0.26,0.06,0.02,0.17,0.01,0.08,0.02,0.38,0.06
N06000006,99673,98476,272,34,157,40,11,201,6,69,22,279,106,98.80,0.27,0.03,0.16,0.04,0.01,0.20,0.01,0.07,0.02,0.28,0.11
N06000007,102553,100781,164,112,233,42,9,227,15,121,229,322,298,98.27,0.16,0.11,0.23,0.04,0.01,0.22,0.01,0.12,0.22,0.31,0.29
N06000008,100807,98982,251,71,603,46,12,180,51,80,33,374,124,98.19,0.25,0.07,0.60,0.05,0.01,0.18,0.05,0.08,0.03,0.37,0.12
N06000009,101710,99879,333,26,434,46,7,272,19,131,58,368,137,98.20,0.33,0.03,0.43,0.05,0.01,0.27,0.02,0.13,0.06,0.36,0.13
N06000010,99155,98191,181,183,90,18,2,65,14,92,35,202,82,99.03,0.18,0.18,0.09,0.02,0.00,0.07,0.01,0.09,0.04,0.20,0.08
N06000011,112401,111231,197,211,219,45,7,104,6,37,24,221,99,98.96,0.18,0.19,0.19,0.04,0.01,0.09,0.01,0.03,0.02,0.20,0.09
N06000012,108207,107234,184,90,158,52,6,141,12,38,11,185,96,99.10,0.17,0.08,0.15,0.05,0.01,0.13,0.01,0.04,0.01,0.17,0.09
N06000013,89498,87859,252,14,247,84,52,250,50,122,66,381,121,98.17,0.28,0.02,0.28,0.09,0.06,0.28,0.06,0.14,0.07,0.43,0.14
N06000014,99238,97576,300,20,449,99,4,188,28,109,35,361,69,98.33,0.30,0.02,0.45,0.10,0.00,0.19,0.03,0.11,0.04,0.36,0.07
N06000015,108835,107846,182,47,102,15,24,97,25,60,60,254,123,99.09,0.17,0.04,0.09,0.01,0.02,0.09,0.02,0.06,0.06,0.23,0.11
N06000016,89370,88437,216,14,100,11,129,91,5,33,24,229,81,98.96,0.24,0.02,0.11,0.01,0.14,0.10,0.01,0.04,0.03,0.26,0.09
N06000017,118010,115804,385,54,253,179,21,380,25,186,103,464,156,98.13,0.33,0.05,0.21,0.15,0.02,0.32,0.02,0.16,0.09,0.39,0.13
N06000018,91199,90438,110,120,128,12,1,130,4,14,5,161,76,99.17,0.12,0.13,0.14,0.01,0.00,0.14,0.00,0.02,0.01,0.18,0.08
