GeographyCode,KS602NI0001,KS602NI0002,KS602NI0003,KS602NI0004,KS602NI0005,KS602NI0006,KS602NI0007,KS602NI0008,KS602NI0009,KS602NI0010,KS602NI0011,KS602NI0012,KS602NI0013,KS602NI0014,KS602NI0015,KS602NI0016,KS602NI0017,KS602NI0018,KS602NI0019,KS602NI0020,KS602NI0021,KS602NI0022,KS602NI0023,KS602NI0024,KS602NI0025,KS602NI0026,KS602NI0027,KS602NI0028,KS602NI0029,KS602NI0030,KS602NI0031
N06000001,32478,1765,15939,3082,1921,866,4053,1617,336,2218,681,4931,546,369,304,815,5.43,49.08,9.49,5.91,2.67,12.48,4.98,1.03,6.83,2.10,15.18,28.42,19.21,15.83,42.43
N06000002,35466,2116,14469,2531,3165,1202,4091,2012,624,4043,1213,4105,956,546,638,1394,5.97,40.80,7.14,8.92,3.39,11.53,5.67,1.76,11.40,3.42,11.57,30.21,17.25,20.16,44.04
N06000003,42340,2105,19228,3902,2240,3192,3695,4382,335,2269,992,8104,638,387,361,906,4.97,45.41,9.22,5.29,7.54,8.73,10.35,0.79,5.36,2.34,19.14,28.48,17.28,16.12,40.45
N06000004,31513,1940,10910,2129,3203,1299,3234,2266,807,4397,1328,3283,1095,466,813,1369,6.16,34.62,6.76,10.16,4.12,10.26,7.19,2.56,13.95,4.21,10.42,34.19,14.55,25.38,42.74
N06000005,32365,1482,15295,3630,1788,1202,4202,2102,232,1825,607,4776,564,417,236,774,4.58,47.26,11.22,5.52,3.71,12.98,6.49,0.72,5.64,1.88,14.76,31.54,23.32,13.20,43.29
N06000006,36147,2013,13169,5625,2782,1159,4278,2521,438,2650,1512,5277,808,485,404,1257,5.57,36.43,15.56,7.70,3.21,11.84,6.97,1.21,7.33,4.18,14.60,29.04,17.43,14.52,45.18
N06000007,37378,2048,15280,6876,2336,934,3698,2177,401,2382,1246,5601,605,408,371,1040,5.48,40.88,18.40,6.25,2.50,9.89,5.82,1.07,6.37,3.33,14.98,25.90,17.47,15.88,44.52
N06000008,35670,2402,12383,3384,3701,1332,4005,2718,655,3867,1223,4698,1071,525,837,1732,6.73,34.72,9.49,10.38,3.73,11.23,7.62,1.84,10.84,3.43,13.17,28.94,14.19,22.62,46.80
N06000009,36511,1648,17933,4993,1666,1007,4462,1920,266,1727,889,5693,484,341,185,707,4.51,49.12,13.68,4.56,2.76,12.22,5.26,0.73,4.73,2.43,15.59,29.05,20.47,11.10,42.44
N06000010,35535,1709,14181,6840,2248,839,2992,2469,486,2643,1128,4694,670,380,316,931,4.81,39.91,19.25,6.33,2.36,8.42,6.95,1.37,7.44,3.17,13.21,29.80,16.90,14.06,41.41
N06000011,40200,2102,15723,6560,3291,1091,3947,2486,506,3180,1314,5672,884,561,468,1559,5.23,39.11,16.32,8.19,2.71,9.82,6.18,1.26,7.91,3.27,14.11,26.86,17.05,14.22,47.37
N06000012,39008,1746,16735,6626,2493,868,4529,2130,359,2505,1017,5555,794,448,357,1001,4.48,42.90,16.99,6.39,2.23,11.61,5.46,0.92,6.42,2.61,14.24,31.85,17.97,14.32,40.15
N06000013,31764,1659,14893,4012,1563,887,4954,1570,213,1436,577,5123,451,368,168,657,5.22,46.89,12.63,4.92,2.79,15.60,4.94,0.67,4.52,1.82,16.13,28.85,23.54,10.75,42.03
N06000014,35160,1594,17753,4677,1684,1123,3899,1707,254,1799,670,4725,529,341,238,688,4.53,50.49,13.30,4.79,3.19,11.09,4.85,0.72,5.12,1.91,13.44,31.41,20.25,14.13,40.86
N06000015,38844,1910,14560,7942,2771,1094,3790,2348,461,2852,1116,5892,756,491,333,1202,4.92,37.48,20.45,7.13,2.82,9.76,6.04,1.19,7.34,2.87,15.17,27.28,17.72,12.02,43.38
N06000016,32181,1441,13980,5108,1810,844,4630,1643,247,1810,668,4595,564,363,229,793,4.48,43.44,15.87,5.62,2.62,14.39,5.11,0.77,5.62,2.08,14.28,31.16,20.06,12.65,43.81
N06000017,42025,1974,19696,4948,2723,1248,4318,2409,515,3117,1077,5448,876,451,379,1275,4.70,46.87,11.77,6.48,2.97,10.27,5.73,1.23,7.42,2.56,12.96,32.17,16.56,13.92,46.82
N06000018,32784,1755,11440,5954,2632,772,3246,2101,519,3140,1225,4698,715,428,476,1249,5.35,34.90,18.16,8.03,2.35,9.90,6.41,1.58,9.58,3.74,14.33,27.17,16.26,18.09,47.45
