GeographyCode,KS501NI0001,KS501NI0002,KS501NI0003,KS501NI0004,KS501NI0005,KS501NI0006,KS501NI0007,KS501NI0008,KS501NI0009,KS501NI0010,KS501NI0011,KS501NI0012,KS501NI0013,KS501NI0014,KS501NI0015,KS501NI0016,KS501NI0017,KS501NI0018,KS501NI0019,KS501NI0020,KS501NI0021,KS501NI0022,KS501NI0023
N06000001,75141,20865,8428,10263,3418,8427,20589,3151,2012,3018,1377,221,1420,27.77,11.22,13.66,4.55,11.21,27.40,4.19,45.63,7.32,47.05
N06000002,81552,29063,10679,11599,3229,8829,15215,2938,2665,3732,1639,332,1761,35.64,13.09,14.22,3.96,10.83,18.66,3.60,43.92,8.90,47.19
N06000003,93724,17407,7155,10263,2364,16100,36543,3892,2273,13597,6034,968,6595,18.57,7.63,10.95,2.52,17.18,38.99,4.15,44.38,7.12,48.50
N06000004,72358,27546,10094,11002,2646,8158,10818,2094,3024,4307,1704,457,2146,38.07,13.95,15.20,3.66,11.27,14.95,2.89,39.56,10.61,49.83
N06000005,72357,18282,8817,11342,3911,9957,17280,2768,2321,4346,1828,386,2132,25.27,12.19,15.68,5.41,13.76,23.88,3.83,42.06,8.88,49.06
N06000006,79190,24470,9075,11874,3107,9976,17566,3122,2666,5276,1983,428,2865,30.90,11.46,14.99,3.92,12.60,22.18,3.94,37.59,8.11,54.30
N06000007,80237,25573,8968,11764,2818,8758,17041,5315,2825,3466,1240,188,2038,31.87,11.18,14.66,3.51,10.92,21.24,6.62,35.78,5.42,58.80
N06000008,78383,25494,9146,11574,2704,9742,17105,2618,3107,5440,1889,599,2952,32.52,11.67,14.77,3.45,12.43,21.82,3.34,34.72,11.01,54.26
N06000009,80795,19755,9288,12338,3680,9802,22679,3253,2541,3319,1454,225,1640,24.45,11.50,15.27,4.55,12.13,28.07,4.03,43.81,6.78,49.41
N06000010,76074,24511,8714,11503,3229,9016,15615,3486,2907,4205,1368,205,2632,32.22,11.45,15.12,4.24,11.85,20.53,4.58,32.53,4.88,62.59
N06000011,86877,26887,9715,12970,3922,10129,18531,4723,3230,4187,1503,299,2385,30.95,11.18,14.93,4.51,11.66,21.33,5.44,35.90,7.14,56.96
N06000012,86137,27769,9700,13109,3959,9896,17989,3715,2760,3422,1201,212,2009,32.24,11.26,15.22,4.60,11.49,20.88,4.31,35.10,6.20,58.71
N06000013,73038,15293,8413,11752,3344,9390,22106,2740,2060,2794,1205,213,1376,20.94,11.52,16.09,4.58,12.86,30.27,3.75,43.13,7.62,49.25
N06000014,77330,19483,9587,12849,3717,9772,18785,3137,2530,3285,1604,244,1437,25.19,12.40,16.62,4.81,12.64,24.29,4.06,48.83,7.43,43.74
N06000015,83951,22788,9270,13113,4413,10706,20057,3604,3087,4021,1578,239,2204,27.14,11.04,15.62,5.26,12.75,23.89,4.29,39.24,5.94,54.81
N06000016,71638,18783,8956,11686,4015,8928,16527,2743,2261,2830,1163,209,1458,26.22,12.50,16.31,5.60,12.46,23.07,3.83,41.10,7.39,51.52
N06000017,92049,27752,11027,14416,3558,10705,19789,4802,3101,4180,1711,306,2163,30.15,11.98,15.66,3.87,11.63,21.50,5.22,40.93,7.32,51.75
N06000018,70709,25130,7766,10153,2428,7819,14309,3104,2749,3323,999,228,2096,35.54,10.98,14.36,3.43,11.06,20.24,4.39,30.06,6.86,63.08
