GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N06000001,88533,85273,1275,79,92,34,212,166,304,9,43,77,36,933,96.32,1.44,0.09,0.10,0.04,0.24,0.19,0.34,0.01,0.05,0.09,0.04,1.05
N06000002,97995,94994,1085,73,378,58,115,96,214,21,21,132,46,762,96.94,1.11,0.07,0.39,0.06,0.12,0.10,0.22,0.02,0.02,0.13,0.05,0.78
N06000003,107615,100813,1700,108,290,73,234,821,266,49,99,143,128,2891,93.68,1.58,0.10,0.27,0.07,0.22,0.76,0.25,0.05,0.09,0.13,0.12,2.69
N06000004,89872,87357,317,40,1269,14,34,31,223,17,11,49,21,489,97.20,0.35,0.04,1.41,0.02,0.04,0.03,0.25,0.02,0.01,0.05,0.02,0.54
N06000005,86916,85585,253,41,34,56,37,197,38,15,42,53,8,557,98.47,0.29,0.05,0.04,0.06,0.04,0.23,0.04,0.02,0.05,0.06,0.01,0.64
N06000006,95890,93928,986,45,109,13,30,111,71,24,35,16,6,516,97.95,1.03,0.05,0.11,0.01,0.03,0.12,0.07,0.03,0.04,0.02,0.01,0.54
N06000007,98103,92142,1784,1725,186,622,121,53,50,210,180,65,89,876,93.92,1.82,1.76,0.19,0.63,0.12,0.05,0.05,0.21,0.18,0.07,0.09,0.89
N06000008,96591,94702,518,61,325,20,14,86,57,9,29,93,12,665,98.04,0.54,0.06,0.34,0.02,0.01,0.09,0.06,0.01,0.03,0.10,0.01,0.69
N06000009,97364,95151,694,280,61,45,33,83,122,44,59,128,41,623,97.73,0.71,0.29,0.06,0.05,0.03,0.09,0.13,0.05,0.06,0.13,0.04,0.64
N06000010,94457,91225,825,636,310,296,381,39,21,138,164,9,61,352,96.58,0.87,0.67,0.33,0.31,0.40,0.04,0.02,0.15,0.17,0.01,0.06,0.37
N06000011,107388,102787,1789,1154,268,83,117,78,35,256,143,53,73,552,95.72,1.67,1.07,0.25,0.08,0.11,0.07,0.03,0.24,0.13,0.05,0.07,0.51
N06000012,103991,101284,1199,61,83,30,339,60,50,49,45,31,9,751,97.40,1.15,0.06,0.08,0.03,0.33,0.06,0.05,0.05,0.04,0.03,0.01,0.72
N06000013,86272,84871,303,38,28,26,39,86,124,37,25,91,26,578,98.38,0.35,0.04,0.03,0.03,0.05,0.10,0.14,0.04,0.03,0.11,0.03,0.67
N06000014,94820,92439,808,289,141,53,198,57,70,23,34,87,84,537,97.49,0.85,0.30,0.15,0.06,0.21,0.06,0.07,0.02,0.04,0.09,0.09,0.57
N06000015,103964,101707,855,347,208,27,43,72,29,111,36,27,38,464,97.83,0.82,0.33,0.20,0.03,0.04,0.07,0.03,0.11,0.03,0.03,0.04,0.45
N06000016,86183,84965,266,163,15,21,47,56,32,55,61,44,23,435,98.59,0.31,0.19,0.02,0.02,0.05,0.06,0.04,0.06,0.07,0.05,0.03,0.50
N06000017,112428,106701,2241,992,129,802,152,87,140,161,92,56,48,827,94.91,1.99,0.88,0.11,0.71,0.14,0.08,0.12,0.14,0.08,0.05,0.04,0.74
N06000018,87329,85247,833,118,238,20,111,35,49,45,72,20,259,282,97.62,0.95,0.14,0.27,0.02,0.13,0.04,0.06,0.05,0.08,0.02,0.30,0.32
