GeographyCode,KS103NI0001,KS103NI0002,KS103NI0003,KS103NI0004,KS103NI0005,KS103NI0006,KS103NI0007,KS103NI0008,KS103NI0009,KS103NI0010,KS103NI0011,KS103NI0012,KS103NI0013
N06000001,75141,26569,33755,121,3072,5288,6336,35.36,44.92,0.16,4.09,7.04,8.43
N06000002,81552,33574,30353,116,4986,5597,6926,41.17,37.22,0.14,6.11,6.86,8.49
N06000003,93724,46521,34097,116,2841,4547,5602,49.64,36.38,0.12,3.03,4.85,5.98
N06000004,72358,33050,23934,47,5635,4323,5369,45.68,33.08,0.06,7.79,5.97,7.42
N06000005,72357,23452,36556,72,2812,4302,5163,32.41,50.52,0.10,3.89,5.95,7.14
N06000006,79190,28019,38951,51,2627,4379,5163,35.38,49.19,0.06,3.32,5.53,6.52
N06000007,80237,28677,40153,41,2509,3336,5521,35.74,50.04,0.05,3.13,4.16,6.88
N06000008,78383,32967,31712,80,4434,4586,4604,42.06,40.46,0.10,5.66,5.85,5.87
N06000009,80795,24581,43456,81,2675,4581,5421,30.42,53.79,0.10,3.31,5.67,6.71
N06000010,76074,27241,38953,48,2451,2830,4551,35.81,51.20,0.06,3.22,3.72,5.98
N06000011,86877,31446,42356,47,3174,4059,5795,36.20,48.75,0.05,3.65,4.67,6.67
N06000012,86137,27802,44784,51,3005,4666,5829,32.28,51.99,0.06,3.49,5.42,6.77
N06000013,73038,21138,38475,77,2565,5206,5577,28.94,52.68,0.11,3.51,7.13,7.64
N06000014,77330,24535,41222,62,2886,4049,4576,31.73,53.31,0.08,3.73,5.24,5.92
N06000015,83951,29475,42797,64,2779,3615,5221,35.11,50.98,0.08,3.31,4.31,6.22
N06000016,71638,21115,38876,61,2285,4326,4975,29.47,54.27,0.09,3.19,6.04,6.94
N06000017,92049,31356,45739,75,3625,5366,5888,34.06,49.69,0.08,3.94,5.83,6.40
N06000018,70709,25875,34662,33,2550,3018,4571,36.59,49.02,0.05,3.61,4.27,6.46
