GeographyCode,KS611NI0001,KS611NI0002,KS611NI0003,KS611NI0004,KS611NI0005,KS611NI0006,KS611NI0007,KS611NI0008,KS611NI0009,KS611NI0010,KS611NI0011,KS611NI0012,KS611NI0013,KS611NI0014,KS611NI0015,KS611NI0016,KS611NI0017,KS611NI0018,KS611NI0019,KS611NI0020,KS611NI0021,KS611NI0022,KS611NI0023
N06000001,67039,1168,5707,14212,10079,3797,4600,10590,8110,2509,1237,5030,1.74,8.51,21.20,15.03,5.66,6.86,15.80,12.10,3.74,1.85,7.50
N06000002,73558,775,3572,11486,9675,3708,5230,13345,11827,5454,2089,6397,1.05,4.86,15.61,13.15,5.04,7.11,18.14,16.08,7.41,2.84,8.70
N06000003,86086,1353,11549,18594,10341,3925,4259,9028,6741,3041,1385,15870,1.57,13.42,21.60,12.01,4.56,4.95,10.49,7.83,3.53,1.61,18.44
N06000004,67002,469,2132,8973,8810,3222,4260,11567,11087,7087,2064,7331,0.70,3.18,13.39,13.15,4.81,6.36,17.26,16.55,10.58,3.08,10.94
N06000005,66012,1088,4156,12911,9578,5234,5335,10045,7810,1972,1216,6667,1.65,6.30,19.56,14.51,7.93,8.08,15.22,11.83,2.99,1.84,10.10
N06000006,72822,796,3737,12381,8393,8181,4926,10889,9784,3899,1894,7942,1.09,5.13,17.00,11.53,11.23,6.76,14.95,13.44,5.35,2.60,10.91
N06000007,73713,844,3389,11848,7634,9545,5287,12531,10874,3915,1555,6291,1.14,4.60,16.07,10.36,12.95,7.17,17.00,14.75,5.31,2.11,8.53
N06000008,73474,888,3407,12278,8200,4692,4859,11662,10318,5912,2711,8547,1.21,4.64,16.71,11.16,6.39,6.61,15.87,14.04,8.05,3.69,11.63
N06000009,73686,1525,6022,16337,10840,6770,4934,10611,7852,1856,1079,5860,2.07,8.17,22.17,14.71,9.19,6.70,14.40,10.66,2.52,1.46,7.95
N06000010,70671,866,3099,11473,6713,9526,4917,10100,11545,3859,1461,7112,1.23,4.39,16.23,9.50,13.48,6.96,14.29,16.34,5.46,2.07,10.06
N06000011,80362,962,3639,13571,8913,9275,5609,11703,12188,4829,2256,7417,1.20,4.53,16.89,11.09,11.54,6.98,14.56,15.17,6.01,2.81,9.23
N06000012,78306,1099,3811,13774,8807,9379,5941,13753,10852,3098,1610,6182,1.40,4.87,17.59,11.25,11.98,7.59,17.56,13.86,3.96,2.06,7.89
N06000013,65480,1439,5372,16236,10870,5353,4174,9336,5211,1557,1078,4854,2.20,8.20,24.80,16.60,8.18,6.37,14.26,7.96,2.38,1.65,7.41
N06000014,71856,1298,4337,15122,10703,6502,5439,10575,8886,2121,1058,5815,1.81,6.04,21.04,14.90,9.05,7.57,14.72,12.37,2.95,1.47,8.09
N06000015,77403,979,4147,14573,8653,11169,4908,10709,9898,3559,1700,7108,1.26,5.36,18.83,11.18,14.43,6.34,13.84,12.79,4.60,2.20,9.18
N06000016,65507,1039,3894,13173,10158,7449,4642,9748,7373,1786,1154,5091,1.59,5.94,20.11,15.51,11.37,7.09,14.88,11.26,2.73,1.76,7.77
N06000017,85110,1274,4341,15072,10627,7155,6638,14845,12633,3321,1923,7281,1.50,5.10,17.71,12.49,8.41,7.80,17.44,14.84,3.90,2.26,8.55
N06000018,65333,590,2707,10485,6419,8455,4132,9595,10198,4826,1854,6072,0.90,4.14,16.05,9.83,12.94,6.32,14.69,15.61,7.39,2.84,9.29
