GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
N06000001,92221,5832,1935,1439,11668,2065,5834,10275,8842,2017,7041,5045,60685,6.32,2.10,1.56,12.65,2.24,6.33,11.14,9.59,2.19,7.63,5.47,65.80
N06000002,102531,6121,2231,2254,15240,2924,8747,13405,12074,2999,8226,6252,64439,5.97,2.18,2.20,14.86,2.85,8.53,13.07,11.78,2.92,8.02,6.10,62.85
N06000003,111402,5174,1819,1605,10457,2288,6092,8948,8813,2107,6448,5263,79888,4.64,1.63,1.44,9.39,2.05,5.47,8.03,7.91,1.89,5.79,4.72,71.71
N06000004,93986,4968,1932,2297,14988,3051,9070,12936,11519,2934,6933,6074,59023,5.29,2.06,2.44,15.95,3.25,9.65,13.76,12.26,3.12,7.38,6.46,62.80
N06000005,90067,5103,1553,1354,10043,1869,4598,9274,8072,1616,6538,4753,61050,5.67,1.72,1.50,11.15,2.08,5.11,10.30,8.96,1.79,7.26,5.28,67.78
N06000006,99673,5103,1542,1531,10491,2034,5235,9568,7989,1710,6498,5035,68851,5.12,1.55,1.54,10.53,2.04,5.25,9.60,8.02,1.72,6.52,5.05,69.08
N06000007,102553,4993,1761,1754,10539,2269,5158,9313,7680,1774,6172,4872,72771,4.87,1.72,1.71,10.28,2.21,5.03,9.08,7.49,1.73,6.02,4.75,70.96
N06000008,100807,4648,1752,1756,12788,2572,7927,10930,10238,2282,6638,5765,67297,4.61,1.74,1.74,12.69,2.55,7.86,10.84,10.16,2.26,6.58,5.72,66.76
N06000009,101710,5284,1541,1483,10337,2002,4523,9502,8073,1743,6581,5230,71102,5.20,1.52,1.46,10.16,1.97,4.45,9.34,7.94,1.71,6.47,5.14,69.91
N06000010,99155,4186,1447,1546,10457,1980,5462,9251,7937,1711,5546,4820,70373,4.22,1.46,1.56,10.55,2.00,5.51,9.33,8.00,1.73,5.59,4.86,70.97
N06000011,112401,5141,1902,1950,12227,2497,5942,10434,8668,2058,6449,5485,79566,4.57,1.69,1.73,10.88,2.22,5.29,9.28,7.71,1.83,5.74,4.88,70.79
N06000012,108207,5538,1694,1546,11482,1948,5053,10099,8527,1825,7094,5495,75500,5.12,1.57,1.43,10.61,1.80,4.67,9.33,7.88,1.69,6.56,5.08,69.77
N06000013,89498,5744,1648,1382,10108,1737,4204,8883,7271,1863,6246,4680,60822,6.42,1.84,1.54,11.29,1.94,4.70,9.93,8.12,2.08,6.98,5.23,67.96
N06000014,99238,4835,1375,1408,9710,2009,4629,8848,8072,1441,6138,4978,70066,4.87,1.39,1.42,9.78,2.02,4.66,8.92,8.13,1.45,6.19,5.02,70.60
N06000015,108835,4884,1691,1820,11504,2624,5442,9879,8627,1829,6485,5555,76614,4.49,1.55,1.67,10.57,2.41,5.00,9.08,7.93,1.68,5.96,5.10,70.39
N06000016,89370,5449,1588,1293,10249,1768,4549,9432,7899,1633,6390,4590,60253,6.10,1.78,1.45,11.47,1.98,5.09,10.55,8.84,1.83,7.15,5.14,67.42
N06000017,118010,5669,1851,1818,13673,2379,6887,12291,9982,2191,7380,5984,81523,4.80,1.57,1.54,11.59,2.02,5.84,10.42,8.46,1.86,6.25,5.07,69.08
N06000018,91199,4419,1600,1635,11212,2161,6176,9552,7607,1883,5751,4741,61962,4.85,1.75,1.79,12.29,2.37,6.77,10.47,8.34,2.06,6.31,5.20,67.94
