GeographyCode,KS101NI0001,KS101NI0002,KS101NI0003,KS101NI0004,KS101NI0005,KS101NI0006,KS101NI0007,KS101NI0008,KS101NI0009
N06000001,92221,44086,48135,91207,1014,47.80,52.20,98.90,1.10
N06000002,102531,49107,53424,101489,1042,47.89,52.11,98.98,1.02
N06000003,111402,54202,57200,108289,3113,48.65,51.35,97.21,2.79
N06000004,93986,44532,49454,93176,810,47.38,52.62,99.14,0.86
N06000005,90067,43822,46245,87942,2125,48.65,51.35,97.64,2.36
N06000006,99673,49241,50432,97681,1992,49.40,50.60,98.00,2.00
N06000007,102553,51407,51146,101557,996,50.13,49.87,99.03,0.97
N06000008,100807,49076,51731,99430,1377,48.68,51.32,98.63,1.37
N06000009,101710,50025,51685,100083,1627,49.18,50.82,98.40,1.60
N06000010,99155,49602,49553,98502,653,50.02,49.98,99.34,0.66
N06000011,112401,55830,56571,111333,1068,49.67,50.33,99.05,0.95
N06000012,108207,53259,54948,107293,914,49.22,50.78,99.16,0.84
N06000013,89498,43078,46420,87868,1630,48.13,51.87,98.18,1.82
N06000014,99238,48594,50644,98171,1067,48.97,51.03,98.92,1.08
N06000015,108835,54161,54674,107832,1003,49.76,50.24,99.08,0.92
N06000016,89370,43722,45648,88672,698,48.92,51.08,99.22,0.78
N06000017,118010,58080,59930,117347,663,49.22,50.78,99.44,0.56
N06000018,91199,45499,45700,90467,732,49.89,50.11,99.20,0.80
