GeographyCode,KS203NI0001,KS203NI0002,KS203NI0003,KS203NI0004,KS203NI0005,KS203NI0006,KS203NI0007,KS203NI0008,KS203NI0009,KS203NI0010,KS203NI0011,KS203NI0012,KS203NI0013,KS203NI0014,KS203NI0015
N06000001,92221,64885,8871,27614,868,574,112,4004,70.36,9.62,29.94,0.94,0.62,0.12,4.34
N06000002,102531,49893,30639,27970,741,468,81,3167,48.66,29.88,27.28,0.72,0.46,0.08,3.09
N06000003,111402,49645,34458,33873,1382,703,145,8264,44.56,30.93,30.41,1.24,0.63,0.13,7.42
N06000004,93986,20208,55615,21095,413,271,47,1589,21.50,59.17,22.44,0.44,0.29,0.05,1.69
N06000005,90067,62620,9415,28167,962,663,112,1774,69.53,10.45,31.27,1.07,0.74,0.12,1.97
N06000006,99673,53100,22487,31073,1041,629,115,2371,53.27,22.56,31.17,1.04,0.63,0.12,2.38
N06000007,102553,38325,35192,28965,1069,350,66,6647,37.37,34.32,28.24,1.04,0.34,0.06,6.48
N06000008,100807,23477,56157,24403,895,504,67,2074,23.29,55.71,24.21,0.89,0.50,0.07,2.06
N06000009,101710,70137,11630,30461,1503,737,168,2762,68.96,11.43,29.95,1.48,0.72,0.17,2.72
N06000010,99155,30474,41170,30260,678,310,40,3429,30.73,41.52,30.52,0.68,0.31,0.04,3.46
N06000011,112401,33356,51049,29718,808,359,86,5083,29.68,45.42,26.44,0.72,0.32,0.08,4.52
N06000012,108207,69045,15827,31609,1004,627,92,3131,63.81,14.63,29.21,0.93,0.58,0.09,2.89
N06000013,89498,64316,7746,29264,1670,791,158,1993,71.86,8.65,32.70,1.87,0.88,0.18,2.23
N06000014,99238,60591,16914,30485,1178,535,108,2758,61.06,17.04,30.72,1.19,0.54,0.11,2.78
N06000015,108835,35458,43014,35242,1167,439,112,2669,32.58,39.52,32.38,1.07,0.40,0.10,2.45
N06000016,89370,63553,8387,28695,987,497,107,1501,71.11,9.38,32.11,1.10,0.56,0.12,1.68
N06000017,118010,59664,28232,34721,1060,503,88,6410,50.56,23.92,29.42,0.90,0.43,0.07,5.43
N06000018,91199,27830,36587,29470,615,414,68,2258,30.52,40.12,32.31,0.67,0.45,0.07,2.48
