ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS204NI0001","Count","PERSONS","All usual residents"
"KS204NI0002","Count","PERSONS","Country of birth: Northern Ireland"
"KS204NI0003","Count","PERSONS","Country of birth: England"
"KS204NI0004","Count","PERSONS","Country of birth: Scotland"
"KS204NI0005","Count","PERSONS","Country of birth: Wales"
"KS204NI0006","Count","PERSONS","Country of birth: Republic of Ireland"
"KS204NI0007","Count","PERSONS","Country of birth: Other EU: Member countries prior to 2004 expansion"
"KS204NI0008","Count","PERSONS","Country of birth: Other EU: Accession countries 2004 onwards"
"KS204NI0009","Count","PERSONS","Country of birth: Other"
"KS204NI0010","Percentage","PERSONS","Country of birth: Northern Ireland"
"KS204NI0011","Percentage","PERSONS","Country of birth: England"
"KS204NI0012","Percentage","PERSONS","Country of birth: Scotland"
"KS204NI0013","Percentage","PERSONS","Country of birth: Wales"
"KS204NI0014","Percentage","PERSONS","Country of birth: Republic of Ireland"
"KS204NI0015","Percentage","PERSONS","Country of birth: Other EU: Member countries prior to 2004 expansion"
"KS204NI0016","Percentage","PERSONS","Country of birth: Other EU: Accession countries 2004 onwards"
"KS204NI0017","Percentage","PERSONS","Country of birth: Other"
