GeographyCode,KS401NI0001,KS401NI0002,KS401NI0003,KS401NI0004,KS401NI0005,KS401NI0006,KS401NI0007,KS401NI0008,KS401NI0009,KS401NI0010,KS401NI0011,KS401NI0012,KS401NI0013,KS401NI0014,KS401NI0015,KS401NI0016,KS401NI0017,KS401NI0018,KS401NI0019,KS401NI0020
N06000001,43365,43359,6,43374,40918,2456,6591,14201,14819,7186,477,99,1,15.20,32.74,34.17,16.57,1.10,0.23,0.00
N06000002,47854,47839,15,47879,44601,3278,6013,15448,17622,7770,893,120,13,12.56,32.26,36.81,16.23,1.87,0.25,0.03
N06000003,50436,50417,19,50476,46630,3846,8341,13456,17105,9039,2335,195,5,16.52,26.66,33.89,17.91,4.63,0.39,0.01
N06000004,38082,38081,1,38083,36580,1503,3523,12496,16921,4872,180,84,7,9.25,32.81,44.43,12.79,0.47,0.22,0.02
N06000005,38348,38346,2,38351,36112,2239,14773,9323,10018,3866,226,109,36,38.52,24.31,26.12,10.08,0.59,0.28,0.09
N06000006,42663,42661,2,42667,37981,4686,19749,11169,7976,3212,343,179,39,46.29,26.18,18.69,7.53,0.80,0.42,0.09
N06000007,40584,40583,1,40585,37590,2995,23151,9456,5926,1476,234,230,112,57.04,23.30,14.60,3.64,0.58,0.57,0.28
N06000008,39930,39919,11,39976,38404,1572,9252,12933,13090,4060,518,113,10,23.14,32.35,32.74,10.16,1.30,0.28,0.03
N06000009,41790,41787,3,41796,39850,1946,17346,11075,9725,3346,157,88,59,41.50,26.50,23.27,8.01,0.38,0.21,0.14
N06000010,35278,35277,1,35279,33690,1589,20172,8506,5437,794,103,126,141,57.18,24.11,15.41,2.25,0.29,0.36,0.40
N06000011,43065,43064,1,43070,40538,2532,20564,12206,8125,1654,236,157,128,47.75,28.34,18.86,3.84,0.55,0.36,0.30
N06000012,44073,44071,2,44076,41458,2618,21762,12102,7496,2230,247,169,70,49.37,27.46,17.01,5.06,0.56,0.38,0.16
N06000013,40024,40016,8,40052,37740,2312,14183,12328,8385,4474,494,115,73,35.41,30.78,20.94,11.17,1.23,0.29,0.18
N06000014,39400,39399,1,39401,37715,1686,16298,10785,9533,2541,102,80,62,41.36,27.37,24.19,6.45,0.26,0.20,0.16
N06000015,42073,42071,2,42077,39030,3047,22620,10273,6490,2040,319,179,156,53.76,24.41,15.42,4.85,0.76,0.43,0.37
N06000016,37480,37479,1,37481,35412,2069,15875,10194,8836,2225,166,116,69,42.35,27.20,23.57,5.94,0.44,0.31,0.18
N06000017,48235,48233,2,48237,45766,2471,17463,13773,13968,2575,237,148,73,36.20,28.55,28.96,5.34,0.49,0.31,0.15
N06000018,35368,35366,2,35375,33260,2115,19456,8180,6206,1158,132,185,58,55.00,23.12,17.54,3.27,0.37,0.52,0.16
