GeographyCode,KS407NI0001,KS407NI0002,KS407NI0003,KS407NI0004,KS407NI0005,KS407NI0006,KS407NI0007,KS407NI0008,KS407NI0009,KS407NI0010,KS407NI0011,KS407NI0012,KS407NI0013,KS407NI0014,KS407NI0015,KS407NI0016,KS407NI0017,KS407NI0018,KS407NI0019,KS407NI0020,KS407NI0021,KS407NI0022,KS407NI0023,KS407NI0024,KS407NI0025,KS407NI0026,KS407NI0027,KS407NI0028,KS407NI0029,KS407NI0030
N06000001,43,1014,0,4,80,22,453,254,6,42,124,29,701,115,7,9,0,0.39,7.89,2.17,44.67,25.05,0.59,4.14,12.23,2.86,69.13,11.34,0.69,0.89
N06000002,66,1042,11,0,272,60,336,193,0,24,0,146,732,116,53,35,1.06,0,26.10,5.76,32.25,18.52,0,2.30,0,14.01,70.25,11.13,5.09,3.36
N06000003,110,3113,21,150,189,57,372,236,0,33,1742,313,822,182,60,105,0.67,4.82,6.07,1.83,11.95,7.58,0,1.06,55.96,10.05,26.41,5.85,1.93,3.37
N06000004,34,810,15,0,67,50,386,143,25,10,0,114,543,110,26,16,1.85,0,8.27,6.17,47.65,17.65,3.09,1.23,0,14.07,67.04,13.58,3.21,1.98
N06000005,55,2125,0,0,299,0,352,86,0,4,1362,22,633,77,15,49,0,0,14.07,0,16.56,4.05,0,0.19,64.09,1.04,29.79,3.62,0.71,2.31
N06000006,95,1992,0,60,52,115,341,107,0,13,727,577,522,126,115,123,0,3.01,2.61,5.77,17.12,5.37,0,0.65,36.50,28.97,26.20,6.33,5.77,6.17
N06000007,113,996,3,0,148,27,543,91,0,0,53,131,623,162,17,15,0.30,0,14.86,2.71,54.52,9.14,0,0,5.32,13.15,62.55,16.27,1.71,1.51
N06000008,83,1377,26,76,93,105,210,216,0,4,507,140,560,110,54,52,1.89,5.52,6.75,7.63,15.25,15.69,0,0.29,36.82,10.17,40.67,7.99,3.92,3.78
N06000009,45,1627,0,16,52,0,618,109,0,31,31,770,715,92,74,70,0,0.98,3.20,0,37.98,6.70,0,1.91,1.91,47.33,43.95,5.65,4.55,4.30
N06000010,46,653,0,0,89,11,410,60,0,0,48,35,401,156,8,7,0,0,13.63,1.68,62.79,9.19,0,0,7.35,5.36,61.41,23.89,1.23,1.07
N06000011,54,1068,92,0,19,0,694,142,0,4,30,87,793,126,26,26,8.61,0,1.78,0,64.98,13.30,0,0.37,2.81,8.15,74.25,11.80,2.43,2.43
N06000012,69,914,0,0,178,32,412,162,8,21,0,101,666,125,22,18,0,0,19.47,3.50,45.08,17.72,0.88,2.30,0,11.05,72.87,13.68,2.41,1.97
N06000013,66,1630,0,0,49,17,592,296,1,67,109,499,848,136,42,43,0,0,3.01,1.04,36.32,18.16,0.06,4.11,6.69,30.61,52.02,8.34,2.58,2.64
N06000014,58,1067,0,109,56,37,469,122,0,24,0,250,602,179,3,9,0,10.22,5.25,3.47,43.96,11.43,0,2.25,0,23.43,56.42,16.78,0.28,0.84
N06000015,73,1003,0,52,133,0,353,95,0,44,9,317,554,94,17,22,0,5.18,13.26,0,35.19,9.47,0,4.39,0.90,31.61,55.23,9.37,1.69,2.19
N06000016,43,698,0,0,21,6,413,240,0,0,0,18,570,87,2,0,0,0,3.01,0.86,59.17,34.38,0,0,0,2.58,81.66,12.46,0.29,0
N06000017,40,663,0,0,93,62,424,40,0,0,0,44,509,92,9,9,0,0,14.03,9.35,63.95,6.03,0,0,0,6.64,76.77,13.88,1.36,1.36
N06000018,50,732,0,30,121,132,304,107,0,18,0,20,549,104,0,0,0,4.10,16.53,18.03,41.53,14.62,0,2.46,0,2.73,75.00,14.21,0,0
