GeographyCode,KS606NI0001,KS606NI0002,KS606NI0003,KS606NI0004,KS606NI0005,KS606NI0006,KS606NI0007,KS606NI0008,KS606NI0009,KS606NI0010,KS606NI0011,KS606NI0012,KS606NI0013,KS606NI0014,KS606NI0015,KS606NI0016,KS606NI0017,KS606NI0018,KS606NI0019,KS606NI0020,KS606NI0021,KS606NI0022,KS606NI0023,KS606NI0024,KS606NI0025,KS606NI0026,KS606NI0027,KS606NI0028,KS606NI0029,KS606NI0030,KS606NI0031,KS606NI0032,KS606NI0033,KS606NI0034,KS606NI0035,KS606NI0036,KS606NI0037
N06000001,21469,68,27,2547,149,229,1689,3460,1284,1151,1242,959,238,1359,1249,2409,1104,1316,989,0.32,0.13,11.86,0.69,1.07,7.87,16.12,5.98,5.36,5.79,4.47,1.11,6.33,5.82,11.22,5.14,6.13,4.61
N06000002,20045,28,25,2347,127,313,1889,3666,1929,1094,941,642,215,844,1141,1580,1118,1273,873,0.14,0.12,11.71,0.63,1.56,9.42,18.29,9.62,5.46,4.69,3.20,1.07,4.21,5.69,7.88,5.58,6.35,4.36
N06000003,27882,64,23,2135,207,210,1606,4410,1048,2143,2181,1493,350,2489,1156,2514,2276,2371,1206,0.23,0.08,7.66,0.74,0.75,5.76,15.82,3.76,7.69,7.82,5.35,1.26,8.93,4.15,9.02,8.16,8.50,4.33
N06000004,15911,24,16,1591,75,211,1605,2860,1490,1010,607,548,150,520,840,1350,936,1373,705,0.15,0.10,10.00,0.47,1.33,10.09,17.97,9.36,6.35,3.81,3.44,0.94,3.27,5.28,8.48,5.88,8.63,4.43
N06000005,21299,446,116,3382,405,254,2563,3518,1991,790,749,629,170,854,1054,1740,1078,770,790,2.09,0.54,15.88,1.90,1.19,12.03,16.52,9.35,3.71,3.52,2.95,0.80,4.01,4.95,8.17,5.06,3.62,3.71
N06000006,21707,1051,110,2794,150,174,3650,3639,1061,1214,429,349,203,870,1080,1745,1297,997,894,4.84,0.51,12.87,0.69,0.80,16.81,16.76,4.89,5.59,1.98,1.61,0.94,4.01,4.98,8.04,5.98,4.59,4.12
N06000007,24971,2149,324,4881,117,221,4054,4147,1404,895,455,557,130,824,884,1130,1012,963,824,8.61,1.30,19.55,0.47,0.89,16.23,16.61,5.62,3.58,1.82,2.23,0.52,3.30,3.54,4.53,4.05,3.86,3.30
N06000008,19074,236,35,2647,120,286,1875,3196,1206,1064,884,518,216,719,1174,1161,1373,1548,816,1.24,0.18,13.88,0.63,1.50,9.83,16.76,6.32,5.58,4.63,2.72,1.13,3.77,6.15,6.09,7.20,8.12,4.28
N06000009,25387,571,53,3384,168,207,2792,4721,1425,978,831,795,223,1354,1228,3237,1139,1336,945,2.25,0.21,13.33,0.66,0.82,11.00,18.60,5.61,3.85,3.27,3.13,0.88,5.33,4.84,12.75,4.49,5.26,3.72
N06000010,23403,1603,181,4767,107,250,5805,3468,1113,645,389,316,125,821,617,904,895,695,702,6.85,0.77,20.37,0.46,1.07,24.80,14.82,4.76,2.76,1.66,1.35,0.53,3.51,2.64,3.86,3.82,2.97,3.00
N06000011,25224,1530,154,3842,101,500,4346,4811,1789,821,511,421,155,900,939,1356,1104,1116,828,6.07,0.61,15.23,0.40,1.98,17.23,19.07,7.09,3.25,2.03,1.67,0.61,3.57,3.72,5.38,4.38,4.42,3.28
N06000012,25772,1616,120,5060,175,339,4390,4367,1528,848,541,378,180,867,979,1443,1057,1002,882,6.27,0.47,19.63,0.68,1.32,17.03,16.94,5.93,3.29,2.10,1.47,0.70,3.36,3.80,5.60,4.10,3.89,3.42
N06000013,21248,157,19,2236,158,182,1905,3444,1146,1000,1010,869,275,1337,1619,2875,1020,1033,963,0.74,0.09,10.52,0.74,0.86,8.97,16.21,5.39,4.71,4.75,4.09,1.29,6.29,7.62,13.53,4.80,4.86,4.53
N06000014,24908,651,81,3556,184,312,3224,4464,2278,988,868,682,164,950,1192,2251,1045,1223,795,2.61,0.33,14.28,0.74,1.25,12.94,17.92,9.15,3.97,3.48,2.74,0.66,3.81,4.79,9.04,4.20,4.91,3.19
N06000015,25300,1465,116,2774,107,326,5977,3934,1368,1115,559,466,173,1083,963,1570,1199,1201,904,5.79,0.46,10.96,0.42,1.29,23.62,15.55,5.41,4.41,2.21,1.84,0.68,4.28,3.81,6.21,4.74,4.75,3.57
N06000016,21175,891,88,2645,149,209,3125,3492,1157,871,676,605,180,956,1302,2332,790,919,788,4.21,0.42,12.49,0.70,0.99,14.76,16.49,5.46,4.11,3.19,2.86,0.85,4.51,6.15,11.01,3.73,4.34,3.72
N06000017,27599,622,68,5903,130,359,3588,5142,1669,1083,763,521,206,1132,1319,1922,1075,1201,896,2.25,0.25,21.39,0.47,1.30,13.00,18.63,6.05,3.92,2.76,1.89,0.75,4.10,4.78,6.96,3.90,4.35,3.25
N06000018,19756,1934,193,2707,145,166,4111,3152,958,632,404,346,121,656,622,1094,916,928,671,9.79,0.98,13.70,0.73,0.84,20.81,15.95,4.85,3.20,2.04,1.75,0.61,3.32,3.15,5.54,4.64,4.70,3.40
