GeographyCode,KS210NI0001,KS210NI0002,KS210NI0003,KS210NI0004,KS210NI0005,KS210NI0006,KS210NI0007,KS210NI0008,KS210NI0009,KS210NI0010,KS210NI0011,KS210NI0012,KS210NI0013,KS210NI0014,KS210NI0015
N06000001,88533,4312,316,229,728,771,6356,82177,4.87,0.36,0.26,0.82,0.87,7.18,92.82
N06000002,97995,3212,267,160,874,554,5067,92928,3.28,0.27,0.16,0.89,0.57,5.17,94.83
N06000003,107615,4730,364,265,735,979,7073,100542,4.40,0.34,0.25,0.68,0.91,6.57,93.43
N06000004,89872,1438,130,49,410,228,2255,87617,1.60,0.14,0.05,0.46,0.25,2.51,97.49
N06000005,86916,7309,922,630,1208,969,11038,75878,8.41,1.06,0.72,1.39,1.11,12.70,87.30
N06000006,95890,7899,976,718,1241,1122,11956,83934,8.24,1.02,0.75,1.29,1.17,12.47,87.53
N06000007,98103,2910,230,204,589,555,4488,93615,2.97,0.23,0.21,0.60,0.57,4.57,95.43
N06000008,96591,2856,216,168,605,431,4276,92315,2.96,0.22,0.17,0.63,0.45,4.43,95.57
N06000009,97364,5184,317,278,767,769,7315,90049,5.32,0.33,0.29,0.79,0.79,7.51,92.49
N06000010,94457,4077,334,330,758,579,6078,88379,4.32,0.35,0.35,0.80,0.61,6.43,93.57
N06000011,107388,3050,230,209,591,520,4600,102788,2.84,0.21,0.19,0.55,0.48,4.28,95.72
N06000012,103991,15185,3275,2291,2997,1898,25646,78345,14.60,3.15,2.20,2.88,1.83,24.66,75.34
N06000013,86272,5175,322,338,720,841,7396,78876,6.00,0.37,0.39,0.83,0.97,8.57,91.43
N06000014,94820,6536,645,552,1052,860,9645,85175,6.89,0.68,0.58,1.11,0.91,10.17,89.83
N06000015,103964,3654,301,279,616,528,5378,98586,3.51,0.29,0.27,0.59,0.51,5.17,94.83
N06000016,86183,7077,812,664,1023,990,10566,75617,8.21,0.94,0.77,1.19,1.15,12.26,87.74
N06000017,112428,4029,292,223,828,666,6038,106390,3.58,0.26,0.20,0.74,0.59,5.37,94.63
N06000018,87329,3407,316,214,631,465,5033,82296,3.90,0.36,0.25,0.72,0.53,5.76,94.24
