GeographyCode,KS701NI0001,KS701NI0002,KS701NI0003,KS701NI0004,KS701NI0005,KS701NI0006,KS701NI0007,KS701NI0008,KS701NI0009,KS701NI0010,KS701NI0011,KS701NI0012,KS701NI0013,KS701NI0014,KS701NI0015,KS701NI0016,KS701NI0017,KS701NI0018,KS701NI0019,KS701NI0020,KS701NI0021,KS701NI0022,KS701NI0023,KS701NI0024,KS701NI0025,KS701NI0026,KS701NI0027,KS701NI0028,KS701NI0029
N06000001,40147,2890,299,4766,306,21057,1734,3442,482,772,4160,239,35002,3456,5113,1604,7.20,0.74,11.87,0.76,52.45,4.32,8.57,1.20,1.92,10.36,0.60,9.87,31.37
N06000002,37369,2619,265,5591,251,17756,2325,3105,881,404,3990,182,30389,3564,6960,2290,7.01,0.71,14.96,0.67,47.52,6.22,8.31,2.36,1.08,10.68,0.49,11.73,32.90
N06000003,48231,3569,578,4978,211,23342,1610,3907,530,1382,7867,257,40449,3689,7704,1856,7.40,1.20,10.32,0.44,48.40,3.34,8.10,1.10,2.87,16.31,0.53,9.12,24.09
N06000004,30502,2353,361,4496,116,12372,1600,2554,2098,269,4133,150,23632,3020,6849,1836,7.71,1.18,14.74,0.38,40.56,5.25,8.37,6.88,0.88,13.55,0.49,12.78,26.81
N06000005,38540,3287,1596,1191,289,22897,1967,3902,354,248,2467,342,35734,2194,2738,591,8.53,4.14,3.09,0.75,59.41,5.10,10.12,0.92,0.64,6.40,0.89,6.14,21.59
N06000006,38078,4516,397,772,112,22641,1838,4271,326,233,2628,344,35404,880,2569,279,11.86,1.04,2.03,0.29,59.46,4.83,11.22,0.86,0.61,6.90,0.90,2.49,10.86
N06000007,43430,6393,98,681,69,26366,2078,4151,456,183,2504,451,40862,594,2504,185,14.72,0.23,1.57,0.16,60.71,4.78,9.56,1.05,0.42,5.77,1.04,1.45,7.39
N06000008,34511,3092,140,1617,83,18565,2140,3594,1305,184,3621,170,30084,1137,4376,617,8.96,0.41,4.69,0.24,53.79,6.20,10.41,3.78,0.53,10.49,0.49,3.78,14.10
N06000009,45944,4511,1171,1545,171,28222,1875,4340,362,403,2966,378,43114,2243,2395,469,9.82,2.55,3.36,0.37,61.43,4.08,9.45,0.79,0.88,6.46,0.82,5.20,19.58
N06000010,39943,5382,75,591,43,24653,2029,4377,110,113,2086,484,38283,574,1655,92,13.47,0.19,1.48,0.11,61.72,5.08,10.96,0.28,0.28,5.22,1.21,1.50,5.56
N06000011,44601,5400,379,794,97,27173,2099,4721,372,188,2935,443,41918,977,2660,194,12.11,0.85,1.78,0.22,60.92,4.71,10.58,0.83,0.42,6.58,0.99,2.33,7.29
N06000012,45896,5451,517,635,135,28254,2508,4648,338,197,2790,423,43390,959,2477,191,11.88,1.13,1.38,0.29,61.56,5.46,10.13,0.74,0.43,6.08,0.92,2.21,7.71
N06000013,39285,3545,1862,903,233,23512,1669,3815,429,328,2643,346,36371,2242,2480,521,9.02,4.74,2.30,0.59,59.85,4.25,9.71,1.09,0.83,6.73,0.88,6.16,21.01
N06000014,45324,4234,381,2060,195,27858,2296,4502,653,368,2430,347,42608,2007,2487,431,9.34,0.84,4.55,0.43,61.46,5.07,9.93,1.44,0.81,5.36,0.77,4.71,17.33
N06000015,44358,5596,176,1182,100,26764,2167,4837,221,211,2591,513,42301,1142,1805,206,12.62,0.40,2.66,0.23,60.34,4.89,10.90,0.50,0.48,5.84,1.16,2.70,11.41
N06000016,38994,4023,108,1631,223,24715,1785,3720,182,155,2132,320,37110,1407,1867,332,10.32,0.28,4.18,0.57,63.38,4.58,9.54,0.47,0.40,5.47,0.82,3.79,17.78
N06000017,49320,4399,1183,1310,237,29431,3088,5144,640,451,3108,329,45629,1936,3678,557,8.92,2.40,2.66,0.48,59.67,6.26,10.43,1.30,0.91,6.30,0.67,4.24,15.14
N06000018,34186,4966,57,523,42,20626,1522,3560,256,163,2139,332,32285,480,1875,100,14.53,0.17,1.53,0.12,60.33,4.45,10.41,0.75,0.48,6.26,0.97,1.49,5.33
