GeographyCode,KS403NI0001,KS403NI0002,KS403NI0003,KS403NI0004,KS403NI0005,KS403NI0006,KS403NI0007,KS403NI0008,KS403NI0009,KS403NI0010,KS403NI0011,KS403NI0012,KS403NI0013,KS403NI0014,KS403NI0015,KS403NI0016,KS403NI0017,KS403NI0018
N06000001,40918,14342,13195,6143,4990,1650,444,107,47,2.23,35.05,32.25,15.01,12.20,4.03,1.09,0.26,0.11
N06000002,44601,15823,13367,7160,5180,2109,714,167,81,2.28,35.48,29.97,16.05,11.61,4.73,1.60,0.37,0.18
N06000003,46630,15710,14529,7191,5648,2448,818,177,109,2.32,33.69,31.16,15.42,12.11,5.25,1.75,0.38,0.23
N06000004,36580,10445,10339,6963,4959,2518,994,239,123,2.55,28.55,28.26,19.03,13.56,6.88,2.72,0.65,0.34
N06000005,36112,10210,11697,6176,5266,2054,551,110,48,2.44,28.27,32.39,17.10,14.58,5.69,1.53,0.30,0.13
N06000006,37981,10031,11787,6475,5618,2744,1004,215,107,2.57,26.41,31.03,17.05,14.79,7.22,2.64,0.57,0.28
N06000007,37590,9952,10412,6159,5828,3272,1461,316,190,2.70,26.48,27.70,16.38,15.50,8.70,3.89,0.84,0.51
N06000008,38404,10861,10790,6642,5708,2860,1114,274,155,2.59,28.28,28.10,17.30,14.86,7.45,2.90,0.71,0.40
N06000009,39850,10435,13000,6793,6180,2440,762,181,59,2.51,26.19,32.62,17.05,15.51,6.12,1.91,0.45,0.15
N06000010,33690,7457,8897,5476,5784,3687,1786,401,202,2.92,22.13,26.41,16.25,17.17,10.94,5.30,1.19,0.60
N06000011,40538,10225,11186,6923,6197,3737,1712,369,189,2.75,25.22,27.59,17.08,15.29,9.22,4.22,0.91,0.47
N06000012,41458,10676,12930,7082,6295,3056,1085,202,132,2.59,25.75,31.19,17.08,15.18,7.37,2.62,0.49,0.32
N06000013,37740,11356,13031,5981,5023,1846,389,76,38,2.33,30.09,34.53,15.85,13.31,4.89,1.03,0.20,0.10
N06000014,37715,9129,11829,6767,6267,2694,788,157,84,2.60,24.21,31.36,17.94,16.62,7.14,2.09,0.42,0.22
N06000015,39030,9606,10801,6525,6266,3779,1535,354,164,2.76,24.61,27.67,16.72,16.05,9.68,3.93,0.91,0.42
N06000016,35412,9058,11874,6014,5518,2171,626,105,46,2.50,25.58,33.53,16.98,15.58,6.13,1.77,0.30,0.13
N06000017,45766,12225,13741,8047,7126,3256,1069,197,105,2.56,26.71,30.02,17.58,15.57,7.11,2.34,0.43,0.23
N06000018,33260,8873,8881,5403,5284,3049,1357,272,141,2.72,26.68,26.70,16.24,15.89,9.17,4.08,0.82,0.42
