GeographyCode,KS406NI0001,KS406NI0002,KS406NI0003,KS406NI0004,KS406NI0005,KS406NI0006,KS406NI0007,KS406NI0008,KS406NI0009,KS406NI0010,KS406NI0011,KS406NI0012,KS406NI0013
N06000001,40918,1777,3150,121,270,103,36322,4.34,7.70,0.30,0.66,0.25,88.77
N06000002,44601,2508,4248,185,395,118,38330,5.62,9.52,0.41,0.89,0.26,85.94
N06000003,46630,1683,2571,171,265,91,42692,3.61,5.51,0.37,0.57,0.20,91.55
N06000004,36580,2344,3655,175,391,98,30965,6.41,9.99,0.48,1.07,0.27,84.65
N06000005,36112,1641,2213,99,167,100,32483,4.54,6.13,0.27,0.46,0.28,89.95
N06000006,37981,2422,2095,79,179,53,33731,6.38,5.52,0.21,0.47,0.14,88.81
N06000007,37590,3831,2088,97,176,49,32083,10.19,5.55,0.26,0.47,0.13,85.35
N06000008,38404,2335,2933,141,242,87,33581,6.08,7.64,0.37,0.63,0.23,87.44
N06000009,39850,2224,2098,81,150,58,35819,5.58,5.26,0.20,0.38,0.15,89.88
N06000010,33690,3063,2240,92,127,45,28703,9.09,6.65,0.27,0.38,0.13,85.20
N06000011,40538,3473,2392,106,239,120,34984,8.57,5.90,0.26,0.59,0.30,86.30
N06000012,41458,2876,2394,87,183,66,36539,6.94,5.77,0.21,0.44,0.16,88.13
N06000013,37740,1782,2412,87,171,100,33897,4.72,6.39,0.23,0.45,0.26,89.82
N06000014,37715,2087,2170,75,157,55,33687,5.53,5.75,0.20,0.42,0.15,89.32
N06000015,39030,3308,2187,94,214,71,33848,8.48,5.60,0.24,0.55,0.18,86.72
N06000016,35412,2080,2049,73,137,73,31609,5.87,5.79,0.21,0.39,0.21,89.26
N06000017,45766,2662,2844,85,226,86,40583,5.82,6.21,0.19,0.49,0.19,88.67
N06000018,33260,2938,1860,83,193,28,28747,8.83,5.59,0.25,0.58,0.08,86.43
