GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
N06000001,21469,2159,3937,2637,2421,3345,648,1520,2088,2714,10.06,18.34,12.28,11.28,15.58,3.02,7.08,9.73,12.64
N06000002,20045,1568,2771,1970,1851,3424,749,1824,2613,3275,7.82,13.82,9.83,9.23,17.08,3.74,9.10,13.04,16.34
N06000003,27882,2728,8140,3398,2673,2908,777,2602,1627,3029,9.78,29.19,12.19,9.59,10.43,2.79,9.33,5.84,10.86
N06000004,15911,1026,1820,1433,1570,2874,735,1680,2204,2569,6.45,11.44,9.01,9.87,18.06,4.62,10.56,13.85,16.15
N06000005,21299,2186,2891,2321,1865,4855,470,1352,2918,2441,10.26,13.57,10.90,8.76,22.79,2.21,6.35,13.70,11.46
N06000006,21707,2084,2717,1918,1668,5837,602,1366,2987,2528,9.60,12.52,8.84,7.68,26.89,2.77,6.29,13.76,11.65
N06000007,24971,2193,2506,1741,1120,8053,602,1441,4529,2786,8.78,10.04,6.97,4.49,32.25,2.41,5.77,18.14,11.16
N06000008,19074,1708,2958,2035,1292,3370,719,2078,2716,2198,8.95,15.51,10.67,6.77,17.67,3.77,10.89,14.24,11.52
N06000009,25387,3208,4086,3092,2440,5004,561,1631,2804,2561,12.64,16.09,12.18,9.61,19.71,2.21,6.42,11.05,10.09
N06000010,23403,2031,2492,1584,905,8876,410,946,3741,2418,8.68,10.65,6.77,3.87,37.93,1.75,4.04,15.99,10.33
N06000011,25224,2448,2855,1886,1340,7375,624,1701,4131,2864,9.71,11.32,7.48,5.31,29.24,2.47,6.74,16.38,11.35
N06000012,25772,2460,2899,2115,1364,7894,550,1436,4232,2822,9.55,11.25,8.21,5.29,30.63,2.13,5.57,16.42,10.95
N06000013,21248,2765,3450,2945,2808,3393,598,1560,1848,1881,13.01,16.24,13.86,13.22,15.97,2.81,7.34,8.70,8.85
N06000014,24908,2705,3279,2702,2113,5789,616,1553,3328,2823,10.86,13.16,10.85,8.48,23.24,2.47,6.23,13.36,11.33
N06000015,25300,2524,3251,2047,1495,8566,631,1336,3073,2377,9.98,12.85,8.09,5.91,33.86,2.49,5.28,12.15,9.40
N06000016,21175,2324,2585,2143,2212,5560,537,1202,2475,2137,10.98,12.21,10.12,10.45,26.26,2.54,5.68,11.69,10.09
N06000017,27599,2626,3262,2612,2026,6058,650,1776,5182,3407,9.51,11.82,9.46,7.34,21.95,2.36,6.44,18.78,12.34
N06000018,19756,1532,2187,1507,995,6798,519,1078,3038,2102,7.75,11.07,7.63,5.04,34.41,2.63,5.46,15.38,10.64
