GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
N06000001,40918,199,15956,2565,20212,445,157,1384,0.49,39.00,6.27,49.40,1.09,0.38,3.38
N06000002,44601,247,20929,2275,18750,711,217,1472,0.55,46.92,5.10,42.04,1.59,0.49,3.30
N06000003,46630,317,20774,2701,20531,353,145,1809,0.68,44.55,5.79,44.03,0.76,0.31,3.88
N06000004,36580,95,17516,1250,16133,411,193,982,0.26,47.88,3.42,44.10,1.12,0.53,2.68
N06000005,36112,233,8688,1182,21423,797,96,3693,0.65,24.06,3.27,59.32,2.21,0.27,10.23
N06000006,37981,174,1218,1179,26483,1442,223,7262,0.46,3.21,3.10,69.73,3.80,0.59,19.12
N06000007,37590,253,372,852,25199,1387,337,9190,0.67,0.99,2.27,67.04,3.69,0.90,24.45
N06000008,38404,148,2815,1663,26988,1142,228,5420,0.39,7.33,4.33,70.27,2.97,0.59,14.11
N06000009,39850,186,6820,1424,25336,1000,298,4786,0.47,17.11,3.57,63.58,2.51,0.75,12.01
N06000010,33690,183,189,339,23481,1213,337,7948,0.54,0.56,1.01,69.70,3.60,1.00,23.59
N06000011,40538,208,724,1108,28972,1444,355,7727,0.51,1.79,2.73,71.47,3.56,0.88,19.06
N06000012,41458,262,1435,1261,28635,1462,242,8161,0.63,3.46,3.04,69.07,3.53,0.58,19.68
N06000013,37740,237,11401,1832,20694,599,108,2869,0.63,30.21,4.85,54.83,1.59,0.29,7.60
N06000014,37715,146,4893,948,25932,899,131,4766,0.39,12.97,2.51,68.76,2.38,0.35,12.64
N06000015,39030,268,901,901,27424,1333,350,7853,0.69,2.31,2.31,70.26,3.42,0.90,20.12
N06000016,35412,252,4395,1119,24209,1060,131,4246,0.71,12.41,3.16,68.36,2.99,0.37,11.99
N06000017,45766,182,1704,1658,34206,1199,238,6579,0.40,3.72,3.62,74.74,2.62,0.52,14.38
N06000018,33260,176,226,414,22661,1223,297,8263,0.53,0.68,1.24,68.13,3.68,0.89,24.84
