GeographyCode,KS607NI0001,KS607NI0002,KS607NI0003,KS607NI0004,KS607NI0005,KS607NI0006,KS607NI0007,KS607NI0008,KS607NI0009,KS607NI0010,KS607NI0011,KS607NI0012,KS607NI0013,KS607NI0014,KS607NI0015,KS607NI0016,KS607NI0017,KS607NI0018,KS607NI0019,KS607NI0020,KS607NI0021,KS607NI0022,KS607NI0023,KS607NI0024,KS607NI0025,KS607NI0026,KS607NI0027,KS607NI0028,KS607NI0029,KS607NI0030,KS607NI0031,KS607NI0032,KS607NI0033,KS607NI0034,KS607NI0035,KS607NI0036,KS607NI0037
N06000001,21161,24,2,650,61,55,231,3332,333,1315,529,1076,253,1243,859,2280,2657,4898,1363,0.11,0.01,3.07,0.29,0.26,1.09,15.75,1.57,6.21,2.50,5.08,1.20,5.87,4.06,10.77,12.56,23.15,6.44
N06000002,20351,8,6,554,48,56,223,3998,504,1247,422,958,248,955,939,1710,2535,4674,1266,0.04,0.03,2.72,0.24,0.28,1.10,19.65,2.48,6.13,2.07,4.71,1.22,4.69,4.61,8.40,12.46,22.97,6.22
N06000003,27490,18,6,633,78,68,240,4571,252,2164,890,1284,341,1931,892,2351,4041,6261,1469,0.07,0.02,2.30,0.28,0.25,0.87,16.63,0.92,7.87,3.24,4.67,1.24,7.02,3.24,8.55,14.70,22.78,5.34
N06000004,17553,12,4,369,22,40,183,3308,295,1138,278,765,214,696,754,1508,2195,4716,1056,0.07,0.02,2.10,0.13,0.23,1.04,18.85,1.68,6.48,1.58,4.36,1.22,3.97,4.30,8.59,12.50,26.87,6.02
N06000005,20242,80,21,908,65,50,393,3590,592,1279,368,998,235,857,713,1710,2700,4505,1178,0.40,0.10,4.49,0.32,0.25,1.94,17.74,2.92,6.32,1.82,4.93,1.16,4.23,3.52,8.45,13.34,22.26,5.82
N06000006,19709,181,14,780,19,52,402,3747,232,1660,191,647,224,774,642,1486,3231,4395,1032,0.92,0.07,3.96,0.10,0.26,2.04,19.01,1.18,8.42,0.97,3.28,1.14,3.93,3.26,7.54,16.39,22.30,5.24
N06000007,21334,345,42,1872,25,27,420,3755,279,1433,336,853,144,872,534,1080,3296,4965,1056,1.62,0.20,8.77,0.12,0.13,1.97,17.60,1.31,6.72,1.57,4.00,0.67,4.09,2.50,5.06,15.45,23.27,4.95
N06000008,18611,52,7,637,24,48,237,3714,189,1362,406,652,231,634,875,1187,2905,4484,967,0.28,0.04,3.42,0.13,0.26,1.27,19.96,1.02,7.32,2.18,3.50,1.24,3.41,4.70,6.38,15.61,24.09,5.20
N06000009,23274,126,9,1096,53,54,461,4417,321,1105,327,926,193,1190,738,2169,3054,5717,1318,0.54,0.04,4.71,0.23,0.23,1.98,18.98,1.38,4.75,1.41,3.98,0.83,5.11,3.17,9.32,13.12,24.56,5.66
N06000010,19491,247,35,1435,16,53,686,3522,313,1179,184,535,162,816,449,1207,3106,4604,942,1.27,0.18,7.36,0.08,0.27,3.52,18.07,1.61,6.05,0.94,2.74,0.83,4.19,2.30,6.19,15.94,23.62,4.83
N06000011,22663,321,10,1381,27,105,484,4256,336,1362,224,657,168,1008,684,1396,3558,5490,1196,1.42,0.04,6.09,0.12,0.46,2.14,18.78,1.48,6.01,0.99,2.90,0.74,4.45,3.02,6.16,15.70,24.22,5.28
N06000012,22852,311,8,1364,50,121,506,4322,386,1435,165,624,254,876,689,1651,3240,5670,1180,1.36,0.04,5.97,0.22,0.53,2.21,18.91,1.69,6.28,0.72,2.73,1.11,3.83,3.02,7.22,14.18,24.81,5.16
N06000013,20317,38,1,543,43,34,252,3455,294,1141,441,958,298,1090,879,2243,2579,4831,1197,0.19,0.00,2.67,0.21,0.17,1.24,17.01,1.45,5.62,2.17,4.72,1.47,5.36,4.33,11.04,12.69,23.78,5.89
N06000014,23350,145,7,1073,52,87,404,4303,720,1316,387,1037,237,948,786,1911,2943,5821,1173,0.62,0.03,4.60,0.22,0.37,1.73,18.43,3.08,5.64,1.66,4.44,1.01,4.06,3.37,8.18,12.60,24.93,5.02
N06000015,22392,217,13,1111,29,63,571,3755,276,1516,260,718,191,1105,587,1611,3481,5594,1294,0.97,0.06,4.96,0.13,0.28,2.55,16.77,1.23,6.77,1.16,3.21,0.85,4.93,2.62,7.19,15.55,24.98,5.78
N06000016,20252,179,7,673,30,43,358,3370,281,1153,326,971,239,954,772,2270,2444,4979,1203,0.88,0.03,3.32,0.15,0.21,1.77,16.64,1.39,5.69,1.61,4.79,1.18,4.71,3.81,11.21,12.07,24.59,5.94
N06000017,25171,181,15,2104,47,53,429,5010,360,1542,310,675,226,1087,843,1824,3372,5878,1215,0.72,0.06,8.36,0.19,0.21,1.70,19.90,1.43,6.13,1.23,2.68,0.90,4.32,3.35,7.25,13.40,23.35,4.83
N06000018,16920,231,16,691,45,35,385,3068,199,1014,183,565,172,706,454,1215,2798,4248,895,1.37,0.09,4.08,0.27,0.21,2.28,18.13,1.18,5.99,1.08,3.34,1.02,4.17,2.68,7.18,16.54,25.11,5.29
