GeographyCode,KS105NI0001,KS105NI0002,KS105NI0003,KS105NI0004,KS105NI0005,KS105NI0006,KS105NI0007,KS105NI0008,KS105NI0009,KS105NI0010,KS105NI0011,KS105NI0012,KS105NI0013,KS105NI0014,KS105NI0015,KS105NI0016,KS105NI0017,KS105NI0018,KS105NI0019,KS105NI0020,KS105NI0021,KS105NI0022,KS105NI0023,KS105NI0024,KS105NI0025,KS105NI0026,KS105NI0027,KS105NI0028,KS105NI0029,KS105NI0030,KS105NI0031
N06000001,40918,5634,8708,3063,4209,6261,2436,1652,907,120,3413,1926,784,26,167,1612,13.77,21.28,7.49,10.29,15.30,5.95,4.04,2.22,0.29,8.34,4.71,1.92,0.06,0.41,3.94
N06000002,44601,6072,9751,2624,3331,5364,2766,1296,1067,126,6157,2658,1276,37,225,1851,13.61,21.86,5.88,7.47,12.03,6.20,2.91,2.39,0.28,13.80,5.96,2.86,0.08,0.50,4.15
N06000003,46630,5114,10596,2688,3967,6753,2457,2324,914,97,2940,1824,836,1518,205,4397,10.97,22.72,5.76,8.51,14.48,5.27,4.98,1.96,0.21,6.30,3.91,1.79,3.26,0.44,9.43
N06000004,36580,3560,6885,1617,2051,4495,2615,769,848,103,6971,2946,1811,32,183,1694,9.73,18.82,4.42,5.61,12.29,7.15,2.10,2.32,0.28,19.06,8.05,4.95,0.09,0.50,4.63
N06000005,36112,4253,5957,2849,4459,7056,2920,1092,831,100,3175,1609,699,29,106,977,11.78,16.50,7.89,12.35,19.54,8.09,3.02,2.30,0.28,8.79,4.46,1.94,0.08,0.29,2.71
N06000006,37981,4139,5892,2687,4244,7657,3377,1044,935,105,3218,1868,1000,283,173,1359,10.90,15.51,7.07,11.17,20.16,8.89,2.75,2.46,0.28,8.47,4.92,2.63,0.75,0.46,3.58
N06000007,37590,4269,5683,2193,3774,8661,3576,964,839,83,2531,1961,1192,17,234,1613,11.36,15.12,5.83,10.04,23.04,9.51,2.56,2.23,0.22,6.73,5.22,3.17,0.05,0.62,4.29
N06000008,38404,3444,7417,1812,2827,6551,3124,847,764,74,5567,2318,1627,55,169,1808,8.97,19.31,4.72,7.36,17.06,8.13,2.21,1.99,0.19,14.50,6.04,4.24,0.14,0.44,4.71
N06000009,39850,4308,6127,3343,5091,8819,3241,1376,966,114,2721,1677,800,12,170,1085,10.81,15.38,8.39,12.78,22.13,8.13,3.45,2.42,0.29,6.83,4.21,2.01,0.03,0.43,2.72
N06000010,33690,3232,4225,1875,3197,9040,3762,680,681,73,2476,1887,1126,4,195,1237,9.59,12.54,5.57,9.49,26.83,11.17,2.02,2.02,0.22,7.35,5.60,3.34,0.01,0.58,3.67
N06000011,40538,4383,5842,2302,3740,9345,4031,886,864,83,3713,2303,1282,10,191,1563,10.81,14.41,5.68,9.23,23.05,9.94,2.19,2.13,0.20,9.16,5.68,3.16,0.02,0.47,3.86
N06000012,41458,4721,5955,3216,4906,8706,3930,1096,1001,127,2899,2180,1077,7,267,1370,11.39,14.36,7.76,11.83,21.00,9.48,2.64,2.41,0.31,6.99,5.26,2.60,0.02,0.64,3.30
N06000013,37740,4945,6411,3611,5137,6891,2719,1290,895,111,2500,1530,613,4,122,961,13.10,16.99,9.57,13.61,18.26,7.20,3.42,2.37,0.29,6.62,4.05,1.62,0.01,0.32,2.55
N06000014,37715,3587,5542,2649,4799,8622,3228,1191,1014,123,3164,1642,962,10,119,1063,9.51,14.69,7.02,12.72,22.86,8.56,3.16,2.69,0.33,8.39,4.35,2.55,0.03,0.32,2.82
N06000015,39030,4196,5410,2451,3897,9499,3927,867,850,90,3131,2042,1119,3,226,1322,10.75,13.86,6.28,9.98,24.34,10.06,2.22,2.18,0.23,8.02,5.23,2.87,0.01,0.58,3.39
N06000016,35412,3971,5087,3016,4861,7404,3100,1069,838,131,2552,1578,744,2,132,927,11.21,14.37,8.52,13.73,20.91,8.75,3.02,2.37,0.37,7.21,4.46,2.10,0.01,0.37,2.62
N06000017,45766,4758,7467,2982,4817,9749,3870,1469,1349,124,4236,2185,1120,3,192,1445,10.40,16.32,6.52,10.53,21.30,8.46,3.21,2.95,0.27,9.26,4.77,2.45,0.01,0.42,3.16
N06000018,33260,3515,5358,1848,2961,7804,3397,641,623,76,2864,1868,912,3,203,1187,10.57,16.11,5.56,8.90,23.46,10.21,1.93,1.87,0.23,8.61,5.62,2.74,0.01,0.61,3.57
