GeographyCode,KS202NI0001,KS202NI0002,KS202NI0003,KS202NI0004,KS202NI0005,KS202NI0006,KS202NI0007,KS202NI0008,KS202NI0009,KS202NI0010,KS202NI0011,KS202NI0012,KS202NI0013,KS202NI0014,KS202NI0015,KS202NI0016,KS202NI0017
N06000001,92221,52710,6062,16180,627,9215,443,1453,5531,57.16,6.57,17.54,0.68,9.99,0.48,1.58,6.00
N06000002,102531,42080,27624,20098,660,5658,1043,931,4437,41.04,26.94,19.60,0.64,5.52,1.02,0.91,4.33
N06000003,111402,38060,28282,22321,1284,6860,2012,2168,10415,34.16,25.39,20.04,1.15,6.16,1.81,1.95,9.35
N06000004,93986,17038,53082,17375,570,1902,1260,446,2313,18.13,56.48,18.49,0.61,2.02,1.34,0.47,2.46
N06000005,90067,51027,7081,17200,577,9134,454,1108,3486,56.65,7.86,19.10,0.64,10.14,0.50,1.23,3.87
N06000006,99673,44480,19581,22538,648,6341,957,994,4134,44.63,19.65,22.61,0.65,6.36,0.96,1.00,4.15
N06000007,102553,32914,32271,23149,493,3839,1154,629,8104,32.09,31.47,22.57,0.48,3.74,1.13,0.61,7.90
N06000008,100807,19562,52969,19555,498,2414,1642,639,3528,19.41,52.54,19.40,0.49,2.39,1.63,0.63,3.50
N06000009,101710,57130,8567,18552,722,9579,580,1460,5120,56.17,8.42,18.24,0.71,9.42,0.57,1.44,5.03
N06000010,99155,26041,38109,24795,481,3137,1645,504,4443,26.26,38.43,25.01,0.49,3.16,1.66,0.51,4.48
N06000011,112401,28164,47896,23684,503,3723,1537,581,6313,25.06,42.61,21.07,0.45,3.31,1.37,0.52,5.62
N06000012,108207,58182,13278,21012,606,8610,774,935,4810,53.77,12.27,19.42,0.56,7.96,0.72,0.86,4.45
N06000013,89498,50685,4392,16925,928,9797,463,1728,4580,56.63,4.91,18.91,1.04,10.95,0.52,1.93,5.12
N06000014,99238,49603,14112,20050,693,8319,762,1134,4565,49.98,14.22,20.20,0.70,8.38,0.77,1.14,4.60
N06000015,108835,29587,39024,28758,835,3551,1700,1012,4368,27.19,35.86,26.42,0.77,3.26,1.56,0.93,4.01
N06000016,89370,51371,5925,17220,622,9498,448,1228,3058,57.48,6.63,19.27,0.70,10.63,0.50,1.37,3.42
N06000017,118010,49784,25106,24940,676,7493,1003,987,8021,42.19,21.27,21.13,0.57,6.35,0.85,0.84,6.80
N06000018,91199,23961,34121,24915,454,2678,1255,469,3346,26.27,37.41,27.32,0.50,2.94,1.38,0.51,3.67
