GeographyCode,KS613NI0001,KS613NI0002,KS613NI0003,KS613NI0004,KS613NI0005,KS613NI0006,KS613NI0007,KS613NI0008,KS613NI0009,KS613NI0010,KS613NI0011,KS613NI0012,KS613NI0013,KS613NI0014,KS613NI0015,KS613NI0016,KS613NI0017,KS613NI0018,KS613NI0019,KS613NI0020,KS613NI0021,KS613NI0022,KS613NI0023
N06000001,34561,437,2126,8039,6787,1054,1284,6631,3712,1479,422,2590,1.26,6.15,23.26,19.64,3.05,3.72,19.19,10.74,4.28,1.22,7.49
N06000002,38092,339,1266,6511,6773,900,1558,8321,5391,3092,695,3246,0.89,3.32,17.09,17.78,2.36,4.09,21.84,14.15,8.12,1.82,8.52
N06000003,43746,546,4464,10632,6657,1180,1358,5334,3010,1727,479,8359,1.25,10.20,24.30,15.22,2.70,3.10,12.19,6.88,3.95,1.09,19.11
N06000004,35489,226,781,5154,6315,602,1331,7102,5467,4007,695,3809,0.64,2.20,14.52,17.79,1.70,3.75,20.01,15.40,11.29,1.96,10.73
N06000005,33647,370,1430,7359,6752,1485,1466,6612,3143,1198,442,3390,1.10,4.25,21.87,20.07,4.41,4.36,19.65,9.34,3.56,1.31,10.08
N06000006,36675,273,1356,7365,5804,1854,1584,7220,4003,2278,637,4301,0.74,3.70,20.08,15.83,5.06,4.32,19.69,10.91,6.21,1.74,11.73
N06000007,36335,301,1323,7340,5665,2172,1654,7870,3869,2389,515,3237,0.83,3.64,20.20,15.59,5.98,4.55,21.66,10.65,6.57,1.42,8.91
N06000008,37804,297,1221,6934,5481,1104,1557,7332,5101,3241,979,4557,0.79,3.23,18.34,14.50,2.92,4.12,19.39,13.49,8.57,2.59,12.05
N06000009,37175,487,2147,9235,7477,1807,1404,7021,3164,1096,372,2965,1.31,5.78,24.84,20.11,4.86,3.78,18.89,8.51,2.95,1.00,7.98
N06000010,35136,287,1197,7413,5282,1763,1401,6821,4186,2392,530,3864,0.82,3.41,21.10,15.03,5.02,3.99,19.41,11.91,6.81,1.51,11.00
N06000011,40162,341,1442,8310,6682,1924,1767,7593,4688,2841,697,3877,0.85,3.59,20.69,16.64,4.79,4.40,18.91,11.67,7.07,1.74,9.65
N06000012,39298,353,1339,8356,6653,2121,1649,8812,4362,1834,609,3210,0.90,3.41,21.26,16.93,5.40,4.20,22.42,11.10,4.67,1.55,8.17
N06000013,33716,484,1826,8891,7013,1732,1298,6313,2345,955,421,2438,1.44,5.42,26.37,20.80,5.14,3.85,18.72,6.96,2.83,1.25,7.23
N06000014,36696,503,1595,8709,7691,1568,1484,6897,3619,1246,370,3014,1.37,4.35,23.73,20.96,4.27,4.04,18.79,9.86,3.40,1.01,8.21
N06000015,38559,369,1604,8861,6453,2192,1593,7434,3743,2087,498,3725,0.96,4.16,22.98,16.74,5.68,4.13,19.28,9.71,5.41,1.29,9.66
N06000016,33326,372,1371,7645,7105,1840,1370,6495,3080,1053,361,2634,1.12,4.11,22.94,21.32,5.52,4.11,19.49,9.24,3.16,1.08,7.90
N06000017,43085,469,1559,8907,7640,1736,2076,9098,5304,1988,648,3660,1.09,3.62,20.67,17.73,4.03,4.82,21.12,12.31,4.61,1.50,8.49
N06000018,32549,222,1063,6526,4784,1592,1314,6322,4078,2794,605,3249,0.68,3.27,20.05,14.70,4.89,4.04,19.42,12.53,8.58,1.86,9.98
