GeographyCode,KS212NI0001,KS212NI0002,KS212NI0003,KS212NI0004,KS212NI0005,KS212NI0006,KS212NI0007,KS212NI0008,KS212NI0009
N06000001,92221,11712,69533,1324,9652,12.70,75.40,1.44,10.47
N06000002,102531,48126,46821,1066,6518,46.94,45.67,1.04,6.36
N06000003,111402,49025,48630,3124,10623,44.01,43.65,2.80,9.54
N06000004,93986,75263,15645,549,2529,80.08,16.65,0.58,2.69
N06000005,90067,18362,63148,877,7680,20.39,70.11,0.97,8.53
N06000006,99673,41564,53097,674,4338,41.70,53.27,0.68,4.35
N06000007,102553,59159,40100,628,2666,57.69,39.10,0.61,2.60
N06000008,100807,75731,22193,793,2090,75.12,22.02,0.79,2.07
N06000009,101710,19346,73158,1006,8200,19.02,71.93,0.99,8.06
N06000010,99155,66152,30522,438,2043,66.72,30.78,0.44,2.06
N06000011,112401,74591,34380,616,2814,66.36,30.59,0.55,2.50
N06000012,108207,30723,71446,801,5237,28.39,66.03,0.74,4.84
N06000013,89498,11269,66618,1026,10585,12.59,74.44,1.15,11.83
N06000014,99238,31619,59349,867,7403,31.86,59.80,0.87,7.46
N06000015,108835,75384,29224,570,3657,69.26,26.85,0.52,3.36
N06000016,89370,15447,65353,839,7731,17.28,73.13,0.94,8.65
N06000017,118010,51919,58998,1033,6060,44.00,49.99,0.88,5.14
N06000018,91199,61993,27502,361,1343,67.98,30.16,0.40,1.47
