GeographyCode,KS402NI0001,KS402NI0002,KS402NI0003,KS402NI0004,KS402NI0005,KS402NI0006,KS402NI0007,KS402NI0008,KS402NI0009,KS402NI0010,KS402NI0011,KS402NI0012,KS402NI0013,KS402NI0014,KS402NI0015,KS402NI0016,KS402NI0017
N06000001,40918,11676,13969,281,5680,2472,5425,499,916,28.54,34.14,0.69,13.88,6.04,13.26,1.22,2.24
N06000002,44601,10767,13281,331,8534,3989,5940,509,1250,24.14,29.78,0.74,19.13,8.94,13.32,1.14,2.80
N06000003,46630,12150,13998,253,4873,2319,11314,819,904,26.06,30.02,0.54,10.45,4.97,24.26,1.76,1.94
N06000004,36580,7062,12673,270,8668,3197,3289,428,993,19.31,34.64,0.74,23.70,8.74,8.99,1.17,2.71
N06000005,36112,11866,14289,223,3638,785,4091,463,757,32.86,39.57,0.62,10.07,2.17,11.33,1.28,2.10
N06000006,37981,13423,12176,227,4227,753,5496,656,1023,35.34,32.06,0.60,11.13,1.98,14.47,1.73,2.69
N06000007,37590,15340,11222,129,2998,696,5349,661,1195,40.81,29.85,0.34,7.98,1.85,14.23,1.76,3.18
N06000008,38404,8919,12612,220,6616,2467,6113,595,862,23.22,32.84,0.57,17.23,6.42,15.92,1.55,2.24
N06000009,39850,13534,15667,298,4235,1048,3505,668,895,33.96,39.31,0.75,10.63,2.63,8.80,1.68,2.25
N06000010,33690,13035,11522,144,2479,410,4584,530,986,38.69,34.20,0.43,7.36,1.22,13.61,1.57,2.93
N06000011,40538,14626,13830,130,3712,788,5674,649,1129,36.08,34.12,0.32,9.16,1.94,14.00,1.60,2.79
N06000012,41458,15632,13507,207,4378,611,5342,596,1185,37.71,32.58,0.50,10.56,1.47,12.89,1.44,2.86
N06000013,37740,13273,14751,408,2888,986,4190,611,633,35.17,39.09,1.08,7.65,2.61,11.10,1.62,1.68
N06000014,37715,11921,16455,283,3449,401,3711,691,804,31.61,43.63,0.75,9.14,1.06,9.84,1.83,2.13
N06000015,39030,14314,14033,169,2556,651,5512,786,1009,36.67,35.95,0.43,6.55,1.67,14.12,2.01,2.59
N06000016,35412,12428,13575,251,3689,643,3515,445,866,35.10,38.33,0.71,10.42,1.82,9.93,1.26,2.45
N06000017,45766,13497,16976,313,4744,1154,7331,628,1123,29.49,37.09,0.68,10.37,2.52,16.02,1.37,2.45
N06000018,33260,12382,10126,107,3526,625,4834,567,1093,37.23,30.44,0.32,10.60,1.88,14.53,1.70,3.29
