GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
N06000001,3404,1199,763,1442,284,39,133,112,3120,1160,630,1330,35.22,22.41,42.36,13.73,46.83,39.44,37.18,20.19,42.63
N06000002,6128,2002,1016,3110,418,57,141,220,5710,1945,875,2890,32.67,16.58,50.75,13.64,33.73,52.63,34.06,15.32,50.61
N06000003,2920,963,710,1247,294,37,155,102,2626,926,555,1145,32.98,24.32,42.71,12.59,52.72,34.69,35.26,21.13,43.60
N06000004,6945,2299,928,3718,437,48,136,253,6508,2251,792,3465,33.10,13.36,53.53,10.98,31.12,57.89,34.59,12.17,53.24
N06000005,3163,1068,880,1215,296,36,151,109,2867,1032,729,1106,33.77,27.82,38.41,12.16,51.01,36.82,36.00,25.43,38.58
N06000006,3195,890,711,1594,276,41,106,129,2919,849,605,1465,27.86,22.25,49.89,14.86,38.41,46.74,29.09,20.73,50.19
N06000007,2520,713,651,1156,250,31,117,102,2270,682,534,1054,28.29,25.83,45.87,12.40,46.80,40.80,30.04,23.52,46.43
N06000008,5558,1515,848,3195,449,68,137,244,5109,1447,711,2951,27.26,15.26,57.48,15.14,30.51,54.34,28.32,13.92,57.76
N06000009,2709,940,811,958,280,33,164,83,2429,907,647,875,34.70,29.94,35.36,11.79,58.57,29.64,37.34,26.64,36.02
N06000010,2460,705,504,1251,235,41,89,105,2225,664,415,1146,28.66,20.49,50.85,17.45,37.87,44.68,29.84,18.65,51.51
N06000011,3680,1020,755,1905,448,48,174,226,3232,972,581,1679,27.72,20.52,51.77,10.71,38.84,50.45,30.07,17.98,51.95
N06000012,2883,925,683,1275,249,30,117,102,2634,895,566,1173,32.08,23.69,44.22,12.05,46.99,40.96,33.98,21.49,44.53
N06000013,2492,918,702,872,250,42,121,87,2242,876,581,785,36.84,28.17,34.99,16.80,48.40,34.80,39.07,25.91,35.01
N06000014,3148,1143,882,1123,263,27,154,82,2885,1116,728,1041,36.31,28.02,35.67,10.27,58.56,31.18,38.68,25.23,36.08
N06000015,3116,880,776,1460,333,41,144,148,2783,839,632,1312,28.24,24.90,46.85,12.31,43.24,44.44,30.15,22.71,47.14
N06000016,2543,865,723,955,241,28,128,85,2302,837,595,870,34.01,28.43,37.55,11.62,53.11,35.27,36.36,25.85,37.79
N06000017,4214,1267,1068,1879,395,40,190,165,3819,1227,878,1714,30.07,25.34,44.59,10.13,48.10,41.77,32.13,22.99,44.88
N06000018,2843,694,534,1615,241,26,87,128,2602,668,447,1487,24.41,18.78,56.81,10.79,36.10,53.11,25.67,17.18,57.15
