GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N06000001,56568,4673,442,8355,344,21853,7228,3661,686,886,8157,283,48293,6303,8116,2483,8.26,0.78,14.77,0.61,38.63,12.78,6.47,1.21,1.57,14.42,0.50,13.05,30.59
N06000002,57768,5536,398,10779,289,18513,7487,3356,1337,467,9357,249,44612,7055,13116,4115,9.58,0.69,18.66,0.50,32.05,12.96,5.81,2.31,0.81,16.20,0.43,15.81,31.37
N06000003,75991,7686,843,10315,240,25142,7372,4512,779,1676,17109,317,60331,7865,13834,3126,10.11,1.11,13.57,0.32,33.09,9.70,5.94,1.03,2.21,22.51,0.42,13.04,22.60
N06000004,52875,6066,507,9542,139,13047,6215,2787,3084,337,10943,208,37871,6283,14952,3761,11.47,0.96,18.05,0.26,24.68,11.75,5.27,5.83,0.64,20.70,0.39,16.59,25.15
N06000005,57828,5609,2951,4569,326,23977,8768,4221,528,299,6185,395,51845,6246,4601,1105,9.70,5.10,7.90,0.56,41.46,15.16,7.30,0.91,0.52,10.70,0.68,12.05,24.02
N06000006,60493,7661,667,7089,125,24065,9102,4765,640,340,5635,404,54428,6623,5218,1017,12.66,1.10,11.72,0.21,39.78,15.05,7.88,1.06,0.56,9.32,0.67,12.17,19.49
N06000007,65059,9243,128,8853,86,27377,9045,4485,781,210,4329,522,60831,8321,4081,652,14.21,0.20,13.61,0.13,42.08,13.90,6.89,1.20,0.32,6.65,0.80,13.68,15.98
N06000008,58813,6889,285,8011,95,19501,9103,3935,1861,256,8650,227,48185,6108,10050,2096,11.71,0.48,13.62,0.16,33.16,15.48,6.69,3.16,0.44,14.71,0.39,12.68,20.86
N06000009,65947,6430,1707,6129,178,29215,9451,4673,532,451,6741,440,61400,7019,4061,810,9.75,2.59,9.29,0.27,44.30,14.33,7.09,0.81,0.68,10.22,0.67,11.43,19.95
N06000010,62770,8467,120,8138,51,25933,9613,4879,355,150,4520,544,59694,7806,3015,449,13.49,0.19,12.96,0.08,41.31,15.31,7.77,0.57,0.24,7.20,0.87,13.08,14.89
N06000011,69564,8790,571,7862,109,28324,11089,5185,707,224,6191,512,64687,7731,4826,695,12.64,0.82,11.30,0.16,40.72,15.94,7.45,1.02,0.32,8.90,0.74,11.95,14.40
N06000012,67492,7935,839,6443,151,29425,10852,5015,506,248,5586,492,63062,6622,4384,656,11.76,1.24,9.55,0.22,43.60,16.08,7.43,0.75,0.37,8.28,0.73,10.50,14.96
N06000013,55422,5041,2517,3774,265,24322,8552,4122,537,393,5516,383,51043,5335,3877,944,9.10,4.54,6.81,0.48,43.89,15.43,7.44,0.97,0.71,9.95,0.69,10.45,24.35
N06000014,66020,6371,630,7747,218,28903,10069,4858,852,425,5549,398,61467,7400,4298,965,9.65,0.95,11.73,0.33,43.78,15.25,7.36,1.29,0.64,8.41,0.60,12.04,22.45
N06000015,68600,8578,239,9354,111,27893,10588,5238,510,255,5241,593,64936,8933,3392,646,12.50,0.35,13.64,0.16,40.66,15.43,7.64,0.74,0.37,7.64,0.86,13.76,19.04
N06000016,56667,5774,176,6849,249,25730,8189,4023,286,204,4806,381,53359,6325,3284,700,10.19,0.31,12.09,0.44,45.41,14.45,7.10,0.50,0.36,8.48,0.67,11.85,21.32
N06000017,73782,7425,1764,6331,258,30582,12024,5530,991,538,7935,404,67335,6933,6417,1156,10.06,2.39,8.58,0.35,41.45,16.30,7.50,1.34,0.73,10.75,0.55,10.30,18.01
N06000018,54687,7811,88,7555,46,21493,8224,3936,571,202,4370,391,50902,7061,3745,576,14.28,0.16,13.81,0.08,39.30,15.04,7.20,1.04,0.37,7.99,0.71,13.87,15.38
