GeographyCode,KS205NI0001,KS205NI0002,KS205NI0003,KS205NI0004,KS205NI0005,KS205NI0006,KS205NI0007,KS205NI0008,KS205NI0009,KS205NI0010,KS205NI0011,KS205NI0012,KS205NI0013,KS205NI0014,KS205NI0015,KS205NI0016,KS205NI0017,KS205NI0018,KS205NI0019,KS205NI0020,KS205NI0021,KS205NI0022,KS205NI0023
N06000001,92221,13283,70450,6712,2154,92,219,816,367,6,23,156,14.40,76.39,7.28,2.34,0.10,0.24,0.88,0.40,0.01,0.02,0.17
N06000002,102531,19019,62717,19734,1786,53,149,608,300,4,24,91,18.55,61.17,19.25,1.74,0.05,0.15,0.59,0.29,0.00,0.02,0.09
N06000003,111402,12421,68694,26468,3610,196,458,2546,731,22,76,257,11.15,61.66,23.76,3.24,0.18,0.41,2.29,0.66,0.02,0.07,0.23
N06000004,93986,18006,40040,36286,666,45,70,437,221,2,10,64,19.16,42.60,38.61,0.71,0.05,0.07,0.46,0.24,0.00,0.01,0.07
N06000005,90067,15028,67665,7185,764,71,100,532,259,5,13,137,16.69,75.13,7.98,0.85,0.08,0.11,0.59,0.29,0.01,0.01,0.15
N06000006,99673,22777,60581,15754,1391,32,88,352,330,7,22,126,22.85,60.78,15.81,1.40,0.03,0.09,0.35,0.33,0.01,0.02,0.13
N06000007,102553,24206,47166,26431,5601,34,69,314,283,3,42,86,23.60,45.99,25.77,5.46,0.03,0.07,0.31,0.28,0.00,0.04,0.08
N06000008,100807,18967,36867,44610,996,35,67,555,377,12,16,65,18.82,36.57,44.25,0.99,0.03,0.07,0.55,0.37,0.01,0.02,0.06
N06000009,101710,15686,76440,9086,1590,59,155,445,327,11,40,168,15.42,75.15,8.93,1.56,0.06,0.15,0.44,0.32,0.01,0.04,0.17
N06000010,99155,24795,45828,27121,2746,33,40,126,300,5,25,88,25.01,46.22,27.35,2.77,0.03,0.04,0.13,0.30,0.01,0.03,0.09
N06000011,112401,22012,47711,39898,4051,81,55,289,352,4,40,108,19.58,42.45,35.50,3.60,0.07,0.05,0.26,0.31,0.00,0.04,0.10
N06000012,108207,26163,69620,11135,2225,45,63,226,210,5,14,112,24.18,64.34,10.29,2.06,0.04,0.06,0.21,0.19,0.00,0.01,0.10
N06000013,89498,10943,72396,6506,877,74,167,470,389,14,15,191,12.23,80.89,7.27,0.98,0.08,0.19,0.53,0.43,0.02,0.02,0.21
N06000014,99238,15824,70091,12499,1783,42,121,406,234,5,13,170,15.95,70.63,12.59,1.80,0.04,0.12,0.41,0.24,0.01,0.01,0.17
N06000015,108835,22042,54954,31734,1841,51,87,188,438,2,18,142,20.25,50.49,29.16,1.69,0.05,0.08,0.17,0.40,0.00,0.02,0.13
N06000016,89370,15366,67415,6766,879,58,73,210,289,6,10,96,17.19,75.43,7.57,0.98,0.06,0.08,0.23,0.32,0.01,0.01,0.11
N06000017,118010,21733,70961,21351,4964,72,129,493,240,3,63,131,18.42,60.13,18.09,4.21,0.06,0.11,0.42,0.20,0.00,0.05,0.11
N06000018,91199,23157,40817,26550,1603,12,24,176,342,4,13,92,25.39,44.76,29.11,1.76,0.01,0.03,0.19,0.38,0.00,0.01,0.10
