GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
N06000001,92221,81562,3156,911,172,1086,580,1970,2784,88.44,3.42,0.99,0.19,1.18,0.63,2.14,3.02
N06000002,102531,93058,2715,780,107,1271,516,1691,2393,90.76,2.65,0.76,0.10,1.24,0.50,1.65,2.33
N06000003,111402,91768,4535,1036,183,3304,1179,2864,6533,82.38,4.07,0.93,0.16,2.97,1.06,2.57,5.86
N06000004,93986,88307,1571,399,55,1298,257,579,1520,93.96,1.67,0.42,0.06,1.38,0.27,0.62,1.62
N06000005,90067,81529,3561,1129,147,962,482,511,1746,90.52,3.95,1.25,0.16,1.07,0.54,0.57,1.94
N06000006,99673,89728,3857,1049,164,1686,411,1287,1491,90.02,3.87,1.05,0.16,1.69,0.41,1.29,1.50
N06000007,102553,85330,3937,610,88,5120,761,4657,2050,83.21,3.84,0.59,0.09,4.99,0.74,4.54,2.00
N06000008,100807,89038,3451,906,95,4294,460,803,1760,88.33,3.42,0.90,0.09,4.26,0.46,0.80,1.75
N06000009,101710,89848,4842,1108,230,1390,694,1406,2192,88.34,4.76,1.09,0.23,1.37,0.68,1.38,2.16
N06000010,99155,91033,2267,494,69,1254,430,2615,993,91.81,2.29,0.50,0.07,1.26,0.43,2.64,1.00
N06000011,112401,97462,3443,563,125,4740,373,4220,1475,86.71,3.06,0.50,0.11,4.22,0.33,3.75,1.31
N06000012,108207,98710,3355,1051,150,960,373,2398,1210,91.22,3.10,0.97,0.14,0.89,0.34,2.22,1.12
N06000013,89498,77207,5837,1365,250,1311,654,640,2234,86.27,6.52,1.53,0.28,1.46,0.73,0.72,2.50
N06000014,99238,89166,4148,878,173,1000,460,1633,1780,89.85,4.18,0.88,0.17,1.01,0.46,1.65,1.79
N06000015,108835,97646,4308,693,153,2424,323,1811,1477,89.72,3.96,0.64,0.14,2.23,0.30,1.66,1.36
N06000016,89370,81514,3433,878,160,891,404,793,1297,91.21,3.84,0.98,0.18,1.00,0.45,0.89,1.45
N06000017,118010,104371,3745,824,153,1476,1146,4141,2154,88.44,3.17,0.70,0.13,1.25,0.97,3.51,1.83
N06000018,91199,81576,2556,781,78,3366,200,1685,957,89.45,2.80,0.86,0.09,3.69,0.22,1.85,1.05
