GeographyCode,KS104NI0001,KS104NI0002,KS104NI0003,KS104NI0004,KS104NI0005,KS104NI0006,KS104NI0007,KS104NI0008,KS104NI0009,KS104NI0010,KS104NI0011,KS104NI0012,KS104NI0013,KS104NI0014,KS104NI0015
N06000001,74196,32924,6021,21862,735,2609,4302,5743,44.37,8.11,29.47,0.99,3.52,5.80,7.74
N06000002,80513,29406,5616,29037,856,4399,4786,6413,36.52,6.98,36.06,1.06,5.46,5.94,7.97
N06000003,90664,32788,7576,38110,1048,2389,3714,5039,36.16,8.36,42.03,1.16,2.64,4.10,5.56
N06000004,71573,23138,3936,29811,841,5020,3879,4948,32.33,5.50,41.65,1.18,7.01,5.42,6.91
N06000005,70240,35796,4518,18912,575,2375,3411,4653,50.96,6.43,26.92,0.82,3.38,4.86,6.62
N06000006,77212,37786,4632,23578,865,2174,3473,4704,48.94,6.00,30.54,1.12,2.82,4.50,6.09
N06000007,79297,38698,4517,25023,1183,2095,2689,5092,48.80,5.70,31.56,1.49,2.64,3.39,6.42
N06000008,77016,30820,3782,29257,915,3942,4025,4275,40.02,4.91,37.99,1.19,5.12,5.23,5.55
N06000009,79173,42422,5442,20088,775,2129,3474,4843,53.58,6.87,25.37,0.98,2.69,4.39,6.12
N06000010,75434,37954,3348,24609,936,2000,2361,4226,50.31,4.44,32.62,1.24,2.65,3.13,5.60
N06000011,85818,41088,4368,27845,1096,2713,3385,5323,47.88,5.09,32.45,1.28,3.16,3.94,6.20
N06000012,85237,43644,5106,24221,919,2434,3627,5286,51.20,5.99,28.42,1.08,2.86,4.26,6.20
N06000013,71442,37640,5081,17117,589,2075,4057,4883,52.69,7.11,23.96,0.82,2.90,5.68,6.83
N06000014,76272,40414,5185,20305,658,2395,3148,4167,52.99,6.80,26.62,0.86,3.14,4.13,5.46
N06000015,82959,41768,4149,25974,916,2336,2983,4833,50.35,5.00,31.31,1.10,2.82,3.60,5.83
N06000016,70944,38180,4546,17963,580,1894,3330,4451,53.82,6.41,25.32,0.82,2.67,4.69,6.27
N06000017,91390,44652,6558,26439,834,3089,4391,5427,48.86,7.18,28.93,0.91,3.38,4.80,5.94
N06000018,69988,33692,3056,23427,831,2165,2566,4251,48.14,4.37,33.47,1.19,3.09,3.67,6.07
