GeographyCode,KS604NI0001,KS604NI0002,KS604NI0003,KS604NI0004,KS604NI0005,KS604NI0006,KS604NI0007,KS604NI0008,KS604NI0009,KS604NI0010,KS604NI0011,KS604NI0012,KS604NI0013,KS604NI0014,KS604NI0015,KS604NI0016,KS604NI0017,KS604NI0018,KS604NI0019,KS604NI0020,KS604NI0021,KS604NI0022,KS604NI0023,KS604NI0024,KS604NI0025,KS604NI0026,KS604NI0027
N06000001,42630,3088,8741,27358,3443,21469,942,1992,15902,2633,21161,2146,6749,11456,810,7.24,20.50,64.18,8.08,4.39,9.28,74.07,12.26,10.14,31.89,54.14,3.83
N06000002,40396,3260,9695,24906,2535,20045,1130,2284,14654,1977,20351,2130,7411,10252,558,8.07,24.00,61.65,6.28,5.64,11.39,73.11,9.86,10.47,36.42,50.38,2.74
N06000003,55372,6590,9506,34156,5120,27882,2365,2690,19163,3664,27490,4225,6816,14993,1456,11.90,17.17,61.68,9.25,8.48,9.65,68.73,13.14,15.37,24.79,54.54,5.30
N06000004,33464,2837,9570,19411,1646,15911,1041,2221,11337,1312,17553,1796,7349,8074,334,8.48,28.60,58.01,4.92,6.54,13.96,71.25,8.25,10.23,41.87,46.00,1.90
N06000005,41541,3621,8413,25805,3702,21299,1071,1760,15411,3057,20242,2550,6653,10394,645,8.72,20.25,62.12,8.91,5.03,8.26,72.36,14.35,12.60,32.87,51.35,3.19
N06000006,41416,3955,8750,24504,4207,21707,1169,2370,14696,3472,19709,2786,6380,9808,735,9.55,21.13,59.17,10.16,5.39,10.92,67.70,15.99,14.14,32.37,49.76,3.73
N06000007,46305,3374,9200,27849,5882,24971,1045,2561,16504,4861,21334,2329,6639,11345,1021,7.29,19.87,60.14,12.70,4.18,10.26,66.09,19.47,10.92,31.12,53.18,4.79
N06000008,37685,3430,9163,22656,2436,19074,1139,2807,13214,1914,18611,2291,6356,9442,522,9.10,24.31,60.12,6.46,5.97,14.72,69.28,10.03,12.31,34.15,50.73,2.80
N06000009,48661,3676,9520,29945,5520,25387,1044,2001,17872,4470,23274,2632,7519,12073,1050,7.55,19.56,61.54,11.34,4.11,7.88,70.40,17.61,11.31,32.31,51.87,4.51
N06000010,42894,3355,8290,26376,4873,23403,913,2197,16146,4147,19491,2442,6093,10230,726,7.82,19.33,61.49,11.36,3.90,9.39,68.99,17.72,12.53,31.26,52.49,3.72
N06000011,47887,3913,9992,28779,5203,25224,1193,2570,17085,4376,22663,2720,7422,11694,827,8.17,20.87,60.10,10.87,4.73,10.19,67.73,17.35,12.00,32.75,51.60,3.65
N06000012,48624,3570,9742,30125,5187,25772,922,2184,18271,4395,22852,2648,7558,11854,792,7.34,20.04,61.96,10.67,3.58,8.47,70.89,17.05,11.59,33.07,51.87,3.47
N06000013,41565,3409,8690,25347,4119,21248,1030,1968,14980,3270,20317,2379,6722,10367,849,8.20,20.91,60.98,9.91,4.85,9.26,70.50,15.39,11.71,33.09,51.03,4.18
N06000014,48258,3509,9603,30424,4722,24908,1046,1979,18004,3879,23350,2463,7624,12420,843,7.27,19.90,63.04,9.78,4.20,7.95,72.28,15.57,10.55,32.65,53.19,3.61
N06000015,47692,4029,9661,28349,5653,25300,1220,2391,16944,4745,22392,2809,7270,11405,908,8.45,20.26,59.44,11.85,4.82,9.45,66.97,18.75,12.54,32.47,50.93,4.06
N06000016,41427,3413,8606,25093,4315,21175,904,1821,14928,3522,20252,2509,6785,10165,793,8.24,20.77,60.57,10.42,4.27,8.60,70.50,16.63,12.39,33.50,50.19,3.92
N06000017,52770,3976,10503,33796,4495,27599,1176,2311,20414,3698,25171,2800,8192,13382,797,7.53,19.90,64.04,8.52,4.26,8.37,73.97,13.40,11.12,32.55,53.16,3.17
N06000018,36676,2874,7197,22150,4455,19756,831,2153,12984,3788,16920,2043,5044,9166,667,7.84,19.62,60.39,12.15,4.21,10.90,65.72,19.17,12.07,29.81,54.17,3.94
