GeographyCode,KS607NI0001,KS607NI0002,KS607NI0003,KS607NI0004,KS607NI0005,KS607NI0006,KS607NI0007,KS607NI0008,KS607NI0009,KS607NI0010,KS607NI0011,KS607NI0012,KS607NI0013,KS607NI0014,KS607NI0015,KS607NI0016,KS607NI0017,KS607NI0018,KS607NI0019,KS607NI0020,KS607NI0021,KS607NI0022,KS607NI0023,KS607NI0024,KS607NI0025,KS607NI0026,KS607NI0027,KS607NI0028,KS607NI0029,KS607NI0030,KS607NI0031,KS607NI0032,KS607NI0033,KS607NI0034,KS607NI0035,KS607NI0036,KS607NI0037
N00000001,180,0,0,7,1,0,3,22,3,15,2,5,1,12,15,28,19,37,10,0,0,3.89,0.56,0,1.67,12.22,1.67,8.33,1.11,2.78,0.56,6.67,8.33,15.56,10.56,20.56,5.56
N00000002,78,0,0,4,0,0,0,13,1,2,4,6,1,6,3,3,17,15,3,0,0,5.13,0,0,0,16.67,1.28,2.56,5.13,7.69,1.28,7.69,3.85,3.85,21.79,19.23,3.85
N00000003,56,0,0,3,0,0,2,5,2,3,1,1,1,1,3,3,12,12,7,0,0,5.36,0,0,3.57,8.93,3.57,5.36,1.79,1.79,1.79,1.79,5.36,5.36,21.43,21.43,12.50
N00000004,133,7,0,11,0,1,2,26,3,4,3,8,0,6,4,7,17,27,7,5.26,0,8.27,0,0.75,1.50,19.55,2.26,3.01,2.26,6.02,0,4.51,3.01,5.26,12.78,20.30,5.26
N00000005,94,0,0,6,1,0,4,11,1,6,3,3,1,6,1,5,13,28,5,0,0,6.38,1.06,0,4.26,11.70,1.06,6.38,3.19,3.19,1.06,6.38,1.06,5.32,13.83,29.79,5.32
N00000006,63,2,0,6,0,0,2,10,1,2,0,6,1,1,3,7,15,7,0,3.17,0,9.52,0,0,3.17,15.87,1.59,3.17,0,9.52,1.59,1.59,4.76,11.11,23.81,11.11,0
N00000007,57,0,0,6,0,1,2,8,4,1,0,2,0,2,0,4,10,14,3,0,0,10.53,0,1.75,3.51,14.04,7.02,1.75,0,3.51,0,3.51,0,7.02,17.54,24.56,5.26
N00000008,71,2,0,6,0,0,0,4,1,3,2,3,1,1,3,8,12,22,3,2.82,0,8.45,0,0,0,5.63,1.41,4.23,2.82,4.23,1.41,1.41,4.23,11.27,16.90,30.99,4.23
N00000009,197,5,0,12,1,1,6,32,6,9,7,9,0,7,10,6,29,53,4,2.54,0,6.09,0.51,0.51,3.05,16.24,3.05,4.57,3.55,4.57,0,3.55,5.08,3.05,14.72,26.90,2.03
N00000010,51,0,0,2,0,2,1,9,2,3,0,4,1,1,3,6,7,8,2,0,0,3.92,0,3.92,1.96,17.65,3.92,5.88,0,7.84,1.96,1.96,5.88,11.76,13.73,15.69,3.92
N00000011,65,1,0,2,0,0,0,16,1,4,0,2,0,5,4,7,4,15,4,1.54,0,3.08,0,0,0,24.62,1.54,6.15,0,3.08,0,7.69,6.15,10.77,6.15,23.08,6.15
N00000012,64,0,0,4,0,1,0,14,0,8,0,0,0,0,5,4,8,18,2,0,0,6.25,0,1.56,0,21.88,0,12.50,0,0,0,0,7.81,6.25,12.50,28.13,3.13
N00000013,54,0,0,2,0,0,1,11,1,2,0,0,0,4,1,3,4,23,2,0,0,3.70,0,0,1.85,20.37,1.85,3.70,0,0,0,7.41,1.85,5.56,7.41,42.59,3.70
N00000014,133,0,0,8,0,0,3,34,7,12,4,1,1,5,2,9,7,28,12,0,0,6.02,0,0,2.26,25.56,5.26,9.02,3.01,0.75,0.75,3.76,1.50,6.77,5.26,21.05,9.02
N00000015,40,0,0,0,0,0,0,9,0,3,2,1,0,0,0,4,4,13,4,0,0,0,0,0,0,22.50,0,7.50,5.00,2.50,0,0,0,10.00,10.00,32.50,10.00
N00000016,45,0,0,4,0,0,0,8,0,6,0,2,2,0,2,2,6,11,2,0,0,8.89,0,0,0,17.78,0,13.33,0,4.44,4.44,0,4.44,4.44,13.33,24.44,4.44
N00000017,76,0,0,3,0,0,2,18,4,7,2,2,0,2,4,1,5,23,3,0,0,3.95,0,0,2.63,23.68,5.26,9.21,2.63,2.63,0,2.63,5.26,1.32,6.58,30.26,3.95
N00000018,50,1,0,5,0,0,1,13,2,1,0,1,0,0,4,7,2,10,3,2.00,0,10.00,0,0,2.00,26.00,4.00,2.00,0,2.00,0,0,8.00,14.00,4.00,20.00,6.00
