GeographyCode,KS701NI0001,KS701NI0002,KS701NI0003,KS701NI0004,KS701NI0005,KS701NI0006,KS701NI0007,KS701NI0008,KS701NI0009,KS701NI0010,KS701NI0011,KS701NI0012,KS701NI0013,KS701NI0014,KS701NI0015,KS701NI0016,KS701NI0017,KS701NI0018,KS701NI0019,KS701NI0020,KS701NI0021,KS701NI0022,KS701NI0023,KS701NI0024,KS701NI0025,KS701NI0026,KS701NI0027,KS701NI0028,KS701NI0029
N00000001,574,84,1,8,4,175,6,47,1,78,163,7,419,7,30,1,14.63,0.17,1.39,0.70,30.49,1.05,8.19,0.17,13.59,28.40,1.22,1.67,3.33
N00000002,159,17,0,2,0,100,6,21,0,1,10,2,155,2,4,0,10.69,0,1.26,0,62.89,3.77,13.21,0,0.63,6.29,1.26,1.29,0
N00000003,113,19,0,2,0,80,6,4,0,0,2,0,107,2,3,0,16.81,0,1.77,0,70.80,5.31,3.54,0,0,1.77,0,1.87,0
N00000004,286,61,1,3,1,169,13,24,2,0,7,5,280,3,6,1,21.33,0.35,1.05,0.35,59.09,4.55,8.39,0.70,0,2.45,1.75,1.07,16.67
N00000005,201,29,1,2,0,133,6,19,1,1,8,1,195,3,6,0,14.43,0.50,1.00,0,66.17,2.99,9.45,0.50,0.50,3.98,0.50,1.54,0
N00000006,125,20,3,2,0,88,2,7,2,1,0,0,120,3,5,2,16.00,2.40,1.60,0,70.40,1.60,5.60,1.60,0.80,0,0,2.50,40.00
N00000007,120,22,1,3,0,72,5,9,1,2,5,0,120,4,0,0,18.33,0.83,2.50,0,60.00,4.17,7.50,0.83,1.67,4.17,0,3.33,0
N00000008,157,22,1,5,4,96,4,17,0,2,5,1,146,5,11,1,14.01,0.64,3.18,2.55,61.15,2.55,10.83,0,1.27,3.18,0.64,3.42,9.09
N00000009,386,53,1,7,1,253,7,46,3,3,8,4,380,8,6,0,13.73,0.26,1.81,0.26,65.54,1.81,11.92,0.78,0.78,2.07,1.04,2.11,0
N00000010,104,19,0,3,0,62,3,11,0,1,3,2,101,3,0,0,18.27,0,2.88,0,59.62,2.88,10.58,0,0.96,2.88,1.92,2.97,0
N00000011,118,6,6,4,1,63,7,13,3,3,11,1,100,7,18,3,5.08,5.08,3.39,0.85,53.39,5.93,11.02,2.54,2.54,9.32,0.85,7.00,16.67
N00000012,126,12,2,5,0,62,11,12,5,5,11,1,97,4,29,3,9.52,1.59,3.97,0,49.21,8.73,9.52,3.97,3.97,8.73,0.79,4.12,10.34
N00000013,113,8,1,10,1,59,7,12,2,0,12,1,94,6,19,5,7.08,0.88,8.85,0.88,52.21,6.19,10.62,1.77,0,10.62,0.88,6.38,26.32
N00000014,244,11,4,9,1,132,21,25,10,3,27,1,209,7,35,6,4.51,1.64,3.69,0.41,54.10,8.61,10.25,4.10,1.23,11.07,0.41,3.35,17.14
N00000015,77,6,0,2,0,37,8,6,4,2,11,1,61,1,16,1,7.79,0,2.60,0,48.05,10.39,7.79,5.19,2.60,14.29,1.30,1.64,6.25
N00000016,93,2,2,1,0,50,12,6,7,0,11,2,81,2,12,1,2.15,2.15,1.08,0,53.76,12.90,6.45,7.53,0,11.83,2.15,2.47,8.33
N00000017,138,18,0,2,3,78,3,15,4,2,12,1,123,1,15,1,13.04,0,1.45,2.17,56.52,2.17,10.87,2.90,1.45,8.70,0.72,0.81,6.67
N00000018,100,11,0,6,0,51,7,9,5,1,9,1,82,3,18,3,11.00,0,6.00,0,51.00,7.00,9.00,5.00,1.00,9.00,1.00,3.66,16.67
N00000019,112,12,0,7,2,62,11,8,4,0,6,0,97,5,15,2,10.71,0,6.25,1.79,55.36,9.82,7.14,3.57,0,5.36,0,5.15,13.33
N00000020,83,3,0,3,2,48,6,4,7,0,10,0,65,2,18,1,3.61,0,3.61,2.41,57.83,7.23,4.82,8.43,0,12.05,0,3.08,5.56
N00000021,108,10,1,10,1,56,6,12,2,1,7,2,91,5,17,6,9.26,0.93,9.26,0.93,51.85,5.56,11.11,1.85,0.93,6.48,1.85,5.49,35.29
N00000022,105,6,0,9,0,56,9,10,3,3,9,0,93,5,12,4,5.71,0,8.57,0,53.33,8.57,9.52,2.86,2.86,8.57,0,5.38,33.33
N00000023,81,5,0,5,0,47,1,6,8,0,9,0,69,4,12,1,6.17,0,6.17,0,58.02,1.23,7.41,9.88,0,11.11,0,5.80,8.33
