GeographyCode,KS403NI0001,KS403NI0002,KS403NI0003,KS403NI0004,KS403NI0005,KS403NI0006,KS403NI0007,KS403NI0008,KS403NI0009,KS403NI0010,KS403NI0011,KS403NI0012,KS403NI0013,KS403NI0014,KS403NI0015,KS403NI0016,KS403NI0017,KS403NI0018
N00000001,310,21,91,69,86,32,9,2,0,3.17,6.77,29.35,22.26,27.74,10.32,2.90,0.65,0
N00000002,141,42,46,17,21,9,5,1,0,2.49,29.79,32.62,12.06,14.89,6.38,3.55,0.71,0
N00000003,78,12,27,12,11,10,5,1,0,2.99,15.38,34.62,15.38,14.10,12.82,6.41,1.28,0
N00000004,195,28,53,33,44,24,7,4,2,3.16,14.36,27.18,16.92,22.56,12.31,3.59,2.05,1.03
N00000005,124,17,43,15,28,13,7,1,0,3.02,13.71,34.68,12.10,22.58,10.48,5.65,0.81,0
N00000006,86,21,18,20,16,8,2,1,0,2.79,24.42,20.93,23.26,18.60,9.30,2.33,1.16,0
N00000007,89,17,28,17,18,5,4,0,0,2.75,19.10,31.46,19.10,20.22,5.62,4.49,0,0
N00000008,138,54,46,21,9,5,3,0,0,2.09,39.13,33.33,15.22,6.52,3.62,2.17,0,0
N00000009,275,64,77,60,46,23,5,0,0,2.64,23.27,28.00,21.82,16.73,8.36,1.82,0,0
N00000010,86,20,26,15,14,7,3,0,1,2.72,23.26,30.23,17.44,16.28,8.14,3.49,0,1.16
N00000011,136,58,41,14,10,9,3,0,1,2.15,42.65,30.15,10.29,7.35,6.62,2.21,0,0.74
N00000012,121,43,41,18,12,6,0,1,0,2.18,35.54,33.88,14.88,9.92,4.96,0,0.83,0
N00000013,136,67,32,19,13,2,3,0,0,1.97,49.26,23.53,13.97,9.56,1.47,2.21,0,0
N00000014,205,60,68,53,15,9,0,0,0,2.24,29.27,33.17,25.85,7.32,4.39,0,0,0
N00000015,119,56,37,13,10,1,2,0,0,1.90,47.06,31.09,10.92,8.40,0.84,1.68,0,0
N00000016,122,62,35,14,8,2,0,1,0,1.83,50.82,28.69,11.48,6.56,1.64,0,0.82,0
N00000017,144,53,37,20,22,8,3,1,0,2.36,36.81,25.69,13.89,15.28,5.56,2.08,0.69,0
N00000018,94,23,36,14,16,2,3,0,0,2.44,24.47,38.30,14.89,17.02,2.13,3.19,0,0
N00000019,116,39,36,24,11,2,4,0,0,2.25,33.62,31.03,20.69,9.48,1.72,3.45,0,0
N00000020,122,53,39,18,9,3,0,0,0,1.93,43.44,31.97,14.75,7.38,2.46,0,0,0
N00000021,128,54,36,15,18,4,1,0,0,2.10,42.19,28.13,11.72,14.06,3.13,0.78,0,0
N00000022,126,53,34,19,13,4,2,1,0,2.13,42.06,26.98,15.08,10.32,3.17,1.59,0.79,0
N00000023,115,48,44,14,5,4,0,0,0,1.90,41.74,38.26,12.17,4.35,3.48,0,0,0
N00000024,174,22,51,36,34,22,8,1,0,3.06,12.64,29.31,20.69,19.54,12.64,4.60,0.57,0
N00000025,159,29,50,27,32,11,6,2,2,2.89,18.24,31.45,16.98,20.13,6.92,3.77,1.26,1.26
N00000026,151,23,37,34,30,22,4,1,0,3.05,15.23,24.50,22.52,19.87,14.57,2.65,0.66,0
N00000027,178,37,46,30,31,18,11,4,1,3.01,20.79,25.84,16.85,17.42,10.11,6.18,2.25,0.56
N00000028,85,19,22,16,19,6,2,1,0,2.78,22.35,25.88,18.82,22.35,7.06,2.35,1.18,0
N00000029,136,19,43,23,28,21,2,0,0,2.96,13.97,31.62,16.91,20.59,15.44,1.47,0,0
N00000030,131,22,50,17,21,13,4,3,1,2.86,16.79,38.17,12.98,16.03,9.92,3.05,2.29,0.76
N00000031,201,25,43,34,47,28,16,4,4,3.48,12.44,21.39,16.92,23.38,13.93,7.96,1.99,1.99
N00000032,133,30,35,14,33,15,5,1,0,2.90,22.56,26.32,10.53,24.81,11.28,3.76,0.75,0
N00000033,166,27,44,36,34,16,7,2,0,2.98,16.27,26.51,21.69,20.48,9.64,4.22,1.20,0
N00000034,158,29,50,31,28,16,4,0,0,2.77,18.35,31.65,19.62,17.72,10.13,2.53,0,0
N00000035,128,48,33,23,17,4,2,0,1,2.27,37.50,25.78,17.97,13.28,3.13,1.56,0,0.78
N00000036,134,33,41,26,23,8,2,0,1,2.57,24.63,30.60,19.40,17.16,5.97,1.49,0,0.75
N00000037,124,44,38,17,15,7,2,1,0,2.30,35.48,30.65,13.71,12.10,5.65,1.61,0.81,0
N00000038,138,24,45,23,19,20,4,1,2,2.94,17.39,32.61,16.67,13.77,14.49,2.90,0.72,1.45
N00000039,448,119,88,81,96,49,11,3,1,2.82,26.56,19.64,18.08,21.43,10.94,2.46,0.67,0.22
N00000040,114,43,22,22,23,4,0,0,0,2.32,37.72,19.30,19.30,20.18,3.51,0,0,0
N00000041,144,20,33,24,39,22,4,2,0,3.21,13.89,22.92,16.67,27.08,15.28,2.78,1.39,0
N00000042,126,18,34,17,27,20,8,0,2,3.25,14.29,26.98,13.49,21.43,15.87,6.35,0,1.59
N00000043,368,59,80,47,97,64,16,3,2,3.27,16.03,21.74,12.77,26.36,17.39,4.35,0.82,0.54
N00000044,108,29,24,21,14,12,5,1,2,2.89,26.85,22.22,19.44,12.96,11.11,4.63,0.93,1.85
N00000045,170,21,49,34,42,19,4,1,0,3.03,12.35,28.82,20.00,24.71,11.18,2.35,0.59,0
N00000046,129,21,38,17,27,20,4,2,0,3.05,16.28,29.46,13.18,20.93,15.50,3.10,1.55,0
N00000047,138,27,53,28,19,6,5,0,0,2.56,19.57,38.41,20.29,13.77,4.35,3.62,0,0
N00000048,125,35,40,24,18,6,0,1,1,2.43,28.00,32.00,19.20,14.40,4.80,0,0.80,0.80
N00000049,123,52,31,22,16,2,0,0,0,2.07,42.28,25.20,17.89,13.01,1.63,0,0,0
N00000050,135,45,47,19,17,7,0,0,0,2.21,33.33,34.81,14.07,12.59,5.19,0,0,0
N00000051,124,35,34,29,14,6,5,1,0,2.52,28.23,27.42,23.39,11.29,4.84,4.03,0.81,0
N00000052,120,36,31,21,16,12,4,0,0,2.58,30.00,25.83,17.50,13.33,10.00,3.33,0,0
N00000053,108,36,31,21,10,9,1,0,0,2.33,33.33,28.70,19.44,9.26,8.33,0.93,0,0
N00000054,111,30,35,22,22,0,2,0,0,2.40,27.03,31.53,19.82,19.82,0,1.80,0,0
N00000055,117,42,34,23,7,8,2,1,0,2.27,35.90,29.06,19.66,5.98,6.84,1.71,0.85,0
N00000056,119,36,38,28,11,6,0,0,0,2.27,30.25,31.93,23.53,9.24,5.04,0,0,0
N00000057,118,43,27,25,11,9,3,0,0,2.36,36.44,22.88,21.19,9.32,7.63,2.54,0,0
N00000058,121,46,31,25,13,5,1,0,0,2.20,38.02,25.62,20.66,10.74,4.13,0.83,0,0
N00000059,110,42,36,20,9,2,1,0,0,2.05,38.18,32.73,18.18,8.18,1.82,0.91,0,0
N00000060,180,65,51,37,21,4,2,0,0,2.19,36.11,28.33,20.56,11.67,2.22,1.11,0,0
N00000061,129,45,48,21,7,7,1,0,0,2.12,34.88,37.21,16.28,5.43,5.43,0.78,0,0
N00000062,130,19,48,31,21,9,1,0,1,2.70,14.62,36.92,23.85,16.15,6.92,0.77,0,0.77
N00000063,155,47,50,36,12,9,1,0,0,2.28,30.32,32.26,23.23,7.74,5.81,0.65,0,0
N00000064,133,60,31,22,14,3,1,2,0,2.10,45.11,23.31,16.54,10.53,2.26,0.75,1.50,0
N00000065,146,19,64,26,24,10,3,0,0,2.66,13.01,43.84,17.81,16.44,6.85,2.05,0,0
N00000066,110,19,48,27,13,2,1,0,0,2.40,17.27,43.64,24.55,11.82,1.82,0.91,0,0
N00000067,134,36,47,28,14,8,1,0,0,2.36,26.87,35.07,20.90,10.45,5.97,0.75,0,0
N00000068,124,15,39,19,37,11,3,0,0,2.99,12.10,31.45,15.32,29.84,8.87,2.42,0,0
N00000069,145,50,42,26,17,7,2,1,0,2.30,34.48,28.97,17.93,11.72,4.83,1.38,0.69,0
N00000070,104,25,43,17,16,1,2,0,0,2.34,24.04,41.35,16.35,15.38,0.96,1.92,0,0
N00000071,136,62,42,19,11,1,1,0,0,1.90,45.59,30.88,13.97,8.09,0.74,0.74,0,0
N00000072,634,121,187,123,138,56,8,0,1,2.76,19.09,29.50,19.40,21.77,8.83,1.26,0,0.16
N00000073,249,122,84,25,11,7,0,0,0,1.78,49.00,33.73,10.04,4.42,2.81,0,0,0
N00000074,386,79,114,76,83,27,5,1,1,2.71,20.47,29.53,19.69,21.50,6.99,1.30,0.26,0.26
N00000075,111,25,39,23,15,9,0,0,0,2.50,22.52,35.14,20.72,13.51,8.11,0,0,0
N00000076,114,13,30,29,29,10,3,0,0,3.02,11.40,26.32,25.44,25.44,8.77,2.63,0,0
N00000077,98,15,34,19,19,9,1,0,1,2.81,15.31,34.69,19.39,19.39,9.18,1.02,0,1.02
N00000078,161,25,41,29,40,23,2,1,0,3.03,15.53,25.47,18.01,24.84,14.29,1.24,0.62,0
N00000079,192,39,44,30,52,23,4,0,0,2.94,20.31,22.92,15.63,27.08,11.98,2.08,0,0
N00000080,146,22,43,27,38,13,3,0,0,2.90,15.07,29.45,18.49,26.03,8.90,2.05,0,0
N00000081,140,46,40,21,20,9,3,1,0,2.42,32.86,28.57,15.00,14.29,6.43,2.14,0.71,0
N00000082,132,32,42,22,24,9,2,1,0,2.59,24.24,31.82,16.67,18.18,6.82,1.52,0.76,0
N00000083,208,22,66,37,44,27,10,2,0,3.13,10.58,31.73,17.79,21.15,12.98,4.81,0.96,0
N00000084,153,19,48,34,26,22,3,1,0,2.98,12.42,31.37,22.22,16.99,14.38,1.96,0.65,0
N00000085,180,73,47,27,19,10,3,1,0,2.22,40.56,26.11,15.00,10.56,5.56,1.67,0.56,0
N00000086,142,30,38,31,26,13,2,1,1,2.78,21.13,26.76,21.83,18.31,9.15,1.41,0.70,0.70
N00000087,303,48,84,57,69,28,13,2,2,3.01,15.84,27.72,18.81,22.77,9.24,4.29,0.66,0.66
N00000088,136,81,38,11,4,2,0,0,0,1.59,59.56,27.94,8.09,2.94,1.47,0,0,0
N00000089,164,29,44,34,32,20,4,1,0,2.91,17.68,26.83,20.73,19.51,12.20,2.44,0.61,0
N00000090,138,29,41,25,24,12,3,2,2,2.83,21.01,29.71,18.12,17.39,8.70,2.17,1.45,1.45
N00000091,176,36,59,34,22,20,3,2,0,2.70,20.45,33.52,19.32,12.50,11.36,1.70,1.14,0
N00000092,168,25,52,32,29,22,5,2,1,3.00,14.88,30.95,19.05,17.26,13.10,2.98,1.19,0.60
N00000093,140,35,43,14,18,19,7,4,0,2.86,25.00,30.71,10.00,12.86,13.57,5.00,2.86,0
N00000094,161,18,59,23,35,14,7,5,0,3.06,11.18,36.65,14.29,21.74,8.70,4.35,3.11,0
N00000095,152,30,36,25,32,17,9,2,1,3.08,19.74,23.68,16.45,21.05,11.18,5.92,1.32,0.66
