GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00003740,117,22,27,6,7,7,10,7,10,14,7,14,2,0,1,0,18.80,23.08,5.13,5.98,5.98,8.55,5.98,8.55,11.97,5.98,11.97,28.57,0,14.29,0
N00003741,93,13,32,2,4,2,17,1,3,13,6,7,0,2,1,0,13.98,34.41,2.15,4.30,2.15,18.28,1.08,3.23,13.98,6.45,7.53,0,50.00,25.00,0
N00003742,114,26,27,2,5,6,19,5,8,14,2,11,1,3,0,3,22.81,23.68,1.75,4.39,5.26,16.67,4.39,7.02,12.28,1.75,9.65,20.00,60.00,0,60.00
N00003743,194,50,54,7,5,12,10,19,22,8,7,39,0,0,0,4,25.77,27.84,3.61,2.58,6.19,5.15,9.79,11.34,4.12,3.61,20.10,0,0,0,80.00
N00003744,140,42,31,3,7,8,18,7,13,8,3,24,2,1,1,5,30.00,22.14,2.14,5.00,5.71,12.86,5.00,9.29,5.71,2.14,17.14,28.57,14.29,14.29,71.43
N00003745,162,37,47,4,3,3,33,11,17,2,5,43,0,1,0,3,22.84,29.01,2.47,1.85,1.85,20.37,6.79,10.49,1.23,3.09,26.54,0,33.33,0,100.00
N00003746,131,27,43,4,5,8,13,11,9,9,2,19,0,1,0,2,20.61,32.82,3.05,3.82,6.11,9.92,8.40,6.87,6.87,1.53,14.50,0,20.00,0,40.00
N00003747,120,13,44,4,5,4,22,6,6,10,6,26,0,0,0,1,10.83,36.67,3.33,4.17,3.33,18.33,5.00,5.00,8.33,5.00,21.67,0,0,0,20.00
N00003748,132,29,48,4,3,4,11,8,9,8,8,27,0,1,0,3,21.97,36.36,3.03,2.27,3.03,8.33,6.06,6.82,6.06,6.06,20.45,0,33.33,0,100.00
N00003749,196,39,76,6,6,9,9,13,19,16,3,24,1,0,1,5,19.90,38.78,3.06,3.06,4.59,4.59,6.63,9.69,8.16,1.53,12.24,16.67,0,16.67,83.33
N00003750,181,46,54,9,4,11,14,16,9,12,6,46,0,0,0,4,25.41,29.83,4.97,2.21,6.08,7.73,8.84,4.97,6.63,3.31,25.41,0,0,0,100.00
N00003751,210,36,84,12,3,5,34,9,14,12,1,42,1,1,0,1,17.14,40.00,5.71,1.43,2.38,16.19,4.29,6.67,5.71,0.48,20.00,33.33,33.33,0,33.33
N00003752,161,33,49,10,3,5,19,11,15,8,8,31,0,0,0,2,20.50,30.43,6.21,1.86,3.11,11.80,6.83,9.32,4.97,4.97,19.25,0,0,0,66.67
N00003753,180,40,40,5,6,12,18,11,24,18,6,20,2,0,0,2,22.22,22.22,2.78,3.33,6.67,10.00,6.11,13.33,10.00,3.33,11.11,33.33,0,0,33.33
N00003754,121,36,28,4,2,3,17,10,12,5,4,16,0,1,1,1,29.75,23.14,3.31,1.65,2.48,14.05,8.26,9.92,4.13,3.31,13.22,0,50.00,50.00,50.00
N00003755,164,31,46,16,2,11,25,7,7,13,6,30,1,0,0,0,18.90,28.05,9.76,1.22,6.71,15.24,4.27,4.27,7.93,3.66,18.29,50.00,0,0,0
N00003756,125,19,17,1,11,3,7,11,24,25,7,12,2,2,2,5,15.20,13.60,0.80,8.80,2.40,5.60,8.80,19.20,20.00,5.60,9.60,18.18,18.18,18.18,45.45
N00003757,117,33,29,2,4,6,14,5,10,9,5,9,2,0,3,1,28.21,24.79,1.71,3.42,5.13,11.97,4.27,8.55,7.69,4.27,7.69,50.00,0,75.00,25.00
N00003758,206,37,80,6,7,10,17,11,18,15,5,28,3,2,0,5,17.96,38.83,2.91,3.40,4.85,8.25,5.34,8.74,7.28,2.43,13.59,42.86,28.57,0,71.43
N00003759,125,19,35,3,4,4,25,3,14,10,8,20,1,1,1,2,15.20,28.00,2.40,3.20,3.20,20.00,2.40,11.20,8.00,6.40,16.00,25.00,25.00,25.00,50.00
N00003760,107,23,25,1,9,3,11,5,14,12,4,8,2,5,1,5,21.50,23.36,0.93,8.41,2.80,10.28,4.67,13.08,11.21,3.74,7.48,22.22,55.56,11.11,55.56
N00003761,135,27,37,10,2,3,11,7,21,15,2,27,0,0,0,1,20.00,27.41,7.41,1.48,2.22,8.15,5.19,15.56,11.11,1.48,20.00,0,0,0,50.00
