GeographyCode,KS103NI0001,KS103NI0002,KS103NI0003,KS103NI0004,KS103NI0005,KS103NI0006,KS103NI0007,KS103NI0008,KS103NI0009,KS103NI0010,KS103NI0011,KS103NI0012,KS103NI0013
N00000001,757,171,549,2,17,14,4,22.59,72.52,0.26,2.25,1.85,0.53
N00000002,269,77,146,0,16,12,18,28.62,54.28,0,5.95,4.46,6.69
N00000003,179,42,123,0,2,4,8,23.46,68.72,0,1.12,2.23,4.47
N00000004,466,140,283,0,13,10,20,30.04,60.73,0,2.79,2.15,4.29
N00000005,281,78,183,0,6,7,7,27.76,65.12,0,2.14,2.49,2.49
N00000006,198,65,106,0,6,7,14,32.83,53.54,0,3.03,3.54,7.07
N00000007,194,52,120,0,3,4,15,26.80,61.86,0,1.55,2.06,7.73
N00000008,244,86,114,0,15,18,11,35.25,46.72,0,6.15,7.38,4.51
N00000009,564,172,327,0,20,25,20,30.50,57.98,0,3.55,4.43,3.55
N00000010,192,61,101,0,6,7,17,31.77,52.60,0,3.13,3.65,8.85
N00000011,251,71,128,0,11,14,27,28.29,51.00,0,4.38,5.58,10.76
N00000012,222,71,97,0,17,16,21,31.98,43.69,0,7.66,7.21,9.46
N00000013,227,83,89,0,9,16,30,36.56,39.21,0,3.96,7.05,13.22
N00000014,382,146,169,0,21,23,23,38.22,44.24,0,5.50,6.02,6.02
N00000015,195,64,78,0,7,18,28,32.82,40.00,0,3.59,9.23,14.36
N00000016,191,78,59,0,10,22,22,40.84,30.89,0,5.24,11.52,11.52
N00000017,252,88,111,0,16,23,14,34.92,44.05,0,6.35,9.13,5.56
N00000018,181,66,86,0,12,10,7,36.46,47.51,0,6.63,5.52,3.87
N00000019,212,72,89,0,19,18,14,33.96,41.98,0,8.96,8.49,6.60
N00000020,170,64,47,0,14,28,17,37.65,27.65,0,8.24,16.47,10.00
N00000021,215,77,89,0,12,20,17,35.81,41.40,0,5.58,9.30,7.91
N00000022,222,88,75,0,15,16,28,39.64,33.78,0,6.76,7.21,12.61
N00000023,184,60,71,0,5,21,27,32.61,38.59,0,2.72,11.41,14.67
N00000024,402,113,253,0,7,14,15,28.11,62.94,0,1.74,3.48,3.73
N00000025,371,89,238,0,11,17,16,23.99,64.15,0,2.96,4.58,4.31
N00000026,383,127,216,1,9,13,17,33.16,56.40,0.26,2.35,3.39,4.44
N00000027,401,134,226,0,12,14,15,33.42,56.36,0,2.99,3.49,3.74
N00000028,188,69,90,0,8,11,10,36.70,47.87,0,4.26,5.85,5.32
N00000029,323,87,202,0,11,8,15,26.93,62.54,0,3.41,2.48,4.64
N00000030,305,103,169,1,10,10,12,33.77,55.41,0.33,3.28,3.28,3.93
N00000031,516,161,302,0,14,17,22,31.20,58.53,0,2.71,3.29,4.26
N00000032,293,79,172,0,8,15,19,26.96,58.70,0,2.73,5.12,6.48
N00000033,383,112,234,0,6,12,19,29.24,61.10,0,1.57,3.13,4.96
N00000034,373,98,214,0,8,12,41,26.27,57.37,0,2.14,3.22,10.99
N00000035,239,105,99,0,9,13,13,43.93,41.42,0,3.77,5.44,5.44
N00000036,279,102,143,0,6,14,14,36.56,51.25,0,2.15,5.02,5.02
N00000037,236,89,99,0,19,10,19,37.71,41.95,0,8.05,4.24,8.05
N00000038,307,97,178,0,7,7,18,31.60,57.98,0,2.28,2.28,5.86
N00000039,894,296,444,1,58,38,57,33.11,49.66,0.11,6.49,4.25,6.38
N00000040,209,87,82,0,13,15,12,41.63,39.23,0,6.22,7.18,5.74
N00000041,321,111,183,0,11,8,8,34.58,57.01,0,3.43,2.49,2.49
N00000042,315,115,172,0,12,4,12,36.51,54.60,0,3.81,1.27,3.81
