GeographyCode,KS106NI0001,KS106NI0002,KS106NI0003,KS106NI0004,KS106NI0005,KS106NI0006,KS106NI0007,KS106NI0008,KS106NI0009,KS106NI0010,KS106NI0011,KS106NI0012,KS106NI0013
N00000001,310,2,5,194,139,22,11,0.65,1.61,62.58,44.84,7.10,3.55
N00000002,141,5,44,45,20,12,30,3.55,31.21,31.91,14.18,8.51,21.28
N00000003,78,0,14,30,3,10,18,0,17.95,38.46,3.85,12.82,23.08
N00000004,195,1,31,89,26,24,42,0.51,15.90,45.64,13.33,12.31,21.54
N00000005,124,1,15,54,19,15,23,0.81,12.10,43.55,15.32,12.10,18.55
N00000006,86,2,15,33,13,8,17,2.33,17.44,38.37,15.12,9.30,19.77
N00000007,89,1,21,29,8,4,21,1.12,23.60,32.58,8.99,4.49,23.60
N00000008,138,5,30,31,13,7,36,3.62,21.74,22.46,9.42,5.07,26.09
N00000009,275,3,37,109,52,20,45,1.09,13.45,39.64,18.91,7.27,16.36
N00000010,86,2,21,27,12,6,20,2.33,24.42,31.40,13.95,6.98,23.26
N00000011,136,3,59,27,11,11,63,2.21,43.38,19.85,8.09,8.09,46.32
N00000012,121,2,36,25,9,5,46,1.65,29.75,20.66,7.44,4.13,38.02
N00000013,136,4,57,27,13,7,54,2.94,41.91,19.85,9.56,5.15,39.71
N00000014,205,3,50,58,28,22,64,1.46,24.39,28.29,13.66,10.73,31.22
N00000015,119,4,60,21,3,9,54,3.36,50.42,17.65,2.52,7.56,45.38
N00000016,122,5,46,21,5,9,47,4.10,37.70,17.21,4.10,7.38,38.52
N00000017,144,8,46,54,22,17,35,5.56,31.94,37.50,15.28,11.81,24.31
N00000018,94,4,24,32,16,8,27,4.26,25.53,34.04,17.02,8.51,28.72
N00000019,116,6,38,28,13,5,49,5.17,32.76,24.14,11.21,4.31,42.24
N00000020,122,17,37,38,22,8,41,13.93,30.33,31.15,18.03,6.56,33.61
N00000021,128,9,45,32,13,13,50,7.03,35.16,25.00,10.16,10.16,39.06
N00000022,126,7,50,33,14,10,56,5.56,39.68,26.19,11.11,7.94,44.44
N00000023,115,4,51,25,9,11,49,3.48,44.35,21.74,7.83,9.57,42.61
N00000024,174,1,28,77,28,13,42,0.57,16.09,44.25,16.09,7.47,24.14
N00000025,159,2,31,57,10,14,50,1.26,19.50,35.85,6.29,8.81,31.45
N00000026,151,2,24,59,24,15,36,1.32,15.89,39.07,15.89,9.93,23.84
N00000027,178,8,35,76,42,12,38,4.49,19.66,42.70,23.60,6.74,21.35
N00000028,85,3,15,33,3,8,20,3.53,17.65,38.82,3.53,9.41,23.53
N00000029,136,2,25,50,14,9,27,1.47,18.38,36.76,10.29,6.62,19.85
N00000030,131,2,25,38,16,9,36,1.53,19.08,29.01,12.21,6.87,27.48
N00000031,201,6,33,96,41,27,50,2.99,16.42,47.76,20.40,13.43,24.88
N00000032,133,3,36,54,17,18,38,2.26,27.07,40.60,12.78,13.53,28.57
N00000033,166,2,32,62,25,8,49,1.20,19.28,37.35,15.06,4.82,29.52
N00000034,158,7,34,60,31,13,34,4.43,21.52,37.97,19.62,8.23,21.52
