GeographyCode,KS402NI0001,KS402NI0002,KS402NI0003,KS402NI0004,KS402NI0005,KS402NI0006,KS402NI0007,KS402NI0008,KS402NI0009,KS402NI0010,KS402NI0011,KS402NI0012,KS402NI0013,KS402NI0014,KS402NI0015,KS402NI0016,KS402NI0017
N00000001,310,5,21,0,2,7,24,246,5,1.61,6.77,0,0.65,2.26,7.74,79.35,1.61
N00000002,141,43,70,0,8,0,13,2,5,30.50,49.65,0,5.67,0,9.22,1.42,3.55
N00000003,78,39,32,0,0,0,2,3,2,50.00,41.03,0,0,0,2.56,3.85,2.56
N00000004,195,72,95,0,3,1,14,4,6,36.92,48.72,0,1.54,0.51,7.18,2.05,3.08
N00000005,124,38,75,0,0,0,9,1,1,30.65,60.48,0,0,0,7.26,0.81,0.81
N00000006,86,38,38,0,0,0,7,3,0,44.19,44.19,0,0,0,8.14,3.49,0
N00000007,89,43,26,0,0,1,8,5,6,48.31,29.21,0,0,1.12,8.99,5.62,6.74
N00000008,138,36,61,1,2,0,32,2,4,26.09,44.20,0.72,1.45,0,23.19,1.45,2.90
N00000009,275,83,145,0,1,0,40,2,4,30.18,52.73,0,0.36,0,14.55,0.73,1.45
N00000010,86,53,21,0,0,0,5,5,2,61.63,24.42,0,0,0,5.81,5.81,2.33
N00000011,136,47,38,2,23,0,18,1,7,34.56,27.94,1.47,16.91,0,13.24,0.74,5.15
N00000012,121,49,41,1,14,0,13,1,2,40.50,33.88,0.83,11.57,0,10.74,0.83,1.65
N00000013,136,50,30,1,9,0,38,2,6,36.76,22.06,0.74,6.62,0,27.94,1.47,4.41
N00000014,205,42,83,0,23,6,41,5,5,20.49,40.49,0,11.22,2.93,20.00,2.44,2.44
N00000015,119,36,22,1,41,1,13,3,2,30.25,18.49,0.84,34.45,0.84,10.92,2.52,1.68
N00000016,122,29,31,0,31,0,25,2,4,23.77,25.41,0,25.41,0,20.49,1.64,3.28
N00000017,144,27,52,2,47,1,11,1,3,18.75,36.11,1.39,32.64,0.69,7.64,0.69,2.08
N00000018,94,25,49,0,1,0,17,2,0,26.60,52.13,0,1.06,0,18.09,2.13,0
N00000019,116,36,33,0,23,5,16,2,1,31.03,28.45,0,19.83,4.31,13.79,1.72,0.86
N00000020,122,21,21,1,61,1,13,1,3,17.21,17.21,0.82,50.00,0.82,10.66,0.82,2.46
N00000021,128,31,41,3,23,0,27,1,2,24.22,32.03,2.34,17.97,0,21.09,0.78,1.56
N00000022,126,33,40,1,30,0,18,1,3,26.19,31.75,0.79,23.81,0,14.29,0.79,2.38
N00000023,115,33,27,0,41,0,10,1,3,28.70,23.48,0,35.65,0,8.70,0.87,2.61
N00000024,174,71,87,1,1,0,8,1,5,40.80,50.00,0.57,0.57,0,4.60,0.57,2.87
N00000025,159,80,67,0,1,0,4,2,5,50.31,42.14,0,0.63,0,2.52,1.26,3.14
N00000026,151,82,57,0,2,0,6,0,4,54.30,37.75,0,1.32,0,3.97,0,2.65
N00000027,178,72,79,3,0,0,20,1,3,40.45,44.38,1.69,0,0,11.24,0.56,1.69
N00000028,85,27,52,1,0,0,5,0,0,31.76,61.18,1.18,0,0,5.88,0,0
N00000029,136,76,49,0,1,0,4,2,4,55.88,36.03,0,0.74,0,2.94,1.47,2.94
N00000030,131,72,48,0,0,0,6,2,3,54.96,36.64,0,0,0,4.58,1.53,2.29
N00000031,201,92,86,2,4,0,12,3,2,45.77,42.79,1.00,1.99,0,5.97,1.49,1.00
N00000032,133,64,53,1,0,0,10,1,4,48.12,39.85,0.75,0,0,7.52,0.75,3.01
N00000033,166,73,72,0,1,0,11,2,7,43.98,43.37,0,0.60,0,6.63,1.20,4.22
N00000034,158,57,75,0,5,0,13,3,5,36.08,47.47,0,3.16,0,8.23,1.90,3.16
N00000035,128,30,34,0,39,0,19,2,4,23.44,26.56,0,30.47,0,14.84,1.56,3.13
N00000036,134,41,50,0,19,0,18,4,2,30.60,37.31,0,14.18,0,13.43,2.99,1.49
N00000037,124,50,59,2,4,0,7,0,2,40.32,47.58,1.61,3.23,0,5.65,0,1.61
N00000038,138,48,65,0,0,5,12,5,3,34.78,47.10,0,0,3.62,8.70,3.62,2.17
N00000039,448,82,238,8,34,31,35,12,8,18.30,53.13,1.79,7.59,6.92,7.81,2.68,1.79
N00000040,114,15,46,1,31,0,9,2,10,13.16,40.35,0.88,27.19,0,7.89,1.75,8.77
N00000041,144,20,101,2,3,0,14,2,2,13.89,70.14,1.39,2.08,0,9.72,1.39,1.39
N00000042,126,32,84,0,1,0,6,2,1,25.40,66.67,0,0.79,0,4.76,1.59,0.79
N00000043,368,65,229,3,21,13,26,8,3,17.66,62.23,0.82,5.71,3.53,7.07,2.17,0.82
N00000044,108,25,53,3,2,14,6,3,2,23.15,49.07,2.78,1.85,12.96,5.56,2.78,1.85
N00000045,170,73,78,0,2,0,11,2,4,42.94,45.88,0,1.18,0,6.47,1.18,2.35
N00000046,129,73,41,0,6,0,5,1,3,56.59,31.78,0,4.65,0,3.88,0.78,2.33
N00000047,138,75,43,0,4,0,12,2,2,54.35,31.16,0,2.90,0,8.70,1.45,1.45
N00000048,125,33,36,1,23,0,26,4,2,26.40,28.80,0.80,18.40,0,20.80,3.20,1.60
N00000049,123,30,34,0,30,0,21,5,3,24.39,27.64,0,24.39,0,17.07,4.07,2.44
N00000050,135,60,41,0,4,1,20,1,8,44.44,30.37,0,2.96,0.74,14.81,0.74,5.93
N00000051,124,16,39,1,58,0,4,0,6,12.90,31.45,0.81,46.77,0,3.23,0,4.84
N00000052,120,31,34,1,34,1,9,2,8,25.83,28.33,0.83,28.33,0.83,7.50,1.67,6.67
N00000053,108,17,37,2,14,0,34,1,3,15.74,34.26,1.85,12.96,0,31.48,0.93,2.78
N00000054,111,19,45,2,25,0,17,1,2,17.12,40.54,1.80,22.52,0,15.32,0.90,1.80
N00000055,117,44,43,5,8,0,16,0,1,37.61,36.75,4.27,6.84,0,13.68,0,0.85
N00000056,119,44,35,1,21,0,16,1,1,36.97,29.41,0.84,17.65,0,13.45,0.84,0.84
N00000057,118,15,25,0,58,0,18,0,2,12.71,21.19,0,49.15,0,15.25,0,1.69
N00000058,121,25,33,0,40,0,17,2,4,20.66,27.27,0,33.06,0,14.05,1.65,3.31
N00000059,110,18,23,0,47,1,17,0,4,16.36,20.91,0,42.73,0.91,15.45,0,3.64
N00000060,180,24,55,1,66,1,27,1,5,13.33,30.56,0.56,36.67,0.56,15.00,0.56,2.78
N00000061,129,68,38,0,11,0,8,0,4,52.71,29.46,0,8.53,0,6.20,0,3.10
N00000062,130,71,45,0,4,0,8,0,2,54.62,34.62,0,3.08,0,6.15,0,1.54
N00000063,155,27,48,0,48,0,29,2,1,17.42,30.97,0,30.97,0,18.71,1.29,0.65
N00000064,133,10,25,1,75,0,14,0,8,7.52,18.80,0.75,56.39,0,10.53,0,6.02
N00000065,146,65,65,5,3,0,4,3,1,44.52,44.52,3.42,2.05,0,2.74,2.05,0.68
N00000066,110,54,44,0,3,0,4,1,4,49.09,40.00,0,2.73,0,3.64,0.91,3.64
N00000067,134,26,39,0,53,0,13,1,2,19.40,29.10,0,39.55,0,9.70,0.75,1.49
N00000068,124,62,51,0,1,0,7,2,1,50.00,41.13,0,0.81,0,5.65,1.61,0.81
N00000069,145,17,25,0,81,6,12,1,3,11.72,17.24,0,55.86,4.14,8.28,0.69,2.07
N00000070,104,67,29,0,0,0,4,2,2,64.42,27.88,0,0,0,3.85,1.92,1.92
N00000071,136,53,32,1,10,0,23,5,12,38.97,23.53,0.74,7.35,0,16.91,3.68,8.82
N00000072,634,108,384,4,35,1,87,6,9,17.03,60.57,0.63,5.52,0.16,13.72,0.95,1.42
N00000073,249,46,75,1,16,26,71,7,7,18.47,30.12,0.40,6.43,10.44,28.51,2.81,2.81
N00000074,386,60,257,6,1,6,49,2,5,15.54,66.58,1.55,0.26,1.55,12.69,0.52,1.30
N00000075,111,44,42,2,0,4,15,2,2,39.64,37.84,1.80,0,3.60,13.51,1.80,1.80
N00000076,114,36,63,0,0,0,14,0,1,31.58,55.26,0,0,0,12.28,0,0.88
N00000077,98,32,57,0,0,0,6,1,2,32.65,58.16,0,0,0,6.12,1.02,2.04
N00000078,161,32,114,0,1,0,14,0,0,19.88,70.81,0,0.62,0,8.70,0,0
N00000079,192,78,94,0,0,1,11,2,6,40.63,48.96,0,0,0.52,5.73,1.04,3.13
N00000080,146,57,74,0,2,1,6,1,5,39.04,50.68,0,1.37,0.68,4.11,0.68,3.42
N00000081,140,34,54,1,19,8,13,2,9,24.29,38.57,0.71,13.57,5.71,9.29,1.43,6.43
N00000082,132,73,41,0,0,0,10,1,7,55.30,31.06,0,0,0,7.58,0.76,5.30
N00000083,208,96,97,0,0,0,8,2,5,46.15,46.63,0,0,0,3.85,0.96,2.40
N00000084,153,82,57,0,1,1,8,0,4,53.59,37.25,0,0.65,0.65,5.23,0,2.61
N00000085,180,44,40,0,19,23,48,5,1,24.44,22.22,0,10.56,12.78,26.67,2.78,0.56
N00000086,142,39,50,2,1,2,39,3,6,27.46,35.21,1.41,0.70,1.41,27.46,2.11,4.23
N00000087,303,112,142,1,1,0,28,6,13,36.96,46.86,0.33,0.33,0,9.24,1.98,4.29
