GeographyCode,KS104NI0001,KS104NI0002,KS104NI0003,KS104NI0004,KS104NI0005,KS104NI0006,KS104NI0007,KS104NI0008,KS104NI0009,KS104NI0010,KS104NI0011,KS104NI0012,KS104NI0013,KS104NI0014,KS104NI0015
N00000001,626,532,18,50,9,7,8,2,84.98,2.88,7.99,1.44,1.12,1.28,0.32
N00000002,269,142,14,67,3,15,10,18,52.79,5.20,24.91,1.12,5.58,3.72,6.69
N00000003,175,116,4,40,4,1,3,7,66.29,2.29,22.86,2.29,0.57,1.71,4.00
N00000004,466,286,26,123,0,7,6,18,61.37,5.58,26.39,0,1.50,1.29,3.86
N00000005,281,182,14,67,1,6,4,7,64.77,4.98,23.84,0.36,2.14,1.42,2.49
N00000006,187,100,12,47,5,4,6,13,53.48,6.42,25.13,2.67,2.14,3.21,6.95
N00000007,194,118,6,48,2,2,3,15,60.82,3.09,24.74,1.03,1.03,1.55,7.73
N00000008,244,112,18,70,2,14,17,11,45.90,7.38,28.69,0.82,5.74,6.97,4.51
N00000009,564,318,46,139,4,19,18,20,56.38,8.16,24.65,0.71,3.37,3.19,3.55
N00000010,188,96,8,56,1,6,6,15,51.06,4.26,29.79,0.53,3.19,3.19,7.98
N00000011,251,124,16,62,4,7,11,27,49.40,6.37,24.70,1.59,2.79,4.38,10.76
N00000012,222,98,20,59,3,11,11,20,44.14,9.01,26.58,1.35,4.95,4.95,9.01
N00000013,227,88,14,69,3,7,16,30,38.77,6.17,30.40,1.32,3.08,7.05,13.22
N00000014,382,162,48,108,3,20,18,23,42.41,12.57,28.27,0.79,5.24,4.71,6.02
N00000015,195,78,14,53,1,5,16,28,40.00,7.18,27.18,0.51,2.56,8.21,14.36
N00000016,191,56,20,65,1,8,19,22,29.32,10.47,34.03,0.52,4.19,9.95,11.52
N00000017,252,108,16,77,1,14,22,14,42.86,6.35,30.56,0.40,5.56,8.73,5.56
N00000018,181,84,20,53,1,9,7,7,46.41,11.05,29.28,0.55,4.97,3.87,3.87
N00000019,212,90,16,62,0,14,16,14,42.45,7.55,29.25,0,6.60,7.55,6.60
N00000020,170,42,20,50,4,12,25,17,24.71,11.76,29.41,2.35,7.06,14.71,10.00
N00000021,215,86,22,62,0,12,16,17,40.00,10.23,28.84,0,5.58,7.44,7.91
N00000022,222,70,12,83,2,13,14,28,31.53,5.41,37.39,0.90,5.86,6.31,12.61
