GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
N00000001,1113,269,586,78,30,5,56,3,86,24.17,52.65,7.01,2.70,0.45,5.03,0.27,7.73
N00000002,351,309,19,6,0,4,0,9,4,88.03,5.41,1.71,0,1.14,0,2.56,1.14
N00000003,237,220,7,0,0,2,5,1,2,92.83,2.95,0,0,0.84,2.11,0.42,0.84
N00000004,616,566,21,5,2,7,1,1,13,91.88,3.41,0.81,0.32,1.14,0.16,0.16,2.11
N00000005,374,345,16,2,0,9,0,0,2,92.25,4.28,0.53,0,2.41,0,0,0.53
N00000006,251,226,7,0,0,2,0,3,13,90.04,2.79,0,0,0.80,0,1.20,5.18
N00000007,245,218,8,2,0,2,6,4,5,88.98,3.27,0.82,0,0.82,2.45,1.63,2.04
N00000008,288,240,18,3,1,4,2,13,7,83.33,6.25,1.04,0.35,1.39,0.69,4.51,2.43
N00000009,727,642,33,7,0,8,3,20,14,88.31,4.54,0.96,0,1.10,0.41,2.75,1.93
N00000010,242,220,7,2,1,2,0,6,4,90.91,2.89,0.83,0.41,0.83,0,2.48,1.65
N00000011,293,260,15,3,0,2,3,5,5,88.74,5.12,1.02,0,0.68,1.02,1.71,1.71
N00000012,264,237,11,3,1,2,2,5,3,89.77,4.17,1.14,0.38,0.76,0.76,1.89,1.14
N00000013,268,236,12,2,0,5,1,7,5,88.06,4.48,0.75,0,1.87,0.37,2.61,1.87
N00000014,460,386,27,8,1,7,1,21,9,83.91,5.87,1.74,0.22,1.52,0.22,4.57,1.96
N00000015,226,204,9,3,2,3,1,2,2,90.27,3.98,1.33,0.88,1.33,0.44,0.88,0.88
N00000016,223,182,15,2,0,4,1,15,4,81.61,6.73,0.90,0,1.79,0.45,6.73,1.79
N00000017,340,315,11,1,1,1,2,3,6,92.65,3.24,0.29,0.29,0.29,0.59,0.88,1.76
N00000018,229,202,11,2,0,1,1,7,5,88.21,4.80,0.87,0,0.44,0.44,3.06,2.18
N00000019,261,230,12,2,0,5,1,4,7,88.12,4.60,0.77,0,1.92,0.38,1.53,2.68
N00000020,236,212,6,3,2,6,1,2,4,89.83,2.54,1.27,0.85,2.54,0.42,0.85,1.69
N00000021,269,241,13,3,0,1,7,2,2,89.59,4.83,1.12,0,0.37,2.60,0.74,0.74
N00000022,269,238,6,4,1,5,2,9,4,88.48,2.23,1.49,0.37,1.86,0.74,3.35,1.49
N00000023,218,194,6,4,0,4,0,4,6,88.99,2.75,1.83,0,1.83,0,1.83,2.75
N00000024,533,492,29,0,0,7,0,0,5,92.31,5.44,0,0,1.31,0,0,0.94
N00000025,460,423,18,3,0,5,2,0,9,91.96,3.91,0.65,0,1.09,0.43,0,1.96
N00000026,466,442,17,0,0,6,0,0,1,94.85,3.65,0,0,1.29,0,0,0.21
N00000027,540,502,14,3,1,7,2,2,9,92.96,2.59,0.56,0.19,1.30,0.37,0.37,1.67
N00000028,236,216,12,1,2,3,0,1,1,91.53,5.08,0.42,0.85,1.27,0,0.42,0.42
N00000029,403,367,18,4,0,4,0,1,9,91.07,4.47,0.99,0,0.99,0,0.25,2.23
N00000030,375,349,5,1,0,8,0,2,10,93.07,1.33,0.27,0,2.13,0,0.53,2.67
N00000031,707,668,19,3,0,9,2,1,5,94.48,2.69,0.42,0,1.27,0.28,0.14,0.71
N00000032,386,367,8,1,0,4,3,0,3,95.08,2.07,0.26,0,1.04,0.78,0,0.78
N00000033,498,462,17,3,2,5,0,2,7,92.77,3.41,0.60,0.40,1.00,0,0.40,1.41
N00000034,474,423,18,2,1,5,1,13,11,89.24,3.80,0.42,0.21,1.05,0.21,2.74,2.32
N00000035,291,244,16,3,1,0,3,20,4,83.85,5.50,1.03,0.34,0,1.03,6.87,1.37
N00000036,345,313,12,2,1,5,0,2,10,90.72,3.48,0.58,0.29,1.45,0,0.58,2.90
N00000037,285,267,8,2,0,2,2,0,4,93.68,2.81,0.70,0,0.70,0.70,0,1.40
N00000038,406,384,10,2,0,4,1,2,3,94.58,2.46,0.49,0,0.99,0.25,0.49,0.74
N00000039,1262,1141,57,6,5,19,6,1,27,90.41,4.52,0.48,0.40,1.51,0.48,0.08,2.14
N00000040,265,243,17,2,1,1,1,0,0,91.70,6.42,0.75,0.38,0.38,0.38,0,0
N00000041,462,434,14,2,0,5,1,4,2,93.94,3.03,0.43,0,1.08,0.22,0.87,0.43
