GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
N00000001,754,80,483,21,34,7,3,22,84,3,17,110,9,0,2,9,10.61,64.06,2.79,4.51,0.93,0.40,2.92,11.14,0.40,2.25,14.59,26.47,0,5.88,26.47
N00000002,249,33,111,17,10,10,32,7,5,16,8,37,1,1,1,5,13.25,44.58,6.83,4.02,4.02,12.85,2.81,2.01,6.43,3.21,14.86,10.00,10.00,10.00,50.00
N00000003,166,23,67,24,4,1,19,12,2,9,5,29,1,2,0,2,13.86,40.36,14.46,2.41,0.60,11.45,7.23,1.20,5.42,3.01,17.47,25.00,50.00,0,50.00
N00000004,449,60,154,81,12,21,49,32,18,16,6,93,3,3,4,7,13.36,34.30,18.04,2.67,4.68,10.91,7.13,4.01,3.56,1.34,20.71,25.00,25.00,33.33,58.33
N00000005,275,29,124,50,2,10,29,10,5,12,4,46,0,0,0,0,10.55,45.09,18.18,0.73,3.64,10.55,3.64,1.82,4.36,1.45,16.73,0,0,0,0
N00000006,174,28,72,27,6,11,11,2,7,10,0,35,1,2,0,2,16.09,41.38,15.52,3.45,6.32,6.32,1.15,4.02,5.75,0,20.11,16.67,33.33,0,33.33
N00000007,176,21,86,19,5,7,21,6,7,2,2,31,1,1,1,4,11.93,48.86,10.80,2.84,3.98,11.93,3.41,3.98,1.14,1.14,17.61,20.00,20.00,20.00,80.00
N00000008,229,20,102,37,14,5,26,9,6,8,2,45,6,2,2,3,8.73,44.54,16.16,6.11,2.18,11.35,3.93,2.62,3.49,0.87,19.65,42.86,14.29,14.29,21.43
N00000009,533,67,265,62,14,18,55,19,16,12,5,106,2,3,2,8,12.57,49.72,11.63,2.63,3.38,10.32,3.56,3.00,2.25,0.94,19.89,14.29,21.43,14.29,57.14
N00000010,172,22,54,30,6,7,30,10,7,6,0,30,2,0,1,3,12.79,31.40,17.44,3.49,4.07,17.44,5.81,4.07,3.49,0,17.44,33.33,0,16.67,50.00
N00000011,214,34,85,6,6,6,40,8,7,16,6,20,1,3,0,3,15.89,39.72,2.80,2.80,2.80,18.69,3.74,3.27,7.48,2.80,9.35,16.67,50.00,0,50.00
N00000012,207,38,84,6,3,9,50,0,5,10,2,24,1,0,1,1,18.36,40.58,2.90,1.45,4.35,24.15,0,2.42,4.83,0.97,11.59,33.33,0,33.33,33.33
